😀	osinekile, ubuso obusinekile
🧝🏾‍♀	i-elf yesifazane, i-elf yesifazane: uhlobo-5, okomlingo, uhlobo-5
🧝🏿‍♀	i-elf yesifazane, i-elf yesifazane: uhlobo-6, okomlingo, uhlobo-6
🧞	i-djinn, ijeni
🧞‍♂	i-djinn, ijeni yesilisa
🧞‍♀	i-djinn, ijeni yesifazane
🧟	hamba efile, isilwane, ngafile
🧟‍♂	hamba efile, isipoki sowesilisa, ngafile
🧟‍♀	hamba efile, isilwane sowesifazane, ngafile
💆	imasaji, isaluni, ubuso, umuntu othola imasaji
💆🏻	imasaji, isaluni, ubuso, uhlobo-1-2, umuntu othola imasaji, umuntu othola imasaji: uhlobo-1-2
💆🏼	imasaji, isaluni, ubuso, uhlobo-3, umuntu othola imasaji, umuntu othola imasaji: uhlobo-3
💆🏽	imasaji, isaluni, ubuso, uhlobo-4, umuntu othola imasaji, umuntu othola imasaji: uhlobo-4
💆🏾	imasaji, isaluni, ubuso, uhlobo-5, umuntu othola imasaji, umuntu othola imasaji: uhlobo-5
💆🏿	imasaji, isaluni, ubuso, uhlobo-6, umuntu othola imasaji, umuntu othola imasaji: uhlobo-6
💆‍♂	imasaji, indoda, indoda ethola imasaji ebusweni, ubuso
💆🏻‍♂	imasaji, indoda, indoda ethola imasaji ebusweni, indoda ethola imasaji ebusweni: uhlobo-1-2, ubuso, uhlobo-1-2
💆🏼‍♂	imasaji, indoda, indoda ethola imasaji ebusweni, indoda ethola imasaji ebusweni: uhlobo-3, ubuso, uhlobo-3
💆🏽‍♂	imasaji, indoda, indoda ethola imasaji ebusweni, indoda ethola imasaji ebusweni: uhlobo-4, ubuso, uhlobo-4
💆🏾‍♂	imasaji, indoda, indoda ethola imasaji ebusweni, indoda ethola imasaji ebusweni: uhlobo-5, ubuso, uhlobo-5
💆🏿‍♂	imasaji, indoda, indoda ethola imasaji ebusweni, indoda ethola imasaji ebusweni: uhlobo-6, ubuso, uhlobo-6
💆‍♀	imasaji, owesimame, owesimame othola imasaji ebusweni, ubuso
💆🏻‍♀	imasaji, owesimame, owesimame othola imasaji ebusweni, owesimame othola imasaji ebusweni: uhlobo-1-2, ubuso, uhlobo-1-2
💆🏼‍♀	imasaji, owesimame, owesimame othola imasaji ebusweni, owesimame othola imasaji ebusweni: uhlobo-3, ubuso, uhlobo-3
💆🏽‍♀	imasaji, owesimame, owesimame othola imasaji ebusweni, owesimame othola imasaji ebusweni: uhlobo-4, ubuso, uhlobo-4
💆🏾‍♀	imasaji, owesimame, owesimame othola imasaji ebusweni, owesimame othola imasaji ebusweni: uhlobo-5, ubuso, uhlobo-5
💆🏿‍♀	imasaji, owesimame, owesimame othola imasaji ebusweni, owesimame othola imasaji ebusweni: uhlobo-6, ubuso, uhlobo-6
💇	isaluni, ubuhle, ukugunda izimwele, umgundi, umuntu ogundayo
💇🏻	isaluni, ubuhle, uhlobo-1-2, ukugunda izimwele, umgundi, umuntu ogundayo, umuntu ogundayo: uhlobo-1-2
💇🏼	isaluni, ubuhle, uhlobo-3, ukugunda izimwele, umgundi, umuntu ogundayo, umuntu ogundayo: uhlobo-3
💇🏽	isaluni, ubuhle, uhlobo-4, ukugunda izimwele, umgundi, umuntu ogundayo, umuntu ogundayo: uhlobo-4
💇🏾	isaluni, ubuhle, uhlobo-5, ukugunda izimwele, umgundi, umuntu ogundayo, umuntu ogundayo: uhlobo-5
💇🏿	isaluni, ubuhle, uhlobo-6, ukugunda izimwele, umgundi, umuntu ogundayo, umuntu ogundayo: uhlobo-6
💇‍♂	indoda, indoda egundayo, ukugunda izinwele
💇🏻‍♂	indoda, indoda egundayo, indoda egundayo: uhlobo-1-2, uhlobo-1-2, ukugunda izinwele
💇🏼‍♂	indoda, indoda egundayo, indoda egundayo: uhlobo-3, uhlobo-3, ukugunda izinwele
💇🏽‍♂	indoda, indoda egundayo, indoda egundayo: uhlobo-4, uhlobo-4, ukugunda izinwele
💇🏾‍♂	indoda, indoda egundayo, indoda egundayo: uhlobo-5, uhlobo-5, ukugunda izinwele
💇🏿‍♂	indoda, indoda egundayo, indoda egundayo: uhlobo-6, uhlobo-6, ukugunda izinwele
💇‍♀	owesimame, owesimame ogundayo, ukugunda izinwele
💇🏻‍♀	owesimame, owesimame ogundayo, owesimame ogundayo: uhlobo-1-2, uhlobo-1-2, ukugunda izinwele
💇🏼‍♀	owesimame, owesimame ogundayo, owesimame ogundayo: uhlobo-3, uhlobo-3, ukugunda izinwele
💇🏽‍♀	owesimame, owesimame ogundayo, owesimame ogundayo: uhlobo-4, uhlobo-4, ukugunda izinwele
💇🏾‍♀	owesimame, owesimame ogundayo, owesimame ogundayo: uhlobo-5, uhlobo-5, ukugunda izinwele
💇🏿‍♀	owesimame, owesimame ogundayo, owesimame ogundayo: uhlobo-6, uhlobo-6, ukugunda izinwele
🚶	ukuhamba, umuntu ohambayo
🚶🏻	uhlobo-1-2, ukuhamba, umuntu ohambayo, umuntu ohambayo: uhlobo-1-2
🚶🏼	uhlobo-3, ukuhamba, umuntu ohambayo, umuntu ohambayo: uhlobo-3
🚶🏽	uhlobo-4, ukuhamba, umuntu ohambayo, umuntu ohambayo: uhlobo-4
🚶🏾	uhlobo-5, ukuhamba, umuntu ohambayo, umuntu ohambayo: uhlobo-5
🚶🏿	uhlobo-6, ukuhamba, umuntu ohambayo, umuntu ohambayo: uhlobo-6
🚶‍♂	indoda, indoda ehambayo, ukuhamba
🚶🏻‍♂	indoda, indoda ehambayo, indoda ehambayo: uhlobo-1-2, uhlobo-1-2, ukuhamba
🚶🏼‍♂	indoda, indoda ehambayo, indoda ehambayo: uhlobo-3, uhlobo-3, ukuhamba
🚶🏽‍♂	indoda, indoda ehambayo, indoda ehambayo: uhlobo-4, uhlobo-4, ukuhamba
🚶🏾‍♂	indoda, indoda ehambayo, indoda ehambayo: uhlobo-5, uhlobo-5, ukuhamba
🚶🏿‍♂	indoda, indoda ehambayo, indoda ehambayo: uhlobo-6, uhlobo-6, ukuhamba
🚶‍♀	owesimame, owesimame ohambayo, ukuhamba
🚶🏻‍♀	owesimame, owesimame ohambayo, owesimame ohambayo: uhlobo-1-2, uhlobo-1-2, ukuhamba
🚶🏼‍♀	owesimame, owesimame ohambayo, owesimame ohambayo: uhlobo-3, uhlobo-3, ukuhamba
🚶🏽‍♀	owesimame, owesimame ohambayo, owesimame ohambayo: uhlobo-4, uhlobo-4, ukuhamba
🚶🏾‍♀	owesimame, owesimame ohambayo, owesimame ohambayo: uhlobo-5, uhlobo-5, ukuhamba
🚶🏿‍♀	owesimame, owesimame ohambayo, owesimame ohambayo: uhlobo-6, uhlobo-6, ukuhamba
🧍	ima, ukuma, umuntu omile
🧍🏻	ima, uhlobo-1-2, ukuma, umuntu omile, umuntu omile: uhlobo-1-2
🧍🏼	ima, uhlobo-3, ukuma, umuntu omile, umuntu omile: uhlobo-3
🧍🏽	ima, uhlobo-4, ukuma, umuntu omile, umuntu omile: uhlobo-4
🧍🏾	ima, uhlobo-5, ukuma, umuntu omile, umuntu omile: uhlobo-5
🧍🏿	ima, uhlobo-6, ukuma, umuntu omile, umuntu omile: uhlobo-6
🧍‍♂	indoda, indoda emile, ukuma
🧍🏻‍♂	indoda, indoda emile, indoda emile: uhlobo-1-2, uhlobo-1-2, ukuma
🧍🏼‍♂	indoda, indoda emile, indoda emile: uhlobo-3, uhlobo-3, ukuma
🧍🏽‍♂	indoda, indoda emile, indoda emile: uhlobo-4, uhlobo-4, ukuma
🧍🏾‍♂	indoda, indoda emile, indoda emile: uhlobo-5, uhlobo-5, ukuma
🧍🏿‍♂	indoda, indoda emile, indoda emile: uhlobo-6, uhlobo-6, ukuma
🧍‍♀	ukuma, umama, umama omile
🧍🏻‍♀	uhlobo-1-2, ukuma, umama, umama omile, umama omile: uhlobo-1-2
🧍🏼‍♀	uhlobo-3, ukuma, umama, umama omile, umama omile: uhlobo-3
🧍🏽‍♀	uhlobo-4, ukuma, umama, umama omile, umama omile: uhlobo-4
🧍🏾‍♀	uhlobo-5, ukuma, umama, umama omile, umama omile: uhlobo-5
🧍🏿‍♀	uhlobo-6, ukuma, umama, umama omile, umama omile: uhlobo-6
🧎	guqa, ukuguqa, umuntu oguqile
🧎🏻	guqa, uhlobo-1-2, ukuguqa, umuntu oguqile, umuntu oguqile: uhlobo-1-2
🧎🏼	guqa, uhlobo-3, ukuguqa, umuntu oguqile, umuntu oguqile: uhlobo-3
🧎🏽	guqa, uhlobo-4, ukuguqa, umuntu oguqile, umuntu oguqile: uhlobo-4
🧎🏾	guqa, uhlobo-5, ukuguqa, umuntu oguqile, umuntu oguqile: uhlobo-5
🧎🏿	guqa, uhlobo-6, ukuguqa, umuntu oguqile, umuntu oguqile: uhlobo-6
🧎‍♂	indoda, indoda eguqlile, ukuguqa
🧎🏻‍♂	indoda, indoda eguqlile, indoda eguqlile: uhlobo-1-2, uhlobo-1-2, ukuguqa
🧎🏼‍♂	indoda, indoda eguqlile, indoda eguqlile: uhlobo-3, uhlobo-3, ukuguqa
🧎🏽‍♂	indoda, indoda eguqlile, indoda eguqlile: uhlobo-4, uhlobo-4, ukuguqa
🧎🏾‍♂	indoda, indoda eguqlile, indoda eguqlile: uhlobo-5, uhlobo-5, ukuguqa
🧎🏿‍♂	indoda, indoda eguqlile, indoda eguqlile: uhlobo-6, uhlobo-6, ukuguqa
🧎‍♀	ukuguqa, umama, umama ogulile
🧎🏻‍♀	uhlobo-1-2, ukuguqa, umama, umama ogulile, umama ogulile: uhlobo-1-2
🧎🏼‍♀	uhlobo-3, ukuguqa, umama, umama ogulile, umama ogulile: uhlobo-3
🧎🏽‍♀	uhlobo-4, ukuguqa, umama, umama ogulile, umama ogulile: uhlobo-4
🧎🏾‍♀	uhlobo-5, ukuguqa, umama, umama ogulile, umama ogulile: uhlobo-5
🧎🏿‍♀	uhlobo-6, ukuguqa, umama, umama ogulile, umama ogulile: uhlobo-6
👨‍🦯	indoda, indoda enekheni lokuhlola, ukufinyelela, ukuphophala
👨🏻‍🦯	indoda, indoda enekheni lokuhlola, indoda enekheni lokuhlola: uhlobo-1-2, uhlobo-1-2, ukufinyelela, ukuphophala
👨🏼‍🦯	indoda, indoda enekheni lokuhlola, indoda enekheni lokuhlola: uhlobo-3, uhlobo-3, ukufinyelela, ukuphophala
👨🏽‍🦯	indoda, indoda enekheni lokuhlola, indoda enekheni lokuhlola: uhlobo-4, uhlobo-4, ukufinyelela, ukuphophala
👨🏾‍🦯	indoda, indoda enekheni lokuhlola, indoda enekheni lokuhlola: uhlobo-5, uhlobo-5, ukufinyelela, ukuphophala
👨🏿‍🦯	indoda, indoda enekheni lokuhlola, indoda enekheni lokuhlola: uhlobo-6, uhlobo-6, ukufinyelela, ukuphophala
👩‍🦯	ukufinyelela, ukuphophala, umama onekheni lokuhlola
👩🏻‍🦯	uhlobo-1-2, ukufinyelela, ukuphophala, umama onekheni lokuhlola, umama onekheni lokuhlola: uhlobo-1-2
👩🏼‍🦯	uhlobo-3, ukufinyelela, ukuphophala, umama onekheni lokuhlola, umama onekheni lokuhlola: uhlobo-3
👩🏽‍🦯	uhlobo-4, ukufinyelela, ukuphophala, umama onekheni lokuhlola, umama onekheni lokuhlola: uhlobo-4
👩🏾‍🦯	uhlobo-5, ukufinyelela, ukuphophala, umama onekheni lokuhlola, umama onekheni lokuhlola: uhlobo-5
👩🏿‍🦯	uhlobo-6, ukufinyelela, ukuphophala, umama onekheni lokuhlola, umama onekheni lokuhlola: uhlobo-6
👨‍🦼	indoda, indoda esesitulweni esizihambelayo, isitula sokuhamba, ukufinyelela
👨🏻‍🦼	indoda, indoda esesitulweni esizihambelayo, indoda esesitulweni esizihambelayo: uhlobo-1-2, isitula sokuhamba, uhlobo-1-2, ukufinyelela
👨🏼‍🦼	indoda, indoda esesitulweni esizihambelayo, indoda esesitulweni esizihambelayo: uhlobo-3, isitula sokuhamba, uhlobo-3, ukufinyelela
👨🏽‍🦼	indoda, indoda esesitulweni esizihambelayo, indoda esesitulweni esizihambelayo: uhlobo-4, isitula sokuhamba, uhlobo-4, ukufinyelela
👨🏾‍🦼	indoda, indoda esesitulweni esizihambelayo, indoda esesitulweni esizihambelayo: uhlobo-5, isitula sokuhamba, uhlobo-5, ukufinyelela
👨🏿‍🦼	indoda, indoda esesitulweni esizihambelayo, indoda esesitulweni esizihambelayo: uhlobo-6, isitula sokuhamba, uhlobo-6, ukufinyelela
👩‍🦼	isitulo sokuhamba, ukufinyelela, umama, umama osesitulweni esizihambelayo
👩🏻‍🦼	isitulo sokuhamba, uhlobo-1-2, ukufinyelela, umama, umama osesitulweni esizihambelayo, umama osesitulweni esizihambelayo: uhlobo-1-2
👩🏼‍🦼	isitulo sokuhamba, uhlobo-3, ukufinyelela, umama, umama osesitulweni esizihambelayo, umama osesitulweni esizihambelayo: uhlobo-3
👩🏽‍🦼	isitulo sokuhamba, uhlobo-4, ukufinyelela, umama, umama osesitulweni esizihambelayo, umama osesitulweni esizihambelayo: uhlobo-4
👩🏾‍🦼	isitulo sokuhamba, uhlobo-5, ukufinyelela, umama, umama osesitulweni esizihambelayo, umama osesitulweni esizihambelayo: uhlobo-5
👩🏿‍🦼	isitulo sokuhamba, uhlobo-6, ukufinyelela, umama, umama osesitulweni esizihambelayo, umama osesitulweni esizihambelayo: uhlobo-6
👨‍🦽	indoda, indoda esesitulweni sokuhanjiswa, isitulo sokuhamba, ukufinyelela
👨🏻‍🦽	indoda, indoda esesitulweni sokuhanjiswa, indoda esesitulweni sokuhanjiswa: uhlobo-1-2, isitulo sokuhamba, uhlobo-1-2, ukufinyelela
👨🏼‍🦽	indoda, indoda esesitulweni sokuhanjiswa, indoda esesitulweni sokuhanjiswa: uhlobo-3, isitulo sokuhamba, uhlobo-3, ukufinyelela
👨🏽‍🦽	indoda, indoda esesitulweni sokuhanjiswa, indoda esesitulweni sokuhanjiswa: uhlobo-4, isitulo sokuhamba, uhlobo-4, ukufinyelela
👨🏾‍🦽	indoda, indoda esesitulweni sokuhanjiswa, indoda esesitulweni sokuhanjiswa: uhlobo-5, isitulo sokuhamba, uhlobo-5, ukufinyelela
👨🏿‍🦽	indoda, indoda esesitulweni sokuhanjiswa, indoda esesitulweni sokuhanjiswa: uhlobo-6, isitulo sokuhamba, uhlobo-6, ukufinyelela
👩‍🦽	isitulo sokuhamba, ukufinyelela, umama, umama osesitulweni sokuhanjiswa
👩🏻‍🦽	isitulo sokuhamba, uhlobo-1-2, ukufinyelela, umama, umama osesitulweni sokuhanjiswa, umama osesitulweni sokuhanjiswa: uhlobo-1-2
👩🏼‍🦽	isitulo sokuhamba, uhlobo-3, ukufinyelela, umama, umama osesitulweni sokuhanjiswa, umama osesitulweni sokuhanjiswa: uhlobo-3
👩🏽‍🦽	isitulo sokuhamba, uhlobo-4, ukufinyelela, umama, umama osesitulweni sokuhanjiswa, umama osesitulweni sokuhanjiswa: uhlobo-4
👩🏾‍🦽	isitulo sokuhamba, uhlobo-5, ukufinyelela, umama, umama osesitulweni sokuhanjiswa, umama osesitulweni sokuhanjiswa: uhlobo-5
👩🏿‍🦽	isitulo sokuhamba, uhlobo-6, ukufinyelela, umama, umama osesitulweni sokuhanjiswa, umama osesitulweni sokuhanjiswa: uhlobo-6
🏃	ukugijima, umjaho, umunto ogijimayo
🏃🏻	uhlobo-1-2, ukugijima, umjaho, umunto ogijimayo, umunto ogijimayo: uhlobo-1-2
🏃🏼	uhlobo-3, ukugijima, umjaho, umunto ogijimayo, umunto ogijimayo: uhlobo-3
🏃🏽	uhlobo-4, ukugijima, umjaho, umunto ogijimayo, umunto ogijimayo: uhlobo-4
🏃🏾	uhlobo-5, ukugijima, umjaho, umunto ogijimayo, umunto ogijimayo: uhlobo-5
🏃🏿	uhlobo-6, ukugijima, umjaho, umunto ogijimayo, umunto ogijimayo: uhlobo-6
🏃‍♂	indoda, indoda egijimayo, ukugijima, umjaho, umncintiswano
🏃🏻‍♂	indoda, indoda egijimayo, indoda egijimayo: uhlobo-1-2, uhlobo-1-2, ukugijima, umjaho, umncintiswano
🏃🏼‍♂	indoda, indoda egijimayo, indoda egijimayo: uhlobo-3, uhlobo-3, ukugijima, umjaho, umncintiswano
🏃🏽‍♂	indoda, indoda egijimayo, indoda egijimayo: uhlobo-4, uhlobo-4, ukugijima, umjaho, umncintiswano
🏃🏾‍♂	indoda, indoda egijimayo, indoda egijimayo: uhlobo-5, uhlobo-5, ukugijima, umjaho, umncintiswano
🏃🏿‍♂	indoda, indoda egijimayo, indoda egijimayo: uhlobo-6, uhlobo-6, ukugijima, umjaho, umncintiswano
🏃‍♀	owesimame, owesimame ogijimayo, ukugijima, umjaho, umncintiswane
🏃🏻‍♀	owesimame, owesimame ogijimayo, owesimame ogijimayo: uhlobo-1-2, uhlobo-1-2, ukugijima, umjaho, umncintiswane
🏃🏼‍♀	owesimame, owesimame ogijimayo, owesimame ogijimayo: uhlobo-3, uhlobo-3, ukugijima, umjaho, umncintiswane
🏃🏽‍♀	owesimame, owesimame ogijimayo, owesimame ogijimayo: uhlobo-4, uhlobo-4, ukugijima, umjaho, umncintiswane
🏃🏾‍♀	owesimame, owesimame ogijimayo, owesimame ogijimayo: uhlobo-5, uhlobo-5, ukugijima, umjaho, umncintiswane
🏃🏿‍♀	owesimame, owesimame ogijimayo, owesimame ogijimayo: uhlobo-6, uhlobo-6, ukugijima, umjaho, umncintiswane
💃	owesimame odansayo, owesimane, ukudansa
💃🏻	owesimame odansayo, owesimame odansayo: uhlobo-1-2, owesimane, uhlobo-1-2, ukudansa
💃🏼	owesimame odansayo, owesimame odansayo: uhlobo-3, owesimane, uhlobo-3, ukudansa
💃🏽	owesimame odansayo, owesimame odansayo: uhlobo-4, owesimane, uhlobo-4, ukudansa
💃🏾	owesimame odansayo, owesimame odansayo: uhlobo-5, owesimane, uhlobo-5, ukudansa
💃🏿	owesimame odansayo, owesimame odansayo: uhlobo-6, owesimane, uhlobo-6, ukudansa
🕺	dansa, indoda, ukudansa
🕺🏻	dansa, indoda, uhlobo-1-2, ukudansa, ukudansa: uhlobo-1-2
🕺🏼	dansa, indoda, uhlobo-3, ukudansa, ukudansa: uhlobo-3
🕺🏽	dansa, indoda, uhlobo-4, ukudansa, ukudansa: uhlobo-4
🕺🏾	dansa, indoda, uhlobo-5, ukudansa, ukudansa: uhlobo-5
🕺🏿	dansa, indoda, uhlobo-6, ukudansa, ukudansa: uhlobo-6
🕴️	ibhizinisi, indoda, indoda egqoke isudu, isudu
🕴🏻	ibhizinisi, indoda, indoda egqoke isudu, indoda egqoke isudu: uhlobo-1-2, isudu, uhlobo-1-2
🕴🏼	ibhizinisi, indoda, indoda egqoke isudu, indoda egqoke isudu: uhlobo-3, isudu, uhlobo-3
🕴🏽	ibhizinisi, indoda, indoda egqoke isudu, indoda egqoke isudu: uhlobo-4, isudu, uhlobo-4
🕴🏾	ibhizinisi, indoda, indoda egqoke isudu, indoda egqoke isudu: uhlobo-5, isudu, uhlobo-5
🕴🏿	ibhizinisi, indoda, indoda egqoke isudu, indoda egqoke isudu: uhlobo-6, isudu, uhlobo-6
👯	abantu abasemcimbini, indlebe, intombazane, owesimame, ukudansa
👯‍♂	amadoda asemcimbini, indlebe, indoda, ukuthokozela umcimbi, umdansi
👯‍♀	abasemame abasemcimbini, indlebe, owesimame, ukuthokozela umcimbi, umdansi
🧖	igumbi lestimu, isona, umuntu egumbini elinestimu
🧖🏻	igumbi lestimu, isona, uhlobo-1-2, umuntu egumbini elinestimu, umuntu egumbini elinestimu: uhlobo-1-2
🧖🏼	igumbi lestimu, isona, uhlobo-3, umuntu egumbini elinestimu, umuntu egumbini elinestimu: uhlobo-3
🧖🏽	igumbi lestimu, isona, uhlobo-4, umuntu egumbini elinestimu, umuntu egumbini elinestimu: uhlobo-4
🧖🏾	igumbi lestimu, isona, uhlobo-5, umuntu egumbini elinestimu, umuntu egumbini elinestimu: uhlobo-5
🧖🏿	igumbi lestimu, isona, uhlobo-6, umuntu egumbini elinestimu, umuntu egumbini elinestimu: uhlobo-6
🧖‍♂	igumbi lestimu, isona, owesilisa egunjini lestimu
🧖🏻‍♂	igumbi lestimu, isona, owesilisa egunjini lestimu, owesilisa egunjini lestimu: uhlobo-1-2, uhlobo-1-2
🧖🏼‍♂	igumbi lestimu, isona, owesilisa egunjini lestimu, owesilisa egunjini lestimu: uhlobo-3, uhlobo-3
🧖🏽‍♂	igumbi lestimu, isona, owesilisa egunjini lestimu, owesilisa egunjini lestimu: uhlobo-4, uhlobo-4
🧖🏾‍♂	igumbi lestimu, isona, owesilisa egunjini lestimu, owesilisa egunjini lestimu: uhlobo-5, uhlobo-5
🧖🏿‍♂	igumbi lestimu, isona, owesilisa egunjini lestimu, owesilisa egunjini lestimu: uhlobo-6, uhlobo-6
🧖‍♀	igumbi lestimu, isona, owesifazane egunjini lestimu
🧖🏻‍♀	igumbi lestimu, isona, owesifazane egunjini lestimu, owesifazane egunjini lestimu: uhlobo-1-2, uhlobo-1-2
🧖🏼‍♀	igumbi lestimu, isona, owesifazane egunjini lestimu, owesifazane egunjini lestimu: uhlobo-3, uhlobo-3
🧖🏽‍♀	igumbi lestimu, isona, owesifazane egunjini lestimu, owesifazane egunjini lestimu: uhlobo-4, uhlobo-4
🧖🏾‍♀	igumbi lestimu, isona, owesifazane egunjini lestimu, owesifazane egunjini lestimu: uhlobo-5, uhlobo-5
🧖🏿‍♀	igumbi lestimu, isona, owesifazane egunjini lestimu, owesifazane egunjini lestimu: uhlobo-6, uhlobo-6
🧗	umqwali, umuntu ogibelayo
🧗🏻	uhlobo-1-2, umqwali, umuntu ogibelayo, umuntu ogibelayo: uhlobo-1-2
🧗🏼	uhlobo-3, umqwali, umuntu ogibelayo, umuntu ogibelayo: uhlobo-3
🧗🏽	uhlobo-4, umqwali, umuntu ogibelayo, umuntu ogibelayo: uhlobo-4
🧗🏾	uhlobo-5, umqwali, umuntu ogibelayo, umuntu ogibelayo: uhlobo-5
🧗🏿	uhlobo-6, umqwali, umuntu ogibelayo, umuntu ogibelayo: uhlobo-6
🧗‍♂	owesilisa oqwalayo, umqwali
🧗🏻‍♂	owesilisa oqwalayo, owesilisa oqwalayo: uhlobo-1-2, uhlobo-1-2, umqwali
🧗🏼‍♂	owesilisa oqwalayo, owesilisa oqwalayo: uhlobo-3, uhlobo-3, umqwali
🧗🏽‍♂	owesilisa oqwalayo, owesilisa oqwalayo: uhlobo-4, uhlobo-4, umqwali
🧗🏾‍♂	owesilisa oqwalayo, owesilisa oqwalayo: uhlobo-5, uhlobo-5, umqwali
🧗🏿‍♂	owesilisa oqwalayo, owesilisa oqwalayo: uhlobo-6, uhlobo-6, umqwali
🧗‍♀	owesifazane oqwalayo, umqwali
🧗🏻‍♀	owesifazane oqwalayo, owesifazane oqwalayo: uhlobo-1-2, uhlobo-1-2, umqwali
🧗🏼‍♀	owesifazane oqwalayo, owesifazane oqwalayo: uhlobo-3, uhlobo-3, umqwali
🧗🏽‍♀	owesifazane oqwalayo, owesifazane oqwalayo: uhlobo-4, uhlobo-4, umqwali
🧗🏾‍♀	owesifazane oqwalayo, owesifazane oqwalayo: uhlobo-5, uhlobo-5, umqwali
🧗🏿‍♀	owesifazane oqwalayo, owesifazane oqwalayo: uhlobo-6, uhlobo-6, umqwali
🤺	ifensa, inkemba, perso, ukufensa, umdlalo
🏇	ihhashi, ihhashi lomjaho, ujokhi, umjaho wamahhashi, umqhudelwano
🏇🏻	ihhashi, ihhashi lomjaho, uhlobo-1-2, ujokhi, umjaho wamahhashi, umjaho wamahhashi: uhlobo-1-2, umqhudelwano
🏇🏼	ihhashi, ihhashi lomjaho, uhlobo-3, ujokhi, umjaho wamahhashi, umjaho wamahhashi: uhlobo-3, umqhudelwano
🏇🏽	ihhashi, ihhashi lomjaho, uhlobo-4, ujokhi, umjaho wamahhashi, umjaho wamahhashi: uhlobo-4, umqhudelwano
🏇🏾	ihhashi, ihhashi lomjaho, uhlobo-5, ujokhi, umjaho wamahhashi, umjaho wamahhashi: uhlobo-5, umqhudelwano
🏇🏿	ihhashi, ihhashi lomjaho, uhlobo-6, ujokhi, umjaho wamahhashi, umjaho wamahhashi: uhlobo-6, umqhudelwano
⛷️	isithwatha, odlala iski, ski
🏂️	ibhodi lesithwathwa, isithwatha, ski, umgibeli webhodi lesithwathwa
🏂🏻	ibhodi lesithwathwa, isithwatha, ski, uhlobo-1-2, umgibeli webhodi lesithwathwa, umgibeli webhodi lesithwathwa: uhlobo-1-2
🏂🏼	ibhodi lesithwathwa, isithwatha, ski, uhlobo-3, umgibeli webhodi lesithwathwa, umgibeli webhodi lesithwathwa: uhlobo-3
🏂🏽	ibhodi lesithwathwa, isithwatha, ski, uhlobo-4, umgibeli webhodi lesithwathwa, umgibeli webhodi lesithwathwa: uhlobo-4
🏂🏾	ibhodi lesithwathwa, isithwatha, ski, uhlobo-5, umgibeli webhodi lesithwathwa, umgibeli webhodi lesithwathwa: uhlobo-5
🏂🏿	ibhodi lesithwathwa, isithwatha, ski, uhlobo-6, umgibeli webhodi lesithwathwa, umgibeli webhodi lesithwathwa: uhlobo-6
🏌️	ibhola, igalofu, umuntu odlala igalofu
🏌🏻	ibhola, igalofu, uhlobo-1-2, umuntu odlala igalofu, umuntu odlala igalofu: uhlobo-1-2
🏌🏼	ibhola, igalofu, uhlobo-3, umuntu odlala igalofu, umuntu odlala igalofu: uhlobo-3
🏌🏽	ibhola, igalofu, uhlobo-4, umuntu odlala igalofu, umuntu odlala igalofu: uhlobo-4
🏌🏾	ibhola, igalofu, uhlobo-5, umuntu odlala igalofu, umuntu odlala igalofu: uhlobo-5
🏌🏿	ibhola, igalofu, uhlobo-6, umuntu odlala igalofu, umuntu odlala igalofu: uhlobo-6
🏌‍♂	igalofu, indoda, indoda edlala igalofu
🏌🏻‍♂	igalofu, indoda, indoda edlala igalofu, indoda edlala igalofu: uhlobo-1-2, uhlobo-1-2
🏌🏼‍♂	igalofu, indoda, indoda edlala igalofu, indoda edlala igalofu: uhlobo-3, uhlobo-3
🏌🏽‍♂	igalofu, indoda, indoda edlala igalofu, indoda edlala igalofu: uhlobo-4, uhlobo-4
🏌🏾‍♂	igalofu, indoda, indoda edlala igalofu, indoda edlala igalofu: uhlobo-5, uhlobo-5
🏌🏿‍♂	igalofu, indoda, indoda edlala igalofu, indoda edlala igalofu: uhlobo-6, uhlobo-6
🏌‍♀	igalofu, owesimame, owesimame odlala igalofu
🏌🏻‍♀	igalofu, owesimame, owesimame odlala igalofu, owesimame odlala igalofu: uhlobo-1-2, uhlobo-1-2
🏌🏼‍♀	igalofu, owesimame, owesimame odlala igalofu, owesimame odlala igalofu: uhlobo-3, uhlobo-3
🏌🏽‍♀	igalofu, owesimame, owesimame odlala igalofu, owesimame odlala igalofu: uhlobo-4, uhlobo-4
🏌🏾‍♀	igalofu, owesimame, owesimame odlala igalofu, owesimame odlala igalofu: uhlobo-5, uhlobo-5
🏌🏿‍♀	igalofu, owesimame, owesimame odlala igalofu, owesimame odlala igalofu: uhlobo-6, uhlobo-6
🏄️	ukudlala isurfing, umuntu ogibele isurf board
🏄🏻	uhlobo-1-2, ukudlala isurfing, umuntu ogibele isurf board, umuntu ogibele isurf board: uhlobo-1-2
🏄🏼	uhlobo-3, ukudlala isurfing, umuntu ogibele isurf board, umuntu ogibele isurf board: uhlobo-3
🏄🏽	uhlobo-4, ukudlala isurfing, umuntu ogibele isurf board, umuntu ogibele isurf board: uhlobo-4
🏄🏾	uhlobo-5, ukudlala isurfing, umuntu ogibele isurf board, umuntu ogibele isurf board: uhlobo-5
🏄🏿	uhlobo-6, ukudlala isurfing, umuntu ogibele isurf board, umuntu ogibele isurf board: uhlobo-6
