😀	gülmək, gülən üz, üz
🧛🏽	Drakula, orta dəri tonu, vampir, vampir: orta dəri tonu, xortdan
🧛🏾	Drakula, orta-tünd dəri tonu, vampir, vampir: orta-tünd dəri tonu, xortdan
🧛🏿	Drakula, tünd dəri tonu, vampir, vampir: tünd dəri tonu, xortdan
🧛‍♂	Drakula, kişi vampir, xortdan
🧛🏻‍♂	Drakula, açıq dəri tonu, kişi vampir, kişi vampir: açıq dəri tonu, xortdan
🧛🏼‍♂	Drakula, kişi vampir, kişi vampir: orta-açıq dəri tonu, orta-açıq dəri tonu, xortdan
🧛🏽‍♂	Drakula, kişi vampir, kişi vampir: orta dəri tonu, orta dəri tonu, xortdan
🧛🏾‍♂	Drakula, kişi vampir, kişi vampir: orta-tünd dəri tonu, orta-tünd dəri tonu, xortdan
🧛🏿‍♂	Drakula, kişi vampir, kişi vampir: tünd dəri tonu, tünd dəri tonu, xortdan
🧛‍♀	qadın vampir, xortdan
🧛🏻‍♀	açıq dəri tonu, qadın vampir, qadın vampir: açıq dəri tonu, xortdan
🧛🏼‍♀	orta-açıq dəri tonu, qadın vampir, qadın vampir: orta-açıq dəri tonu, xortdan
🧛🏽‍♀	orta dəri tonu, qadın vampir, qadın vampir: orta dəri tonu, xortdan
🧛🏾‍♀	orta-tünd dəri tonu, qadın vampir, qadın vampir: orta-tünd dəri tonu, xortdan
🧛🏿‍♀	qadın vampir, qadın vampir: tünd dəri tonu, tünd dəri tonu, xortdan
🧜	dəniz adamı, dəniz kişisi, dəniz qadını, su pərisi
🧜🏻	açıq dəri tonu, dəniz adamı, dəniz adamı: açıq dəri tonu, dəniz kişisi, dəniz qadını, su pərisi
🧜🏼	dəniz adamı, dəniz adamı: orta-açıq dəri tonu, dəniz kişisi, dəniz qadını, orta-açıq dəri tonu, su pərisi
🧜🏽	dəniz adamı, dəniz adamı: orta dəri tonu, dəniz kişisi, dəniz qadını, orta dəri tonu, su pərisi
🧜🏾	dəniz adamı, dəniz adamı: orta-tünd dəri tonu, dəniz kişisi, dəniz qadını, orta-tünd dəri tonu, su pərisi
🧜🏿	dəniz adamı, dəniz adamı: tünd dəri tonu, dəniz kişisi, dəniz qadını, su pərisi, tünd dəri tonu
🧜‍♂	Triton, dəniz kişisi
🧜🏻‍♂	Triton, açıq dəri tonu, dəniz kişisi, dəniz kişisi: açıq dəri tonu
🧜🏼‍♂	Triton, dəniz kişisi, dəniz kişisi: orta-açıq dəri tonu, orta-açıq dəri tonu
🧜🏽‍♂	Triton, dəniz kişisi, dəniz kişisi: orta dəri tonu, orta dəri tonu
🧜🏾‍♂	Triton, dəniz kişisi, dəniz kişisi: orta-tünd dəri tonu, orta-tünd dəri tonu
🧜🏿‍♂	Triton, dəniz kişisi, dəniz kişisi: tünd dəri tonu, tünd dəri tonu
🧜‍♀	dəniz qadını, su pərisi
🧜🏻‍♀	açıq dəri tonu, dəniz qadını, su pərisi, su pərisi: açıq dəri tonu
🧜🏼‍♀	dəniz qadını, orta-açıq dəri tonu, su pərisi, su pərisi: orta-açıq dəri tonu
🧜🏽‍♀	dəniz qadını, orta dəri tonu, su pərisi, su pərisi: orta dəri tonu
🧜🏾‍♀	dəniz qadını, orta-tünd dəri tonu, su pərisi, su pərisi: orta-tünd dəri tonu
🧜🏿‍♀	dəniz qadını, su pərisi, su pərisi: tünd dəri tonu, tünd dəri tonu
🧝	elf, sehrli
🧝🏻	açıq dəri tonu, elf, elf: açıq dəri tonu, sehrli
🧝🏼	elf, elf: orta-açıq dəri tonu, orta-açıq dəri tonu, sehrli
🧝🏽	elf, elf: orta dəri tonu, orta dəri tonu, sehrli
🧝🏾	elf, elf: orta-tünd dəri tonu, orta-tünd dəri tonu, sehrli
🧝🏿	elf, elf: tünd dəri tonu, sehrli, tünd dəri tonu
🧝‍♂	kişi elf, sehrli
🧝🏻‍♂	açıq dəri tonu, kişi elf, kişi elf: açıq dəri tonu, sehrli
🧝🏼‍♂	kişi elf, kişi elf: orta-açıq dəri tonu, orta-açıq dəri tonu, sehrli
🧝🏽‍♂	kişi elf, kişi elf: orta dəri tonu, orta dəri tonu, sehrli
🧝🏾‍♂	kişi elf, kişi elf: orta-tünd dəri tonu, orta-tünd dəri tonu, sehrli
🧝🏿‍♂	kişi elf, kişi elf: tünd dəri tonu, sehrli, tünd dəri tonu
🧝‍♀	qadın elf, sehrli
🧝🏻‍♀	açıq dəri tonu, qadın elf, qadın elf: açıq dəri tonu, sehrli
🧝🏼‍♀	orta-açıq dəri tonu, qadın elf, qadın elf: orta-açıq dəri tonu, sehrli
🧝🏽‍♀	orta dəri tonu, qadın elf, qadın elf: orta dəri tonu, sehrli
🧝🏾‍♀	orta-tünd dəri tonu, qadın elf, qadın elf: orta-tünd dəri tonu, sehrli
🧝🏿‍♀	qadın elf, qadın elf: tünd dəri tonu, sehrli, tünd dəri tonu
🧞	cin
🧞‍♂	cin, kişi cin
🧞‍♀	cin, qadın cin
🧟	gəzən ölü, xortdan, zombi
🧟‍♂	gəzən ölü, kişi zombi, xortdan
🧟‍♀	gəzən ölü, qadın zombi, xortdan
💆	masaj, salon, üz masajı
💆🏻	açıq dəri tonu, masaj, salon, üz masajı, üz masajı: açıq dəri tonu
💆🏼	masaj, orta-açıq dəri tonu, salon, üz masajı, üz masajı: orta-açıq dəri tonu
💆🏽	masaj, orta dəri tonu, salon, üz masajı, üz masajı: orta dəri tonu
💆🏾	masaj, orta-tünd dəri tonu, salon, üz masajı, üz masajı: orta-tünd dəri tonu
💆🏿	masaj, salon, tünd dəri tonu, üz masajı, üz masajı: tünd dəri tonu
💆‍♂	kişi, masaj, üz, üzünə masaj edən kişi
💆🏻‍♂	açıq dəri tonu, kişi, masaj, üz, üzünə masaj edən kişi, üzünə masaj edən kişi: açıq dəri tonu
💆🏼‍♂	kişi, masaj, orta-açıq dəri tonu, üz, üzünə masaj edən kişi, üzünə masaj edən kişi: orta-açıq dəri tonu
💆🏽‍♂	kişi, masaj, orta dəri tonu, üz, üzünə masaj edən kişi, üzünə masaj edən kişi: orta dəri tonu
💆🏾‍♂	kişi, masaj, orta-tünd dəri tonu, üz, üzünə masaj edən kişi, üzünə masaj edən kişi: orta-tünd dəri tonu
💆🏿‍♂	kişi, masaj, tünd dəri tonu, üz, üzünə masaj edən kişi, üzünə masaj edən kişi: tünd dəri tonu
💆‍♀	masaj, qadın, üz, üzünə masaj edən qadın
💆🏻‍♀	açıq dəri tonu, masaj, qadın, üz, üzünə masaj edən qadın, üzünə masaj edən qadın: açıq dəri tonu
💆🏼‍♀	masaj, orta-açıq dəri tonu, qadın, üz, üzünə masaj edən qadın, üzünə masaj edən qadın: orta-açıq dəri tonu
💆🏽‍♀	masaj, orta dəri tonu, qadın, üz, üzünə masaj edən qadın, üzünə masaj edən qadın: orta dəri tonu
💆🏾‍♀	masaj, orta-tünd dəri tonu, qadın, üz, üzünə masaj edən qadın, üzünə masaj edən qadın: orta-tünd dəri tonu
💆🏿‍♀	masaj, qadın, tünd dəri tonu, üz, üzünə masaj edən qadın, üzünə masaj edən qadın: tünd dəri tonu
💇	bərbər, gözəllik, saç kəsimi
💇🏻	açıq dəri tonu, bərbər, gözəllik, saç kəsimi, saç kəsimi: açıq dəri tonu
💇🏼	bərbər, gözəllik, orta-açıq dəri tonu, saç kəsimi, saç kəsimi: orta-açıq dəri tonu
💇🏽	bərbər, gözəllik, orta dəri tonu, saç kəsimi, saç kəsimi: orta dəri tonu
💇🏾	bərbər, gözəllik, orta-tünd dəri tonu, saç kəsimi, saç kəsimi: orta-tünd dəri tonu
💇🏿	bərbər, gözəllik, saç kəsimi, saç kəsimi: tünd dəri tonu, tünd dəri tonu
💇‍♂	kişi, saç kəsimi, saçını kəsdirən kişi
💇🏻‍♂	açıq dəri tonu, kişi, saç kəsimi, saçını kəsdirən kişi, saçını kəsdirən kişi: açıq dəri tonu
💇🏼‍♂	kişi, orta-açıq dəri tonu, saç kəsimi, saçını kəsdirən kişi, saçını kəsdirən kişi: orta-açıq dəri tonu
💇🏽‍♂	kişi, orta dəri tonu, saç kəsimi, saçını kəsdirən kişi, saçını kəsdirən kişi: orta dəri tonu
💇🏾‍♂	kişi, orta-tünd dəri tonu, saç kəsimi, saçını kəsdirən kişi, saçını kəsdirən kişi: orta-tünd dəri tonu
💇🏿‍♂	kişi, saç kəsimi, saçını kəsdirən kişi, saçını kəsdirən kişi: tünd dəri tonu, tünd dəri tonu
💇‍♀	qadın, saç kəsimi, saçını kəsdirən qadın
💇🏻‍♀	açıq dəri tonu, qadın, saç kəsimi, saçını kəsdirən qadın, saçını kəsdirən qadın: açıq dəri tonu
💇🏼‍♀	orta-açıq dəri tonu, qadın, saç kəsimi, saçını kəsdirən qadın, saçını kəsdirən qadın: orta-açıq dəri tonu
💇🏽‍♀	orta dəri tonu, qadın, saç kəsimi, saçını kəsdirən qadın, saçını kəsdirən qadın: orta dəri tonu
💇🏾‍♀	orta-tünd dəri tonu, qadın, saç kəsimi, saçını kəsdirən qadın, saçını kəsdirən qadın: orta-tünd dəri tonu
💇🏿‍♀	qadın, saç kəsimi, saçını kəsdirən qadın, saçını kəsdirən qadın: tünd dəri tonu, tünd dəri tonu
🚶	gəzinti, gəzmək, piyada, yürüş
🚶🏻	açıq dəri tonu, gəzinti, gəzmək, piyada, piyada: açıq dəri tonu, yürüş
🚶🏼	gəzinti, gəzmək, orta-açıq dəri tonu, piyada, piyada: orta-açıq dəri tonu, yürüş
🚶🏽	gəzinti, gəzmək, orta dəri tonu, piyada, piyada: orta dəri tonu, yürüş
🚶🏾	gəzinti, gəzmək, orta-tünd dəri tonu, piyada, piyada: orta-tünd dəri tonu, yürüş
🚶🏿	gəzinti, gəzmək, piyada, piyada: tünd dəri tonu, tünd dəri tonu, yürüş
🚶‍♂	gəzinti, gəzən kişi, kişi, yürüş
🚶🏻‍♂	açıq dəri tonu, gəzinti, gəzən kişi, gəzən kişi: açıq dəri tonu, kişi, yürüş
🚶🏼‍♂	gəzinti, gəzən kişi, gəzən kişi: orta-açıq dəri tonu, kişi, orta-açıq dəri tonu, yürüş
🚶🏽‍♂	gəzinti, gəzən kişi, gəzən kişi: orta dəri tonu, kişi, orta dəri tonu, yürüş
🚶🏾‍♂	gəzinti, gəzən kişi, gəzən kişi: orta-tünd dəri tonu, kişi, orta-tünd dəri tonu, yürüş
🚶🏿‍♂	gəzinti, gəzən kişi, gəzən kişi: tünd dəri tonu, kişi, tünd dəri tonu, yürüş
🚶‍♀	gəzinti, gəzən qadın, qadın, yürüş
🚶🏻‍♀	açıq dəri tonu, gəzinti, gəzən qadın, gəzən qadın: açıq dəri tonu, qadın, yürüş
🚶🏼‍♀	gəzinti, gəzən qadın, gəzən qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, qadın, yürüş
🚶🏽‍♀	gəzinti, gəzən qadın, gəzən qadın: orta dəri tonu, orta dəri tonu, qadın, yürüş
🚶🏾‍♀	gəzinti, gəzən qadın, gəzən qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, qadın, yürüş
🚶🏿‍♀	gəzinti, gəzən qadın, gəzən qadın: tünd dəri tonu, qadın, tünd dəri tonu, yürüş
🧍	duran adam, durmaq
🧍🏻	açıq dəri tonu, duran adam, duran adam: açıq dəri tonu, durmaq
🧍🏼	duran adam, duran adam: orta-açıq dəri tonu, durmaq, orta-açıq dəri tonu
🧍🏽	duran adam, duran adam: orta dəri tonu, durmaq, orta dəri tonu
🧍🏾	duran adam, duran adam: orta-tünd dəri tonu, durmaq, orta-tünd dəri tonu
🧍🏿	duran adam, duran adam: tünd dəri tonu, durmaq, tünd dəri tonu
🧍‍♂	duran, duran kişi, kişi
🧍🏻‍♂	açıq dəri tonu, duran, duran kişi: açıq dəri tonu, kişi
🧍🏼‍♂	duran, duran kişi: orta-açıq dəri tonu, kişi, orta-açıq dəri tonu
🧍🏽‍♂	duran, duran kişi: orta dəri tonu, kişi, orta dəri tonu
🧍🏾‍♂	duran, duran kişi: orta-tünd dəri tonu, kişi, orta-tünd dəri tonu
🧍🏿‍♂	duran, duran kişi: tünd dəri tonu, kişi, tünd dəri tonu
🧍‍♀	duran, duran qadın, qadın
🧍🏻‍♀	açıq dəri tonu, duran, duran qadın: açıq dəri tonu, qadın
🧍🏼‍♀	duran, duran qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, qadın
🧍🏽‍♀	duran, duran qadın: orta dəri tonu, orta dəri tonu, qadın
🧍🏾‍♀	duran, duran qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, qadın
🧍🏿‍♀	duran, duran qadın: tünd dəri tonu, qadın, tünd dəri tonu
🧎	dizi üstündə, dizi üstündə adam
🧎🏻	açıq dəri tonu, dizi üstündə, dizi üstündə adam, dizi üstündə adam: açıq dəri tonu
🧎🏼	dizi üstündə, dizi üstündə adam, dizi üstündə adam: orta-açıq dəri tonu, orta-açıq dəri tonu
🧎🏽	dizi üstündə, dizi üstündə adam, dizi üstündə adam: orta dəri tonu, orta dəri tonu
🧎🏾	dizi üstündə, dizi üstündə adam, dizi üstündə adam: orta-tünd dəri tonu, orta-tünd dəri tonu
🧎🏿	dizi üstündə, dizi üstündə adam, dizi üstündə adam: tünd dəri tonu, tünd dəri tonu
🧎‍♂	dizi üstündə, dizi üstündə kişi, kişi
🧎🏻‍♂	açıq dəri tonu, dizi üstündə, dizi üstündə kişi, dizi üstündə kişi: açıq dəri tonu, kişi
🧎🏼‍♂	dizi üstündə, dizi üstündə kişi, dizi üstündə kişi: orta-açıq dəri tonu, kişi, orta-açıq dəri tonu
🧎🏽‍♂	dizi üstündə, dizi üstündə kişi, dizi üstündə kişi: orta dəri tonu, kişi, orta dəri tonu
🧎🏾‍♂	dizi üstündə, dizi üstündə kişi, dizi üstündə kişi: orta-tünd dəri tonu, kişi, orta-tünd dəri tonu
🧎🏿‍♂	dizi üstündə, dizi üstündə kişi, dizi üstündə kişi: tünd dəri tonu, kişi, tünd dəri tonu
🧎‍♀	dizi üstündə, dizi üstündə qadın, qadın
🧎🏻‍♀	açıq dəri tonu, dizi üstündə, dizi üstündə qadın, dizi üstündə qadın: açıq dəri tonu, qadın
🧎🏼‍♀	dizi üstündə, dizi üstündə qadın, dizi üstündə qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, qadın
🧎🏽‍♀	dizi üstündə, dizi üstündə qadın, dizi üstündə qadın: orta dəri tonu, orta dəri tonu, qadın
🧎🏾‍♀	dizi üstündə, dizi üstündə qadın, dizi üstündə qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, qadın
🧎🏿‍♀	dizi üstündə, dizi üstündə qadın, dizi üstündə qadın: tünd dəri tonu, qadın, tünd dəri tonu
👨‍🦯	kişi, kor, zond ilə kişi
👨🏻‍🦯	açıq dəri tonu, kişi, kor, zond ilə kişi, zond ilə kişi: açıq dəri tonu
👨🏼‍🦯	kişi, kor, orta-açıq dəri tonu, zond ilə kişi, zond ilə kişi: orta-açıq dəri tonu
👨🏽‍🦯	kişi, kor, orta dəri tonu, zond ilə kişi, zond ilə kişi: orta dəri tonu
👨🏾‍🦯	kişi, kor, orta-tünd dəri tonu, zond ilə kişi, zond ilə kişi: orta-tünd dəri tonu
👨🏿‍🦯	kişi, kor, tünd dəri tonu, zond ilə kişi, zond ilə kişi: tünd dəri tonu
👩‍🦯	kor, qadın, zond ilə qadın
👩🏻‍🦯	açıq dəri tonu, kor, qadın, zond ilə qadın, zond ilə qadın: açıq dəri tonu
👩🏼‍🦯	kor, orta-açıq dəri tonu, qadın, zond ilə qadın, zond ilə qadın: orta-açıq dəri tonu
👩🏽‍🦯	kor, orta dəri tonu, qadın, zond ilə qadın, zond ilə qadın: orta dəri tonu
👩🏾‍🦯	kor, orta-tünd dəri tonu, qadın, zond ilə qadın, zond ilə qadın: orta-tünd dəri tonu
👩🏿‍🦯	kor, qadın, tünd dəri tonu, zond ilə qadın, zond ilə qadın: tünd dəri tonu
👨‍🦼	kişi, motorlu, motorlu oturacaqda kişi, oturacaqda
👨🏻‍🦼	açıq dəri tonu, kişi, motorlu, motorlu oturacaqda kişi: açıq dəri tonu, oturacaqda
👨🏼‍🦼	kişi, motorlu, motorlu oturacaqda kişi: orta-açıq dəri tonu, orta-açıq dəri tonu, oturacaqda
👨🏽‍🦼	kişi, motorlu, motorlu oturacaqda kişi: orta dəri tonu, orta dəri tonu, oturacaqda
👨🏾‍🦼	kişi, motorlu, motorlu oturacaqda kişi: orta-tünd dəri tonu, orta-tünd dəri tonu, oturacaqda
👨🏿‍🦼	kişi, motorlu, motorlu oturacaqda kişi: tünd dəri tonu, oturacaqda, tünd dəri tonu
👩‍🦼	motorlu, motorlu oturacaqda qadın, oturacaqda, qadın
👩🏻‍🦼	açıq dəri tonu, motorlu, motorlu oturacaqda qadın: açıq dəri tonu, oturacaqda, qadın
👩🏼‍🦼	motorlu, motorlu oturacaqda qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, oturacaqda, qadın
👩🏽‍🦼	motorlu, motorlu oturacaqda qadın: orta dəri tonu, orta dəri tonu, oturacaqda, qadın
👩🏾‍🦼	motorlu, motorlu oturacaqda qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, oturacaqda, qadın
👩🏿‍🦼	motorlu, motorlu oturacaqda qadın: tünd dəri tonu, oturacaqda, qadın, tünd dəri tonu
👨‍🦽	kişi, manual, manual oturacaqda kişi, oturacaqda
👨🏻‍🦽	açıq dəri tonu, kişi, manual, manual oturacaqda kişi: açıq dəri tonu, oturacaqda
👨🏼‍🦽	kişi, manual, manual oturacaqda kişi: orta-açıq dəri tonu, orta-açıq dəri tonu, oturacaqda
👨🏽‍🦽	kişi, manual, manual oturacaqda kişi: orta dəri tonu, orta dəri tonu, oturacaqda
👨🏾‍🦽	kişi, manual, manual oturacaqda kişi: orta-tünd dəri tonu, orta-tünd dəri tonu, oturacaqda
👨🏿‍🦽	kişi, manual, manual oturacaqda kişi: tünd dəri tonu, oturacaqda, tünd dəri tonu
👩‍🦽	manual, manual oturacaqda qadın, oturacaqda, qadın
👩🏻‍🦽	açıq dəri tonu, manual, manual oturacaqda qadın: açıq dəri tonu, oturacaqda, qadın
👩🏼‍🦽	manual, manual oturacaqda qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, oturacaqda, qadın
👩🏽‍🦽	manual, manual oturacaqda qadın: orta dəri tonu, orta dəri tonu, oturacaqda, qadın
👩🏾‍🦽	manual, manual oturacaqda qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, oturacaqda, qadın
👩🏿‍🦽	manual, manual oturacaqda qadın: tünd dəri tonu, oturacaqda, qadın, tünd dəri tonu
🏃	atlet, marafon, qaçış
🏃🏻	atlet, atlet: açıq dəri tonu, açıq dəri tonu, marafon, qaçış
🏃🏼	atlet, atlet: orta-açıq dəri tonu, marafon, orta-açıq dəri tonu, qaçış
🏃🏽	atlet, atlet: orta dəri tonu, marafon, orta dəri tonu, qaçış
🏃🏾	atlet, atlet: orta-tünd dəri tonu, marafon, orta-tünd dəri tonu, qaçış
🏃🏿	atlet, atlet: tünd dəri tonu, marafon, qaçış, tünd dəri tonu
🏃‍♂	kişi, marafon, qaçan kişi, qaçış, yarış
🏃🏻‍♂	açıq dəri tonu, kişi, marafon, qaçan kişi, qaçan kişi: açıq dəri tonu, qaçış, yarış
🏃🏼‍♂	kişi, marafon, orta-açıq dəri tonu, qaçan kişi, qaçan kişi: orta-açıq dəri tonu, qaçış, yarış
🏃🏽‍♂	kişi, marafon, orta dəri tonu, qaçan kişi, qaçan kişi: orta dəri tonu, qaçış, yarış
🏃🏾‍♂	kişi, marafon, orta-tünd dəri tonu, qaçan kişi, qaçan kişi: orta-tünd dəri tonu, qaçış, yarış
🏃🏿‍♂	kişi, marafon, qaçan kişi, qaçan kişi: tünd dəri tonu, qaçış, tünd dəri tonu, yarış
🏃‍♀	marafon, qadın, qaçan qadın, qaçış, yarış
🏃🏻‍♀	açıq dəri tonu, marafon, qadın, qaçan qadın, qaçan qadın: açıq dəri tonu, qaçış, yarış
🏃🏼‍♀	marafon, orta-açıq dəri tonu, qadın, qaçan qadın, qaçan qadın: orta-açıq dəri tonu, qaçış, yarış
🏃🏽‍♀	marafon, orta dəri tonu, qadın, qaçan qadın, qaçan qadın: orta dəri tonu, qaçış, yarış
🏃🏾‍♀	marafon, orta-tünd dəri tonu, qadın, qaçan qadın, qaçan qadın: orta-tünd dəri tonu, qaçış, yarış
🏃🏿‍♀	marafon, qadın, qaçan qadın, qaçan qadın: tünd dəri tonu, qaçış, tünd dəri tonu, yarış
💃	qadın, rəqs, rəqs edən qadın
💃🏻	açıq dəri tonu, qadın, rəqs, rəqs edən qadın, rəqs edən qadın: açıq dəri tonu
💃🏼	orta-açıq dəri tonu, qadın, rəqs, rəqs edən qadın, rəqs edən qadın: orta-açıq dəri tonu
💃🏽	orta dəri tonu, qadın, rəqs, rəqs edən qadın, rəqs edən qadın: orta dəri tonu
💃🏾	orta-tünd dəri tonu, qadın, rəqs, rəqs edən qadın, rəqs edən qadın: orta-tünd dəri tonu
💃🏿	qadın, rəqs, rəqs edən qadın, rəqs edən qadın: tünd dəri tonu, tünd dəri tonu
🕺	kişi, mahnı, rəqs, əylənən kişilər
🕺🏻	açıq dəri tonu, kişi, mahnı, rəqs, əylənən kişilər, əylənən kişilər: açıq dəri tonu
🕺🏼	kişi, mahnı, orta-açıq dəri tonu, rəqs, əylənən kişilər, əylənən kişilər: orta-açıq dəri tonu
🕺🏽	kişi, mahnı, orta dəri tonu, rəqs, əylənən kişilər, əylənən kişilər: orta dəri tonu
🕺🏾	kişi, mahnı, orta-tünd dəri tonu, rəqs, əylənən kişilər, əylənən kişilər: orta-tünd dəri tonu
🕺🏿	kişi, mahnı, rəqs, tünd dəri tonu, əylənən kişilər, əylənən kişilər: tünd dəri tonu
🕴️	biznes, işgüzar kostyumlu kişi, kişi, kostyum
🕴🏻	açıq dəri tonu, biznes, işgüzar kostyumlu kişi, işgüzar kostyumlu kişi: açıq dəri tonu, kişi, kostyum
🕴🏼	biznes, işgüzar kostyumlu kişi, işgüzar kostyumlu kişi: orta-açıq dəri tonu, kişi, kostyum, orta-açıq dəri tonu
🕴🏽	biznes, işgüzar kostyumlu kişi, işgüzar kostyumlu kişi: orta dəri tonu, kişi, kostyum, orta dəri tonu
🕴🏾	biznes, işgüzar kostyumlu kişi, işgüzar kostyumlu kişi: orta-tünd dəri tonu, kişi, kostyum, orta-tünd dəri tonu
🕴🏿	biznes, işgüzar kostyumlu kişi, işgüzar kostyumlu kişi: tünd dəri tonu, kişi, kostyum, tünd dəri tonu
👯	dovşan, qadın, qulaq, qız, rəqqasə, şənlənən qadınlar
👯‍♂	dovşan qulaq, kişi, parti, rəqqas, rəqs edən kişi
👯‍♀	dovşan qulaq, parti, qadın, rəqqasə, rəqs edən qadınlar
🧖	buxarlı otaq, buxarlı otaqda adam, sauna
🧖🏻	açıq dəri tonu, buxarlı otaq, buxarlı otaqda adam, buxarlı otaqda adam: açıq dəri tonu, sauna
🧖🏼	buxarlı otaq, buxarlı otaqda adam, buxarlı otaqda adam: orta-açıq dəri tonu, orta-açıq dəri tonu, sauna
🧖🏽	buxarlı otaq, buxarlı otaqda adam, buxarlı otaqda adam: orta dəri tonu, orta dəri tonu, sauna
🧖🏾	buxarlı otaq, buxarlı otaqda adam, buxarlı otaqda adam: orta-tünd dəri tonu, orta-tünd dəri tonu, sauna
🧖🏿	buxarlı otaq, buxarlı otaqda adam, buxarlı otaqda adam: tünd dəri tonu, sauna, tünd dəri tonu
🧖‍♂	buxarlı otaq, buxarlı otaqda kişi, sauna
🧖🏻‍♂	açıq dəri tonu, buxarlı otaq, buxarlı otaqda kişi, buxarlı otaqda kişi: açıq dəri tonu, sauna
🧖🏼‍♂	buxarlı otaq, buxarlı otaqda kişi, buxarlı otaqda kişi: orta-açıq dəri tonu, orta-açıq dəri tonu, sauna
🧖🏽‍♂	buxarlı otaq, buxarlı otaqda kişi, buxarlı otaqda kişi: orta dəri tonu, orta dəri tonu, sauna
🧖🏾‍♂	buxarlı otaq, buxarlı otaqda kişi, buxarlı otaqda kişi: orta-tünd dəri tonu, orta-tünd dəri tonu, sauna
🧖🏿‍♂	buxarlı otaq, buxarlı otaqda kişi, buxarlı otaqda kişi: tünd dəri tonu, sauna, tünd dəri tonu
🧖‍♀	buxarlı otaq, buxarlı otaqda qadın, sauna
🧖🏻‍♀	açıq dəri tonu, buxarlı otaq, buxarlı otaqda qadın, buxarlı otaqda qadın: açıq dəri tonu, sauna
🧖🏼‍♀	buxarlı otaq, buxarlı otaqda qadın, buxarlı otaqda qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, sauna
🧖🏽‍♀	buxarlı otaq, buxarlı otaqda qadın, buxarlı otaqda qadın: orta dəri tonu, orta dəri tonu, sauna
🧖🏾‍♀	buxarlı otaq, buxarlı otaqda qadın, buxarlı otaqda qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, sauna
🧖🏿‍♀	buxarlı otaq, buxarlı otaqda qadın, buxarlı otaqda qadın: tünd dəri tonu, sauna, tünd dəri tonu
🧗	dırmaşan, dırmaşan adam
🧗🏻	açıq dəri tonu, dırmaşan, dırmaşan adam, dırmaşan adam: açıq dəri tonu
🧗🏼	dırmaşan, dırmaşan adam, dırmaşan adam: orta-açıq dəri tonu, orta-açıq dəri tonu
🧗🏽	dırmaşan, dırmaşan adam, dırmaşan adam: orta dəri tonu, orta dəri tonu
🧗🏾	dırmaşan, dırmaşan adam, dırmaşan adam: orta-tünd dəri tonu, orta-tünd dəri tonu
🧗🏿	dırmaşan, dırmaşan adam, dırmaşan adam: tünd dəri tonu, tünd dəri tonu
🧗‍♂	dırmaşan, dırmaşan kişi
🧗🏻‍♂	açıq dəri tonu, dırmaşan, dırmaşan kişi, dırmaşan kişi: açıq dəri tonu
🧗🏼‍♂	dırmaşan, dırmaşan kişi, dırmaşan kişi: orta-açıq dəri tonu, orta-açıq dəri tonu
🧗🏽‍♂	dırmaşan, dırmaşan kişi, dırmaşan kişi: orta dəri tonu, orta dəri tonu
🧗🏾‍♂	dırmaşan, dırmaşan kişi, dırmaşan kişi: orta-tünd dəri tonu, orta-tünd dəri tonu
🧗🏿‍♂	dırmaşan, dırmaşan kişi, dırmaşan kişi: tünd dəri tonu, tünd dəri tonu
🧗‍♀	dırmaşan, dırmaşan qadın
🧗🏻‍♀	açıq dəri tonu, dırmaşan, dırmaşan qadın, dırmaşan qadın: açıq dəri tonu
🧗🏼‍♀	dırmaşan, dırmaşan qadın, dırmaşan qadın: orta-açıq dəri tonu, orta-açıq dəri tonu
🧗🏽‍♀	dırmaşan, dırmaşan qadın, dırmaşan qadın: orta dəri tonu, orta dəri tonu
🧗🏾‍♀	dırmaşan, dırmaşan qadın, dırmaşan qadın: orta-tünd dəri tonu, orta-tünd dəri tonu
🧗🏿‍♀	dırmaşan, dırmaşan qadın, dırmaşan qadın: tünd dəri tonu, tünd dəri tonu
🤺	idman, qılınc, qılınc oynatma, yarışma
🏇	at, at yarışı, jokey, yarış, yarış atı
🏇🏻	at, at yarışı, at yarışı: açıq dəri tonu, açıq dəri tonu, jokey, yarış, yarış atı
🏇🏼	at, at yarışı, at yarışı: orta-açıq dəri tonu, jokey, orta-açıq dəri tonu, yarış, yarış atı
🏇🏽	at, at yarışı, at yarışı: orta dəri tonu, jokey, orta dəri tonu, yarış, yarış atı
🏇🏾	at, at yarışı, at yarışı: orta-tünd dəri tonu, jokey, orta-tünd dəri tonu, yarış, yarış atı
🏇🏿	at, at yarışı, at yarışı: tünd dəri tonu, jokey, tünd dəri tonu, yarış, yarış atı
⛷️	qar, xizək, xizəkçi
🏂️	qar, snouborder, snoubort, xizək
