😀	инээсэн царай, инээх, царай
💆🏾	бордуу, гоо сайхан, массаж, нүүр, нүүрний массаж, нүүрний массаж: бордуу
💆🏿	бор, гоо сайхан, массаж, нүүр, нүүрний массаж, нүүрний массаж: бор
💆‍♂	массаж, нүүр, нүүрэндээ массаж хийлгэж буй эрэгтэй, эр, эрэгтэй
💆🏻‍♂	массаж, нүүр, нүүрэндээ массаж хийлгэж буй эрэгтэй, нүүрэндээ массаж хийлгэж буй эрэгтэй: цайвар, цайвар, эр, эрэгтэй
💆🏼‍♂	бага зэргийн цайвар, массаж, нүүр, нүүрэндээ массаж хийлгэж буй эрэгтэй, нүүрэндээ массаж хийлгэж буй эрэгтэй: бага зэргийн цайвар, эр, эрэгтэй
💆🏽‍♂	дунд зэргийн, массаж, нүүр, нүүрэндээ массаж хийлгэж буй эрэгтэй, нүүрэндээ массаж хийлгэж буй эрэгтэй: дунд зэргийн, эр, эрэгтэй
💆🏾‍♂	бордуу, массаж, нүүр, нүүрэндээ массаж хийлгэж буй эрэгтэй, нүүрэндээ массаж хийлгэж буй эрэгтэй: бордуу, эр, эрэгтэй
💆🏿‍♂	бор, массаж, нүүр, нүүрэндээ массаж хийлгэж буй эрэгтэй, нүүрэндээ массаж хийлгэж буй эрэгтэй: бор, эр, эрэгтэй
💆‍♀	массаж, нүүр, нүүрэндээ массаж хийлгэж буй эмэгтэй, эм, эмэгтэй
💆🏻‍♀	массаж, нүүр, нүүрэндээ массаж хийлгэж буй эмэгтэй, нүүрэндээ массаж хийлгэж буй эмэгтэй: цайвар, цайвар, эм, эмэгтэй
💆🏼‍♀	бага зэргийн цайвар, массаж, нүүр, нүүрэндээ массаж хийлгэж буй эмэгтэй, нүүрэндээ массаж хийлгэж буй эмэгтэй: бага зэргийн цайвар, эм, эмэгтэй
💆🏽‍♀	дунд зэргийн, массаж, нүүр, нүүрэндээ массаж хийлгэж буй эмэгтэй, нүүрэндээ массаж хийлгэж буй эмэгтэй: дунд зэргийн, эм, эмэгтэй
💆🏾‍♀	бордуу, массаж, нүүр, нүүрэндээ массаж хийлгэж буй эмэгтэй, нүүрэндээ массаж хийлгэж буй эмэгтэй: бордуу, эм, эмэгтэй
💆🏿‍♀	бор, массаж, нүүр, нүүрэндээ массаж хийлгэж буй эмэгтэй, нүүрэндээ массаж хийлгэж буй эмэгтэй: бор, эм, эмэгтэй
💇	засалт, хайч, эмэгтэй хүн, үс, үс засалт
💇🏻	засалт, хайч, цайвар, эмэгтэй хүн, үс, үс засалт: цайвар
💇🏼	бага зэргийн цайвар, засалт, хайч, эмэгтэй хүн, үс, үс засалт: бага зэргийн цайвар
💇🏽	дунд зэргийн, засалт, хайч, эмэгтэй хүн, үс, үс засалт: дунд зэргийн
💇🏾	бордуу, засалт, хайч, эмэгтэй хүн, үс, үс засалт: бордуу
💇🏿	бор, засалт, хайч, эмэгтэй хүн, үс, үс засалт: бор
💇‍♂	эр, эрэгтэй, үс тайрах, үсээ тайруулж буй эрэгтэй
💇🏻‍♂	цайвар, эр, эрэгтэй, үс тайрах, үсээ тайруулж буй эрэгтэй, үсээ тайруулж буй эрэгтэй: цайвар
💇🏼‍♂	бага зэргийн цайвар, эр, эрэгтэй, үс тайрах, үсээ тайруулж буй эрэгтэй, үсээ тайруулж буй эрэгтэй: бага зэргийн цайвар
💇🏽‍♂	дунд зэргийн, эр, эрэгтэй, үс тайрах, үсээ тайруулж буй эрэгтэй, үсээ тайруулж буй эрэгтэй: дунд зэргийн
💇🏾‍♂	бордуу, эр, эрэгтэй, үс тайрах, үсээ тайруулж буй эрэгтэй, үсээ тайруулж буй эрэгтэй: бордуу
💇🏿‍♂	бор, эр, эрэгтэй, үс тайрах, үсээ тайруулж буй эрэгтэй, үсээ тайруулж буй эрэгтэй: бор
💇‍♀	эм, эмэгтэй, үс тайрах, үсээ тайруулж буй эмэгтэй
💇🏻‍♀	цайвар, эм, эмэгтэй, үс тайрах, үсээ тайруулж буй эмэгтэй, үсээ тайруулж буй эмэгтэй: цайвар
💇🏼‍♀	бага зэргийн цайвар, эм, эмэгтэй, үс тайрах, үсээ тайруулж буй эмэгтэй, үсээ тайруулж буй эмэгтэй: бага зэргийн цайвар
💇🏽‍♀	дунд зэргийн, эм, эмэгтэй, үс тайрах, үсээ тайруулж буй эмэгтэй, үсээ тайруулж буй эмэгтэй: дунд зэргийн
💇🏾‍♀	бордуу, эм, эмэгтэй, үс тайрах, үсээ тайруулж буй эмэгтэй, үсээ тайруулж буй эмэгтэй: бордуу
💇🏿‍♀	бор, эм, эмэгтэй, үс тайрах, үсээ тайруулж буй эмэгтэй, үсээ тайруулж буй эмэгтэй: бор
🚶	алхаж буй хүн, алхах, хүн
🚶🏻	алхаж буй хүн, алхаж буй хүн: цайвар, алхах, хүн, цайвар
🚶🏼	алхаж буй хүн, алхаж буй хүн: бага зэргийн цайвар, алхах, бага зэргийн цайвар, хүн
🚶🏽	алхаж буй хүн, алхаж буй хүн: дунд зэргийн, алхах, дунд зэргийн, хүн
🚶🏾	алхаж буй хүн, алхаж буй хүн: бордуу, алхах, бордуу, хүн
🚶🏿	алхаж буй хүн, алхаж буй хүн: бор, алхах, бор, хүн
🚶‍♂	алхаж буй эрэгтэй, алхалт, алхах, эр, эрэгтэй
🚶🏻‍♂	алхаж буй эрэгтэй, алхаж буй эрэгтэй: цайвар, алхалт, алхах, цайвар, эр, эрэгтэй
🚶🏼‍♂	алхаж буй эрэгтэй, алхаж буй эрэгтэй: бага зэргийн цайвар, алхалт, алхах, бага зэргийн цайвар, эр, эрэгтэй
🚶🏽‍♂	алхаж буй эрэгтэй, алхаж буй эрэгтэй: дунд зэргийн, алхалт, алхах, дунд зэргийн, эр, эрэгтэй
🚶🏾‍♂	алхаж буй эрэгтэй, алхаж буй эрэгтэй: бордуу, алхалт, алхах, бордуу, эр, эрэгтэй
🚶🏿‍♂	алхаж буй эрэгтэй, алхаж буй эрэгтэй: бор, алхалт, алхах, бор, эр, эрэгтэй
🚶‍♀	алхаж буй эмэгтэй, алхалт, алхах, эм, эмэгтэй
🚶🏻‍♀	алхаж буй эмэгтэй, алхаж буй эмэгтэй: цайвар, алхалт, алхах, цайвар, эм, эмэгтэй
🚶🏼‍♀	алхаж буй эмэгтэй, алхаж буй эмэгтэй: бага зэргийн цайвар, алхалт, алхах, бага зэргийн цайвар, эм, эмэгтэй
🚶🏽‍♀	алхаж буй эмэгтэй, алхаж буй эмэгтэй: дунд зэргийн, алхалт, алхах, дунд зэргийн, эм, эмэгтэй
🚶🏾‍♀	алхаж буй эмэгтэй, алхаж буй эмэгтэй: бордуу, алхалт, алхах, бордуу, эм, эмэгтэй
🚶🏿‍♀	алхаж буй эмэгтэй, алхаж буй эмэгтэй: бор, алхалт, алхах, бор, эм, эмэгтэй
🧍	зогс, зогсож буй, зогсож буй хүн
🧍🏻	зогс, зогсож буй, зогсож буй хүн, зогсож буй хүн: цайвар, цайвар
🧍🏼	бага зэргийн цайвар, зогс, зогсож буй, зогсож буй хүн, зогсож буй хүн: бага зэргийн цайвар
🧍🏽	дунд зэргийн, зогс, зогсож буй, зогсож буй хүн, зогсож буй хүн: дунд зэргийн
🧍🏾	бордуу, зогс, зогсож буй, зогсож буй хүн, зогсож буй хүн: бордуу
🧍🏿	бор, зогс, зогсож буй, зогсож буй хүн, зогсож буй хүн: бор
🧍‍♂	зогсож буй, зогсож буй эрэгтэй, эрэгтэй
🧍🏻‍♂	зогсож буй, зогсож буй эрэгтэй, зогсож буй эрэгтэй: цайвар, цайвар, эрэгтэй
🧍🏼‍♂	бага зэргийн цайвар, зогсож буй, зогсож буй эрэгтэй, зогсож буй эрэгтэй: бага зэргийн цайвар, эрэгтэй
🧍🏽‍♂	дунд зэргийн, зогсож буй, зогсож буй эрэгтэй, зогсож буй эрэгтэй: дунд зэргийн, эрэгтэй
🧍🏾‍♂	бордуу, зогсож буй, зогсож буй эрэгтэй, зогсож буй эрэгтэй: бордуу, эрэгтэй
🧍🏿‍♂	бор, зогсож буй, зогсож буй эрэгтэй, зогсож буй эрэгтэй: бор, эрэгтэй
🧍‍♀	зогсож буй, зогсож буй эмэгтэй, эмэгтэй
🧍🏻‍♀	зогсож буй, зогсож буй эмэгтэй, зогсож буй эмэгтэй: цайвар, цайвар, эмэгтэй
🧍🏼‍♀	бага зэргийн цайвар, зогсож буй, зогсож буй эмэгтэй, зогсож буй эмэгтэй: бага зэргийн цайвар, эмэгтэй
🧍🏽‍♀	дунд зэргийн, зогсож буй, зогсож буй эмэгтэй, зогсож буй эмэгтэй: дунд зэргийн, эмэгтэй
🧍🏾‍♀	бордуу, зогсож буй, зогсож буй эмэгтэй, зогсож буй эмэгтэй: бордуу, эмэгтэй
🧍🏿‍♀	бор, зогсож буй, зогсож буй эмэгтэй, зогсож буй эмэгтэй: бор, эмэгтэй
🧎	сөхрөх, сөхөрч буй, сөхөрч суусан хүн
🧎🏻	сөхрөх, сөхөрч буй, сөхөрч суусан хүн, сөхөрч суусан хүн: цайвар, цайвар
🧎🏼	бага зэргийн цайвар, сөхрөх, сөхөрч буй, сөхөрч суусан хүн, сөхөрч суусан хүн: бага зэргийн цайвар
🧎🏽	дунд зэргийн, сөхрөх, сөхөрч буй, сөхөрч суусан хүн, сөхөрч суусан хүн: дунд зэргийн
🧎🏾	бордуу, сөхрөх, сөхөрч буй, сөхөрч суусан хүн, сөхөрч суусан хүн: бордуу
🧎🏿	бор, сөхрөх, сөхөрч буй, сөхөрч суусан хүн, сөхөрч суусан хүн: бор
🧎‍♂	сөхөрч буй, сөхөрч буй эрэгтэй, эрэгтэй
🧎🏻‍♂	сөхөрч буй, сөхөрч буй эрэгтэй, сөхөрч буй эрэгтэй: цайвар, цайвар, эрэгтэй
🧎🏼‍♂	бага зэргийн цайвар, сөхөрч буй, сөхөрч буй эрэгтэй, сөхөрч буй эрэгтэй: бага зэргийн цайвар, эрэгтэй
🧎🏽‍♂	дунд зэргийн, сөхөрч буй, сөхөрч буй эрэгтэй, сөхөрч буй эрэгтэй: дунд зэргийн, эрэгтэй
🧎🏾‍♂	бордуу, сөхөрч буй, сөхөрч буй эрэгтэй, сөхөрч буй эрэгтэй: бордуу, эрэгтэй
🧎🏿‍♂	бор, сөхөрч буй, сөхөрч буй эрэгтэй, сөхөрч буй эрэгтэй: бор, эрэгтэй
🧎‍♀	сөхөрч буй, сөхөрч буй эмэгтэй, эмэгтэй
🧎🏻‍♀	сөхөрч буй, сөхөрч буй эмэгтэй, сөхөрч буй эмэгтэй: цайвар, цайвар, эмэгтэй
🧎🏼‍♀	бага зэргийн цайвар, сөхөрч буй, сөхөрч буй эмэгтэй, сөхөрч буй эмэгтэй: бага зэргийн цайвар, эмэгтэй
🧎🏽‍♀	дунд зэргийн, сөхөрч буй, сөхөрч буй эмэгтэй, сөхөрч буй эмэгтэй: дунд зэргийн, эмэгтэй
🧎🏾‍♀	бордуу, сөхөрч буй, сөхөрч буй эмэгтэй, сөхөрч буй эмэгтэй: бордуу, эмэгтэй
🧎🏿‍♀	бор, сөхөрч буй, сөхөрч буй эмэгтэй, сөхөрч буй эмэгтэй: бор, эмэгтэй
👨‍🦯	таягтай хараагүй эрэгтэй, хараагүй, хөгжлийн бэрхшээл, эрэгтэй
👨🏻‍🦯	таягтай хараагүй эрэгтэй, таягтай хараагүй эрэгтэй: цайвар, хараагүй, хөгжлийн бэрхшээл, цайвар, эрэгтэй
👨🏼‍🦯	бага зэргийн цайвар, таягтай хараагүй эрэгтэй, таягтай хараагүй эрэгтэй: бага зэргийн цайвар, хараагүй, хөгжлийн бэрхшээл, эрэгтэй
👨🏽‍🦯	дунд зэргийн, таягтай хараагүй эрэгтэй, таягтай хараагүй эрэгтэй: дунд зэргийн, хараагүй, хөгжлийн бэрхшээл, эрэгтэй
👨🏾‍🦯	бордуу, таягтай хараагүй эрэгтэй, таягтай хараагүй эрэгтэй: бордуу, хараагүй, хөгжлийн бэрхшээл, эрэгтэй
👨🏿‍🦯	бор, таягтай хараагүй эрэгтэй, таягтай хараагүй эрэгтэй: бор, хараагүй, хөгжлийн бэрхшээл, эрэгтэй
👩‍🦯	таягтай хараагүй эмэгтэй, хараагүй, хөгжлийн бэрхшээл, эмэгтэй
👩🏻‍🦯	таягтай хараагүй эмэгтэй, таягтай хараагүй эмэгтэй: цайвар, хараагүй, хөгжлийн бэрхшээл, цайвар, эмэгтэй
👩🏼‍🦯	бага зэргийн цайвар, таягтай хараагүй эмэгтэй, таягтай хараагүй эмэгтэй: бага зэргийн цайвар, хараагүй, хөгжлийн бэрхшээл, эмэгтэй
👩🏽‍🦯	дунд зэргийн, таягтай хараагүй эмэгтэй, таягтай хараагүй эмэгтэй: дунд зэргийн, хараагүй, хөгжлийн бэрхшээл, эмэгтэй
👩🏾‍🦯	бордуу, таягтай хараагүй эмэгтэй, таягтай хараагүй эмэгтэй: бордуу, хараагүй, хөгжлийн бэрхшээл, эмэгтэй
👩🏿‍🦯	бор, таягтай хараагүй эмэгтэй, таягтай хараагүй эмэгтэй: бор, хараагүй, хөгжлийн бэрхшээл, эмэгтэй
👨‍🦼	моторт тэргэнцэртэй эрэгтэй, тэргэнцэр, хөгжлийн бэрхшээл, эрэгтэй
👨🏻‍🦼	моторт тэргэнцэртэй эрэгтэй, моторт тэргэнцэртэй эрэгтэй: цайвар, тэргэнцэр, хөгжлийн бэрхшээл, цайвар, эрэгтэй
👨🏼‍🦼	бага зэргийн цайвар, моторт тэргэнцэртэй эрэгтэй, моторт тэргэнцэртэй эрэгтэй: бага зэргийн цайвар, тэргэнцэр, хөгжлийн бэрхшээл, эрэгтэй
👨🏽‍🦼	дунд зэргийн, моторт тэргэнцэртэй эрэгтэй, моторт тэргэнцэртэй эрэгтэй: дунд зэргийн, тэргэнцэр, хөгжлийн бэрхшээл, эрэгтэй
👨🏾‍🦼	бордуу, моторт тэргэнцэртэй эрэгтэй, моторт тэргэнцэртэй эрэгтэй: бордуу, тэргэнцэр, хөгжлийн бэрхшээл, эрэгтэй
👨🏿‍🦼	бор, моторт тэргэнцэртэй эрэгтэй, моторт тэргэнцэртэй эрэгтэй: бор, тэргэнцэр, хөгжлийн бэрхшээл, эрэгтэй
👩‍🦼	моторт тэргэнцэртэй эмэгтэй, тэргэнцэр, хөгжлийн бэрхшээл, эмэгтэй
👩🏻‍🦼	моторт тэргэнцэртэй эмэгтэй, моторт тэргэнцэртэй эмэгтэй: цайвар, тэргэнцэр, хөгжлийн бэрхшээл, цайвар, эмэгтэй
👩🏼‍🦼	бага зэргийн цайвар, моторт тэргэнцэртэй эмэгтэй, моторт тэргэнцэртэй эмэгтэй: бага зэргийн цайвар, тэргэнцэр, хөгжлийн бэрхшээл, эмэгтэй
👩🏽‍🦼	дунд зэргийн, моторт тэргэнцэртэй эмэгтэй, моторт тэргэнцэртэй эмэгтэй: дунд зэргийн, тэргэнцэр, хөгжлийн бэрхшээл, эмэгтэй
👩🏾‍🦼	бордуу, моторт тэргэнцэртэй эмэгтэй, моторт тэргэнцэртэй эмэгтэй: бордуу, тэргэнцэр, хөгжлийн бэрхшээл, эмэгтэй
👩🏿‍🦼	бор, моторт тэргэнцэртэй эмэгтэй, моторт тэргэнцэртэй эмэгтэй: бор, тэргэнцэр, хөгжлийн бэрхшээл, эмэгтэй
👨‍🦽	тэргэнцэр, тэргэнцэртэй эрэгтэй, хөгжлийн бэрхшээл, эрэгтэй
👨🏻‍🦽	тэргэнцэр, тэргэнцэртэй эрэгтэй, тэргэнцэртэй эрэгтэй: цайвар, хөгжлийн бэрхшээл, цайвар, эрэгтэй
👨🏼‍🦽	бага зэргийн цайвар, тэргэнцэр, тэргэнцэртэй эрэгтэй, тэргэнцэртэй эрэгтэй: бага зэргийн цайвар, хөгжлийн бэрхшээл, эрэгтэй
👨🏽‍🦽	дунд зэргийн, тэргэнцэр, тэргэнцэртэй эрэгтэй, тэргэнцэртэй эрэгтэй: дунд зэргийн, хөгжлийн бэрхшээл, эрэгтэй
👨🏾‍🦽	бордуу, тэргэнцэр, тэргэнцэртэй эрэгтэй, тэргэнцэртэй эрэгтэй: бордуу, хөгжлийн бэрхшээл, эрэгтэй
👨🏿‍🦽	бор, тэргэнцэр, тэргэнцэртэй эрэгтэй, тэргэнцэртэй эрэгтэй: бор, хөгжлийн бэрхшээл, эрэгтэй
👩‍🦽	тэргэнцэр, тэргэнцэртэй эмэгтэй, хөгжлийн бэрхшээл, эмэгтэй
👩🏻‍🦽	тэргэнцэр, тэргэнцэртэй эмэгтэй, тэргэнцэртэй эмэгтэй: цайвар, хөгжлийн бэрхшээл, цайвар, эмэгтэй
👩🏼‍🦽	бага зэргийн цайвар, тэргэнцэр, тэргэнцэртэй эмэгтэй, тэргэнцэртэй эмэгтэй: бага зэргийн цайвар, хөгжлийн бэрхшээл, эмэгтэй
👩🏽‍🦽	дунд зэргийн, тэргэнцэр, тэргэнцэртэй эмэгтэй, тэргэнцэртэй эмэгтэй: дунд зэргийн, хөгжлийн бэрхшээл, эмэгтэй
👩🏾‍🦽	бордуу, тэргэнцэр, тэргэнцэртэй эмэгтэй, тэргэнцэртэй эмэгтэй: бордуу, хөгжлийн бэрхшээл, эмэгтэй
👩🏿‍🦽	бор, тэргэнцэр, тэргэнцэртэй эмэгтэй, тэргэнцэртэй эмэгтэй: бор, хөгжлийн бэрхшээл, эмэгтэй
🏃	гүйж байгаа хүн, гүйх, хүн
🏃🏻	гүйж байгаа хүн, гүйж байгаа хүн: цайвар, гүйх, хүн, цайвар
🏃🏼	бага зэргийн цайвар, гүйж байгаа хүн, гүйж байгаа хүн: бага зэргийн цайвар, гүйх, хүн
🏃🏽	гүйж байгаа хүн, гүйж байгаа хүн: дунд зэргийн, гүйх, дунд зэргийн, хүн
🏃🏾	бордуу, гүйж байгаа хүн, гүйж байгаа хүн: бордуу, гүйх, хүн
🏃🏿	бор, гүйж байгаа хүн, гүйж байгаа хүн: бор, гүйх, хүн
🏃‍♂	гүйж буй эрэгтэй, гүйх, марафон, уралдаан, эрэгтэй
🏃🏻‍♂	гүйж буй эрэгтэй, гүйж буй эрэгтэй: цайвар, гүйх, марафон, уралдаан, цайвар, эрэгтэй
🏃🏼‍♂	бага зэргийн цайвар, гүйж буй эрэгтэй, гүйж буй эрэгтэй: бага зэргийн цайвар, гүйх, марафон, уралдаан, эрэгтэй
🏃🏽‍♂	гүйж буй эрэгтэй, гүйж буй эрэгтэй: дунд зэргийн, гүйх, дунд зэргийн, марафон, уралдаан, эрэгтэй
🏃🏾‍♂	бордуу, гүйж буй эрэгтэй, гүйж буй эрэгтэй: бордуу, гүйх, марафон, уралдаан, эрэгтэй
🏃🏿‍♂	бор, гүйж буй эрэгтэй, гүйж буй эрэгтэй: бор, гүйх, марафон, уралдаан, эрэгтэй
🏃‍♀	гүйж буй эмэгтэй, марафон, уралдаан, эм, эмэгтэй
🏃🏻‍♀	гүйж буй эмэгтэй, гүйж буй эмэгтэй: цайвар, марафон, уралдаан, цайвар, эм, эмэгтэй
🏃🏼‍♀	бага зэргийн цайвар, гүйж буй эмэгтэй, гүйж буй эмэгтэй: бага зэргийн цайвар, марафон, уралдаан, эм, эмэгтэй
🏃🏽‍♀	гүйж буй эмэгтэй, гүйж буй эмэгтэй: дунд зэргийн, дунд зэргийн, марафон, уралдаан, эм, эмэгтэй
🏃🏾‍♀	бордуу, гүйж буй эмэгтэй, гүйж буй эмэгтэй: бордуу, марафон, уралдаан, эм, эмэгтэй
🏃🏿‍♀	бор, гүйж буй эмэгтэй, гүйж буй эмэгтэй: бор, марафон, уралдаан, эм, эмэгтэй
💃	бүжиг, бүжигчин, даашинз, эмэгтэй
💃🏻	бүжиг, бүжигчин, бүжигчин: цайвар, даашинз, цайвар, эмэгтэй
💃🏼	бага зэргийн цайвар, бүжиг, бүжигчин, бүжигчин: бага зэргийн цайвар, даашинз, эмэгтэй
💃🏽	бүжиг, бүжигчин, бүжигчин: дунд зэргийн, даашинз, дунд зэргийн, эмэгтэй
💃🏾	бордуу, бүжиг, бүжигчин, бүжигчин: бордуу, даашинз, эмэгтэй
💃🏿	бор, бүжиг, бүжигчин, бүжигчин: бор, даашинз, эмэгтэй
🕺	бүжиглэх, бүжиглэх залуу, залуу
🕺🏻	бүжиглэх, бүжиглэх залуу: цайвар, залуу, цайвар
🕺🏼	бага зэргийн цайвар, бүжиглэх, бүжиглэх залуу: бага зэргийн цайвар, залуу
🕺🏽	бүжиглэх, бүжиглэх залуу: дунд зэргийн, дунд зэргийн, залуу
🕺🏾	бордуу, бүжиглэх, бүжиглэх залуу: бордуу, залуу
🕺🏿	бор, бүжиглэх, бүжиглэх залуу: бор, залуу
🕴️	ажил, бизнес, хослол, хослол өмссөн эрэгтэй, эрэгтэй
🕴🏻	ажил, бизнес, хослол, хослол өмссөн эрэгтэй, хослол өмссөн эрэгтэй: цайвар, цайвар, эрэгтэй
🕴🏼	ажил, бага зэргийн цайвар, бизнес, хослол, хослол өмссөн эрэгтэй, хослол өмссөн эрэгтэй: бага зэргийн цайвар, эрэгтэй
🕴🏽	ажил, бизнес, дунд зэргийн, хослол, хослол өмссөн эрэгтэй, хослол өмссөн эрэгтэй: дунд зэргийн, эрэгтэй
🕴🏾	ажил, бизнес, бордуу, хослол, хослол өмссөн эрэгтэй, хослол өмссөн эрэгтэй: бордуу, эрэгтэй
🕴🏿	ажил, бизнес, бор, хослол, хослол өмссөн эрэгтэй, хослол өмссөн эрэгтэй: бор, эрэгтэй
👯	бүжигчид, бүсгүй, үдэшлэг, үдэшлэгт байгаа бүсгүй
👯‍♂	бүжигчин, туулайн чих, туулайн чихтэй эрчүүд, цэнгэж буй эрэгтэйчүүд, эрчүүд, үдэшлэг
👯‍♀	бүжигчин, туулайн чих, туулайн чихтэй эмэгтэйчүүд, цэнгэж буй эмэгтэйчүүд, эмэгтэйчүүд, үдэшлэг
🧖	саун, уур савссан өрөө, уур савссан өрөөнд байгаа хүн
🧖🏻	саун, уур савссан өрөө, уур савссан өрөөнд байгаа хүн, уур савссан өрөөнд байгаа хүн: цайвар, цайвар
🧖🏼	бага зэргийн цайвар, саун, уур савссан өрөө, уур савссан өрөөнд байгаа хүн, уур савссан өрөөнд байгаа хүн: бага зэргийн цайвар
🧖🏽	дунд зэргийн, саун, уур савссан өрөө, уур савссан өрөөнд байгаа хүн, уур савссан өрөөнд байгаа хүн: дунд зэргийн
🧖🏾	бордуу, саун, уур савссан өрөө, уур савссан өрөөнд байгаа хүн, уур савссан өрөөнд байгаа хүн: бордуу
🧖🏿	бор, саун, уур савссан өрөө, уур савссан өрөөнд байгаа хүн, уур савссан өрөөнд байгаа хүн: бор
🧖‍♂	саун, уур савссан өрөө, уур савссан өрөөнд байгаа эрэгтэй
🧖🏻‍♂	саун, уур савссан өрөө, уур савссан өрөөнд байгаа эрэгтэй, уур савссан өрөөнд байгаа эрэгтэй: цайвар, цайвар
🧖🏼‍♂	бага зэргийн цайвар, саун, уур савссан өрөө, уур савссан өрөөнд байгаа эрэгтэй, уур савссан өрөөнд байгаа эрэгтэй: бага зэргийн цайвар
🧖🏽‍♂	дунд зэргийн, саун, уур савссан өрөө, уур савссан өрөөнд байгаа эрэгтэй, уур савссан өрөөнд байгаа эрэгтэй: дунд зэргийн
🧖🏾‍♂	бордуу, саун, уур савссан өрөө, уур савссан өрөөнд байгаа эрэгтэй, уур савссан өрөөнд байгаа эрэгтэй: бордуу
🧖🏿‍♂	бор, саун, уур савссан өрөө, уур савссан өрөөнд байгаа эрэгтэй, уур савссан өрөөнд байгаа эрэгтэй: бор
🧖‍♀	саун, уур савссан өрөө, уур савссан өрөөнд байгаа эмэгтэй
🧖🏻‍♀	саун, уур савссан өрөө, уур савссан өрөөнд байгаа эмэгтэй, уур савссан өрөөнд байгаа эмэгтэй: цайвар, цайвар
🧖🏼‍♀	бага зэргийн цайвар, саун, уур савссан өрөө, уур савссан өрөөнд байгаа эмэгтэй, уур савссан өрөөнд байгаа эмэгтэй: бага зэргийн цайвар
🧖🏽‍♀	дунд зэргийн, саун, уур савссан өрөө, уур савссан өрөөнд байгаа эмэгтэй, уур савссан өрөөнд байгаа эмэгтэй: дунд зэргийн
🧖🏾‍♀	бордуу, саун, уур савссан өрөө, уур савссан өрөөнд байгаа эмэгтэй, уур савссан өрөөнд байгаа эмэгтэй: бордуу
🧖🏿‍♀	бор, саун, уур савссан өрөө, уур савссан өрөөнд байгаа эмэгтэй, уур савссан өрөөнд байгаа эмэгтэй: бор
🧗	авирагч
🧗🏻	авирагч, авирагч: цайвар, цайвар
🧗🏼	авирагч, авирагч: бага зэргийн цайвар, бага зэргийн цайвар
🧗🏽	авирагч, авирагч: дунд зэргийн, дунд зэргийн
🧗🏾	авирагч, авирагч: бордуу, бордуу
🧗🏿	авирагч, авирагч: бор, бор
🧗‍♂	авирагч, авирагч эрэгтэй
🧗🏻‍♂	авирагч, авирагч эрэгтэй, авирагч эрэгтэй: цайвар, цайвар
🧗🏼‍♂	авирагч, авирагч эрэгтэй, авирагч эрэгтэй: бага зэргийн цайвар, бага зэргийн цайвар
🧗🏽‍♂	авирагч, авирагч эрэгтэй, авирагч эрэгтэй: дунд зэргийн, дунд зэргийн
🧗🏾‍♂	авирагч, авирагч эрэгтэй, авирагч эрэгтэй: бордуу, бордуу
🧗🏿‍♂	авирагч, авирагч эрэгтэй, авирагч эрэгтэй: бор, бор
🧗‍♀	авирагч, эмэгтэй авирагч
🧗🏻‍♀	авирагч, цайвар, эмэгтэй авирагч, эмэгтэй авирагч: цайвар
🧗🏼‍♀	авирагч, бага зэргийн цайвар, эмэгтэй авирагч, эмэгтэй авирагч: бага зэргийн цайвар
🧗🏽‍♀	авирагч, дунд зэргийн, эмэгтэй авирагч, эмэгтэй авирагч: дунд зэргийн
🧗🏾‍♀	авирагч, бордуу, эмэгтэй авирагч, эмэгтэй авирагч: бордуу
🧗🏿‍♀	авирагч, бор, эмэгтэй авирагч, эмэгтэй авирагч: бор
🤺	сэлэм, туялзуур жадаар тоглогч, туялзуур сэлэм, туялзуур сэлэмчин, туялзуур сэлэмээр тоглогч
🏇	морин уралдаан, морь, спорт, уралдаан
🏇🏻	морин уралдаан, морин уралдаан: цайвар, морь, спорт, уралдаан, цайвар
🏇🏼	бага зэргийн цайвар, морин уралдаан, морин уралдаан: бага зэргийн цайвар, морь, спорт, уралдаан
🏇🏽	дунд зэргийн, морин уралдаан, морин уралдаан: дунд зэргийн, морь, спорт, уралдаан
🏇🏾	бордуу, морин уралдаан, морин уралдаан: бордуу, морь, спорт, уралдаан
🏇🏿	бор, морин уралдаан, морин уралдаан: бор, морь, спорт, уралдаан
⛷️	цана, цанаар гулгагч, цас
🏂️	гулгагч, спорт, цас, цасан дээр гулгагч, өвөл
🏂🏻	гулгагч, спорт, цайвар, цас, цасан дээр гулгагч, цасан дээр гулгагч: цайвар, өвөл
🏂🏼	бага зэргийн цайвар, гулгагч, спорт, цас, цасан дээр гулгагч, цасан дээр гулгагч: бага зэргийн цайвар, өвөл
🏂🏽	гулгагч, дунд зэргийн, спорт, цас, цасан дээр гулгагч, цасан дээр гулгагч: дунд зэргийн, өвөл
🏂🏾	бордуу, гулгагч, спорт, цас, цасан дээр гулгагч, цасан дээр гулгагч: бордуу, өвөл
🏂🏿	бор, гулгагч, спорт, цас, цасан дээр гулгагч, цасан дээр гулгагч: бор, өвөл
🏌️	бөмбөг, гольф, спорт
🏌🏻	бөмбөг, гольф, гольф: цайвар, спорт, цайвар
🏌🏼	бага зэргийн цайвар, бөмбөг, гольф, гольф: бага зэргийн цайвар, спорт
🏌🏽	бөмбөг, гольф, гольф: дунд зэргийн, дунд зэргийн, спорт
🏌🏾	бордуу, бөмбөг, гольф, гольф: бордуу, спорт
