😀	guyu, rai, rai ngguyu
✍🏽	kulit kuning, nulis, tangan, tangan nulis: kulit kuning
✍🏾	kulit sawo mateng, nulis, tangan, tangan nulis: kulit sawo mateng
✍🏿	kulit ireng, nulis, tangan, tangan nulis: kulit ireng
💅	cet kuku, kosmetik, kuku, menikur, ngrumat
💅🏻	cet kuku, cet kuku: kulit putih, kosmetik, kuku, kulit putih, menikur, ngrumat
💅🏼	cet kuku, cet kuku: kulit putih langsep, kosmetik, kuku, kulit putih langsep, menikur, ngrumat
💅🏽	cet kuku, cet kuku: kulit kuning, kosmetik, kuku, kulit kuning, menikur, ngrumat
💅🏾	cet kuku, cet kuku: kulit sawo mateng, kosmetik, kuku, kulit sawo mateng, menikur, ngrumat
💅🏿	cet kuku, cet kuku: kulit ireng, kosmetik, kuku, kulit ireng, menikur, ngrumat
🤳	foto selfi, hp, kamera, selfi
🤳🏻	foto selfi, foto selfi: kulit putih, hp, kamera, kulit putih, selfi
🤳🏼	foto selfi, foto selfi: kulit putih langsep, hp, kamera, kulit putih langsep, selfi
🤳🏽	foto selfi, foto selfi: kulit kuning, hp, kamera, kulit kuning, selfi
🤳🏾	foto selfi, foto selfi: kulit sawo mateng, hp, kamera, kulit sawo mateng, selfi
🤳🏿	foto selfi, foto selfi: kulit ireng, hp, kamera, kulit ireng, selfi
💪	lelucon, ngotot, otot, otot lengen, otot lengen mlenthung
💪🏻	kulit putih, lelucon, ngotot, otot, otot lengen, otot lengen mlenthung, otot lengen mlenthung: kulit putih
💪🏼	kulit putih langsep, lelucon, ngotot, otot, otot lengen, otot lengen mlenthung, otot lengen mlenthung: kulit putih langsep
💪🏽	kulit kuning, lelucon, ngotot, otot, otot lengen, otot lengen mlenthung, otot lengen mlenthung: kulit kuning
💪🏾	kulit sawo mateng, lelucon, ngotot, otot, otot lengen, otot lengen mlenthung, otot lengen mlenthung: kulit sawo mateng
💪🏿	kulit ireng, lelucon, ngotot, otot, otot lengen, otot lengen mlenthung, otot lengen mlenthung: kulit ireng
🦾	kalancaran, lengen mekanis, prostetik
🦿	kalancaran, prostetik, sikil mekanis
🦵	perangan awak, sikil, tendhang
🦵🏻	kulit putih, perangan awak, sikil, sikil: kulit putih, tendhang
🦵🏼	kulit putih langsep, perangan awak, sikil, sikil: kulit putih langsep, tendhang
🦵🏽	kulit kuning, perangan awak, sikil, sikil: kulit kuning, tendhang
🦵🏾	kulit sawo mateng, perangan awak, sikil, sikil: kulit sawo mateng, tendhang
🦵🏿	kulit ireng, perangan awak, sikil, sikil: kulit ireng, tendhang
🦶	pidak, sikil, tendhang, tlapakan sikil
🦶🏻	kulit putih, pidak, sikil, tendhang, tlapakan sikil, tlapakan sikil: kulit putih
🦶🏼	kulit putih langsep, pidak, sikil, tendhang, tlapakan sikil, tlapakan sikil: kulit putih langsep
🦶🏽	kulit kuning, pidak, sikil, tendhang, tlapakan sikil, tlapakan sikil: kulit kuning
🦶🏾	kulit sawo mateng, pidak, sikil, tendhang, tlapakan sikil, tlapakan sikil: kulit sawo mateng
🦶🏿	kulit ireng, pidak, sikil, tendhang, tlapakan sikil, tlapakan sikil: kulit ireng
👂️	awak, kuping
👂🏻	awak, kulit putih, kuping, kuping: kulit putih
👂🏼	awak, kulit putih langsep, kuping, kuping: kulit putih langsep
👂🏽	awak, kulit kuning, kuping, kuping: kulit kuning
👂🏾	awak, kulit sawo mateng, kuping, kuping: kulit sawo mateng
👂🏿	awak, kulit ireng, kuping, kuping: kulit ireng
🦻	budheg, kalancaran, kuping sarwa piranti pangrungon
🦻🏻	budheg, kalancaran, kulit putih, kuping sarwa piranti pangrungon, kuping sarwa piranti pangrungon: kulit putih
🦻🏼	budheg, kalancaran, kulit putih langsep, kuping sarwa piranti pangrungon, kuping sarwa piranti pangrungon: kulit putih langsep
🦻🏽	budheg, kalancaran, kulit kuning, kuping sarwa piranti pangrungon, kuping sarwa piranti pangrungon: kulit kuning
🦻🏾	budheg, kalancaran, kulit sawo mateng, kuping sarwa piranti pangrungon, kuping sarwa piranti pangrungon: kulit sawo mateng
🦻🏿	budheg, kalancaran, kulit ireng, kuping sarwa piranti pangrungon, kuping sarwa piranti pangrungon: kulit ireng
👃	awak, irung
👃🏻	awak, irung, irung: kulit putih, kulit putih
👃🏼	awak, irung, irung: kulit putih langsep, kulit putih langsep
👃🏽	awak, irung, irung: kulit kuning, kulit kuning
👃🏾	awak, irung, irung: kulit sawo mateng, kulit sawo mateng
👃🏿	awak, irung, irung: kulit ireng, kulit ireng
🧠	pinter, utek
🦷	dokter untu, untu
🦴	balung, wrangka
👀	mata, mata sakloron, rai
👁️	awak, mata
👅	awak, ilat
👄	cangkem, lambe
👶	bayi, nom
👶🏻	bayi, bayi: kulit putih, kulit putih, nom
👶🏼	bayi, bayi: kulit putih langsep, kulit putih langsep, nom
👶🏽	bayi, bayi: kulit kuning, kulit kuning, nom
👶🏾	bayi, bayi: kulit sawo mateng, kulit sawo mateng, nom
👶🏿	bayi, bayi: kulit ireng, kulit ireng, nom
🧒	bocah, jender netral, nom, ora tamtu lanang wadone
🧒🏻	bocah, bocah: kulit putih, jender netral, kulit putih, nom, ora tamtu lanang wadone
🧒🏼	bocah, bocah: kulit putih langsep, jender netral, kulit putih langsep, nom, ora tamtu lanang wadone
🧒🏽	bocah, bocah: kulit kuning, jender netral, kulit kuning, nom, ora tamtu lanang wadone
🧒🏾	bocah, bocah: kulit sawo mateng, jender netral, kulit sawo mateng, nom, ora tamtu lanang wadone
🧒🏿	bocah, bocah: kulit ireng, jender netral, kulit ireng, nom, ora tamtu lanang wadone
👦	bocah lanang, nom
👦🏻	bocah lanang, bocah lanang: kulit putih, kulit putih, nom
👦🏼	bocah lanang, bocah lanang: kulit putih langsep, kulit putih langsep, nom
👦🏽	bocah lanang, bocah lanang: kulit kuning, kulit kuning, nom
👦🏾	bocah lanang, bocah lanang: kulit sawo mateng, kulit sawo mateng, nom
👦🏿	bocah lanang, bocah lanang: kulit ireng, kulit ireng, nom
👧	Virgo, bocah wadon, nom, palintangan
👧🏻	Virgo, bocah wadon, bocah wadon: kulit putih, kulit putih, nom, palintangan
👧🏼	Virgo, bocah wadon, bocah wadon: kulit putih langsep, kulit putih langsep, nom, palintangan
👧🏽	Virgo, bocah wadon, bocah wadon: kulit kuning, kulit kuning, nom, palintangan
👧🏾	Virgo, bocah wadon, bocah wadon: kulit sawo mateng, kulit sawo mateng, nom, palintangan
👧🏿	Virgo, bocah wadon, bocah wadon: kulit ireng, kulit ireng, nom, palintangan
🧑	jender netral, ora tamtu lanang wadone, wong, wong diwasa
🧑🏻	jender netral, kulit putih, ora tamtu lanang wadone, wong, wong diwasa, wong: kulit putih
🧑🏼	jender netral, kulit putih langsep, ora tamtu lanang wadone, wong, wong diwasa, wong: kulit putih langsep
🧑🏽	jender netral, kulit kuning, ora tamtu lanang wadone, wong, wong diwasa, wong: kulit kuning
🧑🏾	jender netral, kulit sawo mateng, ora tamtu lanang wadone, wong, wong diwasa, wong: kulit sawo mateng
🧑🏿	jender netral, kulit ireng, ora tamtu lanang wadone, wong, wong diwasa, wong: kulit ireng
👱	pirang, rambut, wong arambut pirang, wong: rambute pirang
👱🏻	kulit putih, pirang, rambut, rambute pirang, wong arambut pirang, wong: kulit putih, rambute pirang, wong: rambute pirang
👱🏼	kulit putih langsep, pirang, rambut, rambute pirang, wong arambut pirang, wong: kulit putih langsep, rambute pirang, wong: rambute pirang
👱🏽	kulit kuning, pirang, rambut, rambute pirang, wong arambut pirang, wong: kulit kuning, rambute pirang, wong: rambute pirang
👱🏾	kulit sawo mateng, pirang, rambut, rambute pirang, wong arambut pirang, wong: kulit sawo mateng, rambute pirang, wong: rambute pirang
👱🏿	kulit ireng, pirang, rambut, rambute pirang, wong arambut pirang, wong: kulit ireng, rambute pirang, wong: rambute pirang
👨	lanang, wong diwasa, wong lanang
👨🏻	kulit putih, lanang, wong diwasa, wong lanang, wong lanang: kulit putih
👨🏼	kulit putih langsep, lanang, wong diwasa, wong lanang, wong lanang: kulit putih langsep
👨🏽	kulit kuning, lanang, wong diwasa, wong lanang, wong lanang: kulit kuning
👨🏾	kulit sawo mateng, lanang, wong diwasa, wong lanang, wong lanang: kulit sawo mateng
👨🏿	kulit ireng, lanang, wong diwasa, wong lanang, wong lanang: kulit ireng
🧔	jenggot, wong, wong lanang: jenggot
🧔🏻	jenggot, kulit putih, wong, wong lanang: jenggot, wong lanang: kulit putih, jenggot
🧔🏼	jenggot, kulit putih langsep, wong, wong lanang: jenggot, wong lanang: kulit putih langsep, jenggot
🧔🏽	jenggot, kulit kuning, wong, wong lanang: jenggot, wong lanang: kulit kuning, jenggot
🧔🏾	jenggot, kulit sawo mateng, wong, wong lanang: jenggot, wong lanang: kulit sawo mateng, jenggot
🧔🏿	jenggot, kulit ireng, wong, wong lanang: jenggot, wong lanang: kulit ireng, jenggot
👱‍♂	pirang, rambut, wong lanang, wong lanang arambut pirang, wong lanang: rambut pirang
👱🏻‍♂	kulit putih, pirang, rambut, wong lanang, wong lanang arambut pirang, wong lanang: kulit putih, rambut pirang, wong lanang: rambut pirang
👱🏼‍♂	kulit putih langsep, pirang, rambut, wong lanang, wong lanang arambut pirang, wong lanang: kulit putih langsep, rambut pirang, wong lanang: rambut pirang
👱🏽‍♂	kulit kuning, pirang, rambut, wong lanang, wong lanang arambut pirang, wong lanang: kulit kuning, rambut pirang, wong lanang: rambut pirang
👱🏾‍♂	kulit sawo mateng, pirang, rambut, wong lanang, wong lanang arambut pirang, wong lanang: kulit sawo mateng, rambut pirang, wong lanang: rambut pirang
👱🏿‍♂	kulit ireng, pirang, rambut, wong lanang, wong lanang arambut pirang, wong lanang: kulit ireng, rambut pirang, wong lanang: rambut pirang
👨‍🦰	lanang, rambut abang, wong diwasa, wong lanang, wong lanang: rambut abang
👨🏻‍🦰	kulit putih, lanang, rambut abang, wong diwasa, wong lanang, wong lanang: kulit putih, rambut abang
👨🏼‍🦰	kulit putih langsep, lanang, rambut abang, wong diwasa, wong lanang, wong lanang: kulit putih langsep, rambut abang
👨🏽‍🦰	kulit kuning, lanang, rambut abang, wong diwasa, wong lanang, wong lanang: kulit kuning, rambut abang
👨🏾‍🦰	kulit sawo mateng, lanang, rambut abang, wong diwasa, wong lanang, wong lanang: kulit sawo mateng, rambut abang
👨🏿‍🦰	kulit ireng, lanang, rambut abang, wong diwasa, wong lanang, wong lanang: kulit ireng, rambut abang
👨‍🦱	lanang, rambut brintik, wong diwasa, wong lanang, wong lanang: rambut brintik
👨🏻‍🦱	kulit putih, lanang, rambut brintik, wong diwasa, wong lanang, wong lanang: kulit putih, rambut brintik
👨🏼‍🦱	kulit putih langsep, lanang, rambut brintik, wong diwasa, wong lanang, wong lanang: kulit putih langsep, rambut brintik
👨🏽‍🦱	kulit kuning, lanang, rambut brintik, wong diwasa, wong lanang, wong lanang: kulit kuning, rambut brintik
👨🏾‍🦱	kulit sawo mateng, lanang, rambut brintik, wong diwasa, wong lanang, wong lanang: kulit sawo mateng, rambut brintik
👨🏿‍🦱	kulit ireng, lanang, rambut brintik, wong diwasa, wong lanang, wong lanang: kulit ireng, rambut brintik
👨‍🦳	lanang, rambut putih, wong diwasa, wong lanang, wong lanang: rambut putih
👨🏻‍🦳	kulit putih, lanang, rambut putih, wong diwasa, wong lanang, wong lanang: kulit putih, rambut putih
👨🏼‍🦳	kulit putih langsep, lanang, rambut putih, wong diwasa, wong lanang, wong lanang: kulit putih langsep, rambut putih
👨🏽‍🦳	kulit kuning, lanang, rambut putih, wong diwasa, wong lanang, wong lanang: kulit kuning, rambut putih
👨🏾‍🦳	kulit sawo mateng, lanang, rambut putih, wong diwasa, wong lanang, wong lanang: kulit sawo mateng, rambut putih
👨🏿‍🦳	kulit ireng, lanang, rambut putih, wong diwasa, wong lanang, wong lanang: kulit ireng, rambut putih
👨‍🦲	buthak, lanang, wong diwasa, wong lanang, wong lanang: buthak
👨🏻‍🦲	buthak, kulit putih, lanang, wong diwasa, wong lanang, wong lanang: kulit putih, buthak
👨🏼‍🦲	buthak, kulit putih langsep, lanang, wong diwasa, wong lanang, wong lanang: kulit putih langsep, buthak
👨🏽‍🦲	buthak, kulit kuning, lanang, wong diwasa, wong lanang, wong lanang: kulit kuning, buthak
👨🏾‍🦲	buthak, kulit sawo mateng, lanang, wong diwasa, wong lanang, wong lanang: kulit sawo mateng, buthak
👨🏿‍🦲	buthak, kulit ireng, lanang, wong diwasa, wong lanang, wong lanang: kulit ireng, buthak
👩	wadon, wong diwasa, wong wadon
👩🏻	kulit putih, wadon, wong diwasa, wong wadon, wong wadon: kulit putih
👩🏼	kulit putih langsep, wadon, wong diwasa, wong wadon, wong wadon: kulit putih langsep
👩🏽	kulit kuning, wadon, wong diwasa, wong wadon, wong wadon: kulit kuning
👩🏾	kulit sawo mateng, wadon, wong diwasa, wong wadon, wong wadon: kulit sawo mateng
👩🏿	kulit ireng, wadon, wong diwasa, wong wadon, wong wadon: kulit ireng
👱‍♀	pirang, rambut, wong wadon, wong wadon arambut pirang, wong wadon: rambut pirang
👱🏻‍♀	kulit putih, pirang, rambut, wong wadon, wong wadon arambut pirang, wong wadon: kulit putih, rambut pirang, wong wadon: rambut pirang
👱🏼‍♀	kulit putih langsep, pirang, rambut, wong wadon, wong wadon arambut pirang, wong wadon: kulit putih langsep, rambut pirang, wong wadon: rambut pirang
👱🏽‍♀	kulit kuning, pirang, rambut, wong wadon, wong wadon arambut pirang, wong wadon: kulit kuning, rambut pirang, wong wadon: rambut pirang
👱🏾‍♀	kulit sawo mateng, pirang, rambut, wong wadon, wong wadon arambut pirang, wong wadon: kulit sawo mateng, rambut pirang, wong wadon: rambut pirang
👱🏿‍♀	kulit ireng, pirang, rambut, wong wadon, wong wadon arambut pirang, wong wadon: kulit ireng, rambut pirang, wong wadon: rambut pirang
👩‍🦰	rambut abang, wadon, wong diwasa, wong wadon, wong wadon: rambut abang
👩🏻‍🦰	kulit putih, rambut abang, wadon, wong diwasa, wong wadon, wong wadon: kulit putih, rambut abang
👩🏼‍🦰	kulit putih langsep, rambut abang, wadon, wong diwasa, wong wadon, wong wadon: kulit putih langsep, rambut abang
👩🏽‍🦰	kulit kuning, rambut abang, wadon, wong diwasa, wong wadon, wong wadon: kulit kuning, rambut abang
👩🏾‍🦰	kulit sawo mateng, rambut abang, wadon, wong diwasa, wong wadon, wong wadon: kulit sawo mateng, rambut abang
👩🏿‍🦰	kulit ireng, rambut abang, wadon, wong diwasa, wong wadon, wong wadon: kulit ireng, rambut abang
👩‍🦱	rambut brintik, wadon, wong diwasa, wong wadon, wong wadon: rambut brintik
👩🏻‍🦱	kulit putih, rambut brintik, wadon, wong diwasa, wong wadon, wong wadon: kulit putih, rambut brintik
👩🏼‍🦱	kulit putih langsep, rambut brintik, wadon, wong diwasa, wong wadon, wong wadon: kulit putih langsep, rambut brintik
👩🏽‍🦱	kulit kuning, rambut brintik, wadon, wong diwasa, wong wadon, wong wadon: kulit kuning, rambut brintik
👩🏾‍🦱	kulit sawo mateng, rambut brintik, wadon, wong diwasa, wong wadon, wong wadon: kulit sawo mateng, rambut brintik
👩🏿‍🦱	kulit ireng, rambut brintik, wadon, wong diwasa, wong wadon, wong wadon: kulit ireng, rambut brintik
👩‍🦳	rambut putih, wadon, wong diwasa, wong wadon, wong wadon: rambut putih
👩🏻‍🦳	kulit putih, rambut putih, wadon, wong diwasa, wong wadon, wong wadon: kulit putih, rambut putih
👩🏼‍🦳	kulit putih langsep, rambut putih, wadon, wong diwasa, wong wadon, wong wadon: kulit putih langsep, rambut putih
👩🏽‍🦳	kulit kuning, rambut putih, wadon, wong diwasa, wong wadon, wong wadon: kulit kuning, rambut putih
👩🏾‍🦳	kulit sawo mateng, rambut putih, wadon, wong diwasa, wong wadon, wong wadon: kulit sawo mateng, rambut putih
👩🏿‍🦳	kulit ireng, rambut putih, wadon, wong diwasa, wong wadon, wong wadon: kulit ireng, rambut putih
👩‍🦲	buthak, wadon, wong diwasa, wong wadon, wong wadon: buthak
👩🏻‍🦲	buthak, kulit putih, wadon, wong diwasa, wong wadon, wong wadon: kulit putih, buthak
👩🏼‍🦲	buthak, kulit putih langsep, wadon, wong diwasa, wong wadon, wong wadon: kulit putih langsep, buthak
👩🏽‍🦲	buthak, kulit kuning, wadon, wong diwasa, wong wadon, wong wadon: kulit kuning, buthak
👩🏾‍🦲	buthak, kulit sawo mateng, wadon, wong diwasa, wong wadon, wong wadon: kulit sawo mateng, buthak
👩🏿‍🦲	buthak, kulit ireng, wadon, wong diwasa, wong wadon, wong wadon: kulit ireng, buthak
🧓	jender netral, ora tamtu lanang wadone, tuwa, wong diwasa, wong tuwa
🧓🏻	jender netral, kulit putih, ora tamtu lanang wadone, tuwa, wong diwasa, wong tuwa, wong tuwa: kulit putih
🧓🏼	jender netral, kulit putih langsep, ora tamtu lanang wadone, tuwa, wong diwasa, wong tuwa, wong tuwa: kulit putih langsep
🧓🏽	jender netral, kulit kuning, ora tamtu lanang wadone, tuwa, wong diwasa, wong tuwa, wong tuwa: kulit kuning
🧓🏾	jender netral, kulit sawo mateng, ora tamtu lanang wadone, tuwa, wong diwasa, wong tuwa, wong tuwa: kulit sawo mateng
🧓🏿	jender netral, kulit ireng, ora tamtu lanang wadone, tuwa, wong diwasa, wong tuwa, wong tuwa: kulit ireng
👴	tuwa, wong diwasa, wong lanang, wong tuwa lanang
👴🏻	kulit putih, tuwa, wong diwasa, wong lanang, wong tuwa lanang, wong tuwa lanang: kulit putih
👴🏼	kulit putih langsep, tuwa, wong diwasa, wong lanang, wong tuwa lanang, wong tuwa lanang: kulit putih langsep
👴🏽	kulit kuning, tuwa, wong diwasa, wong lanang, wong tuwa lanang, wong tuwa lanang: kulit kuning
👴🏾	kulit sawo mateng, tuwa, wong diwasa, wong lanang, wong tuwa lanang, wong tuwa lanang: kulit sawo mateng
👴🏿	kulit ireng, tuwa, wong diwasa, wong lanang, wong tuwa lanang, wong tuwa lanang: kulit ireng
👵	tuwa, wong diwasa, wong wadon, wong wadon tuwa
👵🏻	kulit putih, tuwa, wong diwasa, wong wadon, wong wadon tuwa, wong wadon tuwa: kulit putih
👵🏼	kulit putih langsep, tuwa, wong diwasa, wong wadon, wong wadon tuwa, wong wadon tuwa: kulit putih langsep
👵🏽	kulit kuning, tuwa, wong diwasa, wong wadon, wong wadon tuwa, wong wadon tuwa: kulit kuning
👵🏾	kulit sawo mateng, tuwa, wong diwasa, wong wadon, wong wadon tuwa, wong wadon tuwa: kulit sawo mateng
👵🏿	kulit ireng, tuwa, wong diwasa, wong wadon, wong wadon tuwa, wong wadon tuwa: kulit ireng
🙍	isarat, sedhih, wong sedhih
🙍🏻	isarat, kulit putih, sedhih, wong sedhih, wong sedhih: kulit putih
🙍🏼	isarat, kulit putih langsep, sedhih, wong sedhih, wong sedhih: kulit putih langsep
🙍🏽	isarat, kulit kuning, sedhih, wong sedhih, wong sedhih: kulit kuning
🙍🏾	isarat, kulit sawo mateng, sedhih, wong sedhih, wong sedhih: kulit sawo mateng
🙍🏿	isarat, kulit ireng, sedhih, wong sedhih, wong sedhih: kulit ireng
🙍‍♂	isarat, sedhih, wong lanang, wong lanang sedhih
🙍🏻‍♂	isarat, kulit putih, sedhih, wong lanang, wong lanang sedhih, wong lanang sedhih: kulit putih
🙍🏼‍♂	isarat, kulit putih langsep, sedhih, wong lanang, wong lanang sedhih, wong lanang sedhih: kulit putih langsep
