😀	dareenka wajiga, gariir, wajiga
🧝🏿‍♂	jidh madaw, ruuxaanta ragga, ruuxaanta ragga: jidh madaw, sixir ah
🧝‍♀	ruuxaanta haweenka, sixir ah
🧝🏻‍♀	jidh fudud, ruuxaanta haweenka, ruuxaanta haweenka: jidh fudud, sixir ah
🧝🏼‍♀	jidh fudud oo dhexe, ruuxaanta haweenka, ruuxaanta haweenka: jidh fudud oo dhexe, sixir ah
🧝🏽‍♀	jidh nooc dhexe, ruuxaanta haweenka, ruuxaanta haweenka: jidh nooc dhexe, sixir ah
🧝🏾‍♀	jidh nooc madaw oo dhexe, ruuxaanta haweenka, ruuxaanta haweenka: jidh nooc madaw oo dhexe, sixir ah
🧝🏿‍♀	jidh madaw, ruuxaanta haweenka, ruuxaanta haweenka: jidh madaw, sixir ah
🧞	jinka, sixirka jinka
🧞‍♂	jinka, jinka ragga
🧞‍♀	jinka, jinka haweenka
🧟	aan dhiman, mayd socda, qof dhintay soo noolaaday
🧟‍♂	aan dhiman, mayd socda, nin dhintay oo soo noolaaday, nin dhintay soo laabtay
🧟‍♀	aan dhiman, haweeney dhimatay soo laabatay, haweeney dhimatay soo noolaatay, mayd socda
💆	birkuyeeri, duugis, qof loo duugayo, waji
💆🏻	birkuyeeri, duugis, jidh fudud, qof loo duugayo, qof loo duugayo: jidh fudud, waji
💆🏼	birkuyeeri, duugis, jidh fudud oo dhexe, qof loo duugayo, qof loo duugayo: jidh fudud oo dhexe, waji
💆🏽	birkuyeeri, duugis, jidh nooc dhexe, qof loo duugayo, qof loo duugayo: jidh nooc dhexe, waji
💆🏾	birkuyeeri, duugis, jidh nooc madaw oo dhexe, qof loo duugayo, qof loo duugayo: jidh nooc madaw oo dhexe, waji
💆🏿	birkuyeeri, duugis, jidh madaw, qof loo duugayo, qof loo duugayo: jidh madaw, waji
💆‍♂	duugis, nin, nin loo duugayo, waji
💆🏻‍♂	duugis, jidh fudud, nin, nin loo duugayo, nin loo duugayo: jidh fudud, waji
💆🏼‍♂	duugis, jidh fudud oo dhexe, nin, nin loo duugayo, nin loo duugayo: jidh fudud oo dhexe, waji
💆🏽‍♂	duugis, jidh nooc dhexe, nin, nin loo duugayo, nin loo duugayo: jidh nooc dhexe, waji
💆🏾‍♂	duugis, jidh nooc madaw oo dhexe, nin, nin loo duugayo, nin loo duugayo: jidh nooc madaw oo dhexe, waji
💆🏿‍♂	duugis, jidh madaw, nin, nin loo duugayo, nin loo duugayo: jidh madaw, waji
💆‍♀	duugis, haweeneey loo duugayo, haweeney, haweeney loo duugayo, waji
💆🏻‍♀	duugis, haweeneey loo duugayo, haweeneey loo duugayo: jidh fudud, haweeney, haweeney loo duugayo, jidh fudud, waji
💆🏼‍♀	duugis, haweeneey loo duugayo, haweeneey loo duugayo: jidh fudud oo dhexe, haweeney, haweeney loo duugayo, jidh fudud oo dhexe, waji
💆🏽‍♀	duugis, haweeneey loo duugayo, haweeneey loo duugayo: jidh nooc dhexe, haweeney, haweeney loo duugayo, jidh nooc dhexe, waji
💆🏾‍♀	duugis, haweeneey loo duugayo, haweeneey loo duugayo: jidh nooc madaw oo dhexe, haweeney, haweeney loo duugayo, jidh nooc madaw oo dhexe, waji
💆🏿‍♀	duugis, haweeneey loo duugayo, haweeneey loo duugayo: jidh madaw, haweeney, haweeney loo duugayo, jidh madaw, waji
💇	birkuyeeri, qof timaha loo jarayo, quruxda, timo-jar, timo-jare
💇🏻	birkuyeeri, jidh fudud, qof timaha loo jarayo, qof timaha loo jarayo: jidh fudud, quruxda, timo-jar, timo-jare
💇🏼	birkuyeeri, jidh fudud oo dhexe, qof timaha loo jarayo, qof timaha loo jarayo: jidh fudud oo dhexe, quruxda, timo-jar, timo-jare
💇🏽	birkuyeeri, jidh nooc dhexe, qof timaha loo jarayo, qof timaha loo jarayo: jidh nooc dhexe, quruxda, timo-jar, timo-jare
💇🏾	birkuyeeri, jidh nooc madaw oo dhexe, qof timaha loo jarayo, qof timaha loo jarayo: jidh nooc madaw oo dhexe, quruxda, timo-jar, timo-jare
💇🏿	birkuyeeri, jidh madaw, qof timaha loo jarayo, qof timaha loo jarayo: jidh madaw, quruxda, timo-jar, timo-jare
💇‍♂	nin, nin timaha loo jarayo, timo-jar
💇🏻‍♂	jidh fudud, nin, nin timaha loo jarayo, nin timaha loo jarayo: jidh fudud, timo-jar
💇🏼‍♂	jidh fudud oo dhexe, nin, nin timaha loo jarayo, nin timaha loo jarayo: jidh fudud oo dhexe, timo-jar
💇🏽‍♂	jidh nooc dhexe, nin, nin timaha loo jarayo, nin timaha loo jarayo: jidh nooc dhexe, timo-jar
💇🏾‍♂	jidh nooc madaw oo dhexe, nin, nin timaha loo jarayo, nin timaha loo jarayo: jidh nooc madaw oo dhexe, timo-jar
💇🏿‍♂	jidh madaw, nin, nin timaha loo jarayo, nin timaha loo jarayo: jidh madaw, timo-jar
💇‍♀	haweeney, haweeney timaha loo jarayo, timo-jar
💇🏻‍♀	haweeney, haweeney timaha loo jarayo, haweeney timaha loo jarayo: jidh fudud, jidh fudud, timo-jar
💇🏼‍♀	haweeney, haweeney timaha loo jarayo, haweeney timaha loo jarayo: jidh fudud oo dhexe, jidh fudud oo dhexe, timo-jar
💇🏽‍♀	haweeney, haweeney timaha loo jarayo, haweeney timaha loo jarayo: jidh nooc dhexe, jidh nooc dhexe, timo-jar
💇🏾‍♀	haweeney, haweeney timaha loo jarayo, haweeney timaha loo jarayo: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, timo-jar
💇🏿‍♀	haweeney, haweeney timaha loo jarayo, haweeney timaha loo jarayo: jidh madaw, jidh madaw, timo-jar
🚶	qof soconaya, socod, socod dheer, socodka
🚶🏻	jidh fudud, qof soconaya, qof soconaya: jidh fudud, socod, socod dheer, socodka
🚶🏼	jidh fudud oo dhexe, qof soconaya, qof soconaya: jidh fudud oo dhexe, socod, socod dheer, socodka
🚶🏽	jidh nooc dhexe, qof soconaya, qof soconaya: jidh nooc dhexe, socod, socod dheer, socodka
🚶🏾	jidh nooc madaw oo dhexe, qof soconaya, qof soconaya: jidh nooc madaw oo dhexe, socod, socod dheer, socodka
🚶🏿	jidh madaw, qof soconaya, qof soconaya: jidh madaw, socod, socod dheer, socodka
🚶‍♂	nin, nin soconaya, socod, socod dheer
🚶🏻‍♂	jidh fudud, nin, nin soconaya, nin soconaya: jidh fudud, socod, socod dheer
🚶🏼‍♂	jidh fudud oo dhexe, nin, nin soconaya, nin soconaya: jidh fudud oo dhexe, socod, socod dheer
🚶🏽‍♂	jidh nooc dhexe, nin, nin soconaya, nin soconaya: jidh nooc dhexe, socod, socod dheer
🚶🏾‍♂	jidh nooc madaw oo dhexe, nin, nin soconaya, nin soconaya: jidh nooc madaw oo dhexe, socod, socod dheer
🚶🏿‍♂	jidh madaw, nin, nin soconaya, nin soconaya: jidh madaw, socod, socod dheer
🚶‍♀	haweeney soconaysa, naag, naag socota, socod, socod dheer
🚶🏻‍♀	haweeney soconaysa, haweeney soconaysa: jidh fudud, jidh fudud, naag, naag socota, socod, socod dheer
🚶🏼‍♀	haweeney soconaysa, haweeney soconaysa: jidh fudud oo dhexe, jidh fudud oo dhexe, naag, naag socota, socod, socod dheer
🚶🏽‍♀	haweeney soconaysa, haweeney soconaysa: jidh nooc dhexe, jidh nooc dhexe, naag, naag socota, socod, socod dheer
🚶🏾‍♀	haweeney soconaysa, haweeney soconaysa: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, naag, naag socota, socod, socod dheer
🚶🏿‍♀	haweeney soconaysa, haweeney soconaysa: jidh madaw, jidh madaw, naag, naag socota, socod, socod dheer
🧍	istaag, qof taaggan, taaggan
🧍🏻	istaag, jidh fudud, qof taaggan, qof taaggan: jidh fudud, taaggan
🧍🏼	istaag, jidh fudud oo dhexe, qof taaggan, qof taaggan: jidh fudud oo dhexe, taaggan
🧍🏽	istaag, jidh nooc dhexe, qof taaggan, qof taaggan: jidh nooc dhexe, taaggan
🧍🏾	istaag, jidh nooc madaw oo dhexe, qof taaggan, qof taaggan: jidh nooc madaw oo dhexe, taaggan
🧍🏿	istaag, jidh madaw, qof taaggan, qof taaggan: jidh madaw, taaggan
🧍‍♂	nin, nin taaggan, taaggan
🧍🏻‍♂	jidh fudud, nin, nin taaggan: jidh fudud, taaggan
🧍🏼‍♂	jidh fudud oo dhexe, nin, nin taaggan: jidh fudud oo dhexe, taaggan
🧍🏽‍♂	jidh nooc dhexe, nin, nin taaggan: jidh nooc dhexe, taaggan
🧍🏾‍♂	jidh nooc madaw oo dhexe, nin, nin taaggan: jidh nooc madaw oo dhexe, taaggan
🧍🏿‍♂	jidh madaw, nin, nin taaggan: jidh madaw, taaggan
🧍‍♀	naag, naag taaggan, taaggan
🧍🏻‍♀	jidh fudud, naag, naag taaggan: jidh fudud, taaggan
🧍🏼‍♀	jidh fudud oo dhexe, naag, naag taaggan: jidh fudud oo dhexe, taaggan
🧍🏽‍♀	jidh nooc dhexe, naag, naag taaggan: jidh nooc dhexe, taaggan
🧍🏾‍♀	jidh nooc madaw oo dhexe, naag, naag taaggan: jidh nooc madaw oo dhexe, taaggan
🧍🏿‍♀	jidh madaw, naag, naag taaggan: jidh madaw, taaggan
🧎	jilba dhiganaya, jilba dhigo, qof jilbaha dhiganaya
🧎🏻	jidh fudud, jilba dhiganaya, jilba dhigo, qof jilbaha dhiganaya, qof jilbaha dhiganaya: jidh fudud
🧎🏼	jidh fudud oo dhexe, jilba dhiganaya, jilba dhigo, qof jilbaha dhiganaya, qof jilbaha dhiganaya: jidh fudud oo dhexe
🧎🏽	jidh nooc dhexe, jilba dhiganaya, jilba dhigo, qof jilbaha dhiganaya, qof jilbaha dhiganaya: jidh nooc dhexe
🧎🏾	jidh nooc madaw oo dhexe, jilba dhiganaya, jilba dhigo, qof jilbaha dhiganaya, qof jilbaha dhiganaya: jidh nooc madaw oo dhexe
🧎🏿	jidh madaw, jilba dhiganaya, jilba dhigo, qof jilbaha dhiganaya, qof jilbaha dhiganaya: jidh madaw
🧎‍♂	jilba dhiganaya, nin, nin jilba dhiganaya
🧎🏻‍♂	jidh fudud, jilba dhiganaya, nin, nin jilba dhiganaya, nin jilba dhiganaya: jidh fudud
🧎🏼‍♂	jidh fudud oo dhexe, jilba dhiganaya, nin, nin jilba dhiganaya, nin jilba dhiganaya: jidh fudud oo dhexe
🧎🏽‍♂	jidh nooc dhexe, jilba dhiganaya, nin, nin jilba dhiganaya, nin jilba dhiganaya: jidh nooc dhexe
🧎🏾‍♂	jidh nooc madaw oo dhexe, jilba dhiganaya, nin, nin jilba dhiganaya, nin jilba dhiganaya: jidh nooc madaw oo dhexe
🧎🏿‍♂	jidh madaw, jilba dhiganaya, nin, nin jilba dhiganaya, nin jilba dhiganaya: jidh madaw
🧎‍♀	jilba dhiganayasa, naag, naag jilba dhiganaysa
🧎🏻‍♀	jidh fudud, jilba dhiganayasa, naag, naag jilba dhiganaysa, naag jilba dhiganaysa: jidh fudud
🧎🏼‍♀	jidh fudud oo dhexe, jilba dhiganayasa, naag, naag jilba dhiganaysa, naag jilba dhiganaysa: jidh fudud oo dhexe
🧎🏽‍♀	jidh nooc dhexe, jilba dhiganayasa, naag, naag jilba dhiganaysa, naag jilba dhiganaysa: jidh nooc dhexe
🧎🏾‍♀	jidh nooc madaw oo dhexe, jilba dhiganayasa, naag, naag jilba dhiganaysa, naag jilba dhiganaysa: jidh nooc madaw oo dhexe
🧎🏿‍♀	jidh madaw, jilba dhiganayasa, naag, naag jilba dhiganaysa, naag jilba dhiganaysa: jidh madaw
👨‍🦯	awood u yeelid, indhoole, nin, nin sita usha cad indhoolaha
👨🏻‍🦯	awood u yeelid, indhoole, jidh fudud, nin, nin sita usha cad indhoolaha, nin sita usha cad indhoolaha: jidh fudud
👨🏼‍🦯	awood u yeelid, indhoole, jidh fudud oo dhexe, nin, nin sita usha cad indhoolaha, nin sita usha cad indhoolaha: jidh fudud oo dhexe
👨🏽‍🦯	awood u yeelid, indhoole, jidh nooc dhexe, nin, nin sita usha cad indhoolaha, nin sita usha cad indhoolaha: jidh nooc dhexe
👨🏾‍🦯	awood u yeelid, indhoole, jidh nooc madaw oo dhexe, nin, nin sita usha cad indhoolaha, nin sita usha cad indhoolaha: jidh nooc madaw oo dhexe
👨🏿‍🦯	awood u yeelid, indhoole, jidh madaw, nin, nin sita usha cad indhoolaha, nin sita usha cad indhoolaha: jidh madaw
👩‍🦯	awood u yeelid, indhoole l naag, naag sidata usha cad indhoolaha
👩🏻‍🦯	awood u yeelid, indhoole l naag, jidh fudud, naag sidata usha cad indhoolaha, naag sidata usha cad indhoolaha: jidh fudud
👩🏼‍🦯	awood u yeelid, indhoole l naag, jidh fudud oo dhexe, naag sidata usha cad indhoolaha, naag sidata usha cad indhoolaha: jidh fudud oo dhexe
👩🏽‍🦯	awood u yeelid, indhoole l naag, jidh nooc dhexe, naag sidata usha cad indhoolaha, naag sidata usha cad indhoolaha: jidh nooc dhexe
👩🏾‍🦯	awood u yeelid, indhoole l naag, jidh nooc madaw oo dhexe, naag sidata usha cad indhoolaha, naag sidata usha cad indhoolaha: jidh nooc madaw oo dhexe
👩🏿‍🦯	awood u yeelid, indhoole l naag, jidh madaw, naag sidata usha cad indhoolaha, naag sidata usha cad indhoolaha: jidh madaw
👨‍🦼	awood u yeelid, kursi curyaan, nin, nin saaran kursiga curyanka koronto ku shaqeeya
👨🏻‍🦼	awood u yeelid, jidh fudud, kursi curyaan, nin, nin saaran kursiga curyanka koronto ku shaqeeya, nin saaran kursiga curyanka koronto ku shaqeeya: jidh fudud
👨🏼‍🦼	awood u yeelid, jidh fudud oo dhexe, kursi curyaan, nin, nin saaran kursiga curyanka koronto ku shaqeeya, nin saaran kursiga curyanka koronto ku shaqeeya: jidh fudud oo dhexe
👨🏽‍🦼	awood u yeelid, jidh nooc dhexe, kursi curyaan, nin, nin saaran kursiga curyanka koronto ku shaqeeya, nin saaran kursiga curyanka koronto ku shaqeeya: jidh nooc dhexe
👨🏾‍🦼	awood u yeelid, jidh nooc madaw oo dhexe, kursi curyaan, nin, nin saaran kursiga curyanka koronto ku shaqeeya, nin saaran kursiga curyanka koronto ku shaqeeya: jidh nooc madaw oo dhexe
👨🏿‍🦼	awood u yeelid, jidh madaw, kursi curyaan, nin, nin saaran kursiga curyanka koronto ku shaqeeya, nin saaran kursiga curyanka koronto ku shaqeeya: jidh madaw
👩‍🦼	awood u yeelid, kursiga curyaanka, naag, naag ku fadhida kursiga curyaanka koronta ku shaqeeya
👩🏻‍🦼	awood u yeelid, jidh fudud, kursiga curyaanka, naag, naag ku fadhida kursiga curyaanka koronta ku shaqeeya, naag ku fadhida kursiga curyaanka koronta ku shaqeeya: jidh fudud
👩🏼‍🦼	awood u yeelid, jidh fudud oo dhexe, kursiga curyaanka, naag, naag ku fadhida kursiga curyaanka koronta ku shaqeeya, naag ku fadhida kursiga curyaanka koronta ku shaqeeya: jidh fudud oo dhexe
👩🏽‍🦼	awood u yeelid, jidh nooc dhexe, kursiga curyaanka, naag, naag ku fadhida kursiga curyaanka koronta ku shaqeeya, naag ku fadhida kursiga curyaanka koronta ku shaqeeya: jidh nooc dhexe
👩🏾‍🦼	awood u yeelid, jidh nooc madaw oo dhexe, kursiga curyaanka, naag, naag ku fadhida kursiga curyaanka koronta ku shaqeeya, naag ku fadhida kursiga curyaanka koronta ku shaqeeya: jidh nooc madaw oo dhexe
👩🏿‍🦼	awood u yeelid, jidh madaw, kursiga curyaanka, naag, naag ku fadhida kursiga curyaanka koronta ku shaqeeya, naag ku fadhida kursiga curyaanka koronta ku shaqeeya: jidh madaw
👨‍🦽	awood u yeelid, kursiga curyaanka, nin, nin saaran kursiga curyaanka macmac ah
👨🏻‍🦽	awood u yeelid, jidh fudud, kursiga curyaanka, nin, nin saaran kursiga curyaanka macmac ah, nin saaran kursiga curyaanka macmac ah: jidh fudud
👨🏼‍🦽	awood u yeelid, jidh fudud oo dhexe, kursiga curyaanka, nin, nin saaran kursiga curyaanka macmac ah, nin saaran kursiga curyaanka macmac ah: jidh fudud oo dhexe
👨🏽‍🦽	awood u yeelid, jidh nooc dhexe, kursiga curyaanka, nin, nin saaran kursiga curyaanka macmac ah, nin saaran kursiga curyaanka macmac ah: jidh nooc dhexe
👨🏾‍🦽	awood u yeelid, jidh nooc madaw oo dhexe, kursiga curyaanka, nin, nin saaran kursiga curyaanka macmac ah, nin saaran kursiga curyaanka macmac ah: jidh nooc madaw oo dhexe
👨🏿‍🦽	awood u yeelid, jidh madaw, kursiga curyaanka, nin, nin saaran kursiga curyaanka macmac ah, nin saaran kursiga curyaanka macmac ah: jidh madaw
👩‍🦽	awood u yeelid, kursiga curyaanka, naag, naag fadhida kursiga curyaanka macmal ah
👩🏻‍🦽	awood u yeelid, jidh fudud, kursiga curyaanka, naag, naag fadhida kursiga curyaanka macmal ah, naag fadhida kursiga curyaanka macmal ah: jidh fudud
👩🏼‍🦽	awood u yeelid, jidh fudud oo dhexe, kursiga curyaanka, naag, naag fadhida kursiga curyaanka macmal ah, naag fadhida kursiga curyaanka macmal ah: jidh fudud oo dhexe
👩🏽‍🦽	awood u yeelid, jidh nooc dhexe, kursiga curyaanka, naag, naag fadhida kursiga curyaanka macmal ah, naag fadhida kursiga curyaanka macmal ah: jidh nooc dhexe
👩🏾‍🦽	awood u yeelid, jidh nooc madaw oo dhexe, kursiga curyaanka, naag, naag fadhida kursiga curyaanka macmal ah, naag fadhida kursiga curyaanka macmal ah: jidh nooc madaw oo dhexe
👩🏿‍🦽	awood u yeelid, jidh madaw, kursiga curyaanka, naag, naag fadhida kursiga curyaanka macmal ah, naag fadhida kursiga curyaanka macmal ah: jidh madaw
🏃	maratoon, orodka, qof ordaya
🏃🏻	jidh fudud, maratoon, orodka, qof ordaya, qof ordaya: jidh fudud
🏃🏼	jidh fudud oo dhexe, maratoon, orodka, qof ordaya, qof ordaya: jidh fudud oo dhexe
🏃🏽	jidh nooc dhexe, maratoon, orodka, qof ordaya, qof ordaya: jidh nooc dhexe
🏃🏾	jidh nooc madaw oo dhexe, maratoon, orodka, qof ordaya, qof ordaya: jidh nooc madaw oo dhexe
🏃🏿	jidh madaw, maratoon, orodka, qof ordaya, qof ordaya: jidh madaw
🏃‍♂	maratoon, nin, nin ordaya, orodka, tartan orod
🏃🏻‍♂	jidh fudud, maratoon, nin, nin ordaya, nin ordaya: jidh fudud, orodka, tartan orod
🏃🏼‍♂	jidh fudud oo dhexe, maratoon, nin, nin ordaya, nin ordaya: jidh fudud oo dhexe, orodka, tartan orod
🏃🏽‍♂	jidh nooc dhexe, maratoon, nin, nin ordaya, nin ordaya: jidh nooc dhexe, orodka, tartan orod
🏃🏾‍♂	jidh nooc madaw oo dhexe, maratoon, nin, nin ordaya, nin ordaya: jidh nooc madaw oo dhexe, orodka, tartan orod
🏃🏿‍♂	jidh madaw, maratoon, nin, nin ordaya, nin ordaya: jidh madaw, orodka, tartan orod
🏃‍♀	maratoon, naag, naag ordaysa, orod, tartan orod
🏃🏻‍♀	jidh fudud, maratoon, naag, naag ordaysa, naag ordaysa: jidh fudud, orod, tartan orod
🏃🏼‍♀	jidh fudud oo dhexe, maratoon, naag, naag ordaysa, naag ordaysa: jidh fudud oo dhexe, orod, tartan orod
🏃🏽‍♀	jidh nooc dhexe, maratoon, naag, naag ordaysa, naag ordaysa: jidh nooc dhexe, orod, tartan orod
🏃🏾‍♀	jidh nooc madaw oo dhexe, maratoon, naag, naag ordaysa, naag ordaysa: jidh nooc madaw oo dhexe, orod, tartan orod
🏃🏿‍♀	jidh madaw, maratoon, naag, naag ordaysa, naag ordaysa: jidh madaw, orod, tartan orod
💃	naag, naag qoob-ka-cayaaraysa, qoob-ka-cayaaridda
💃🏻	jidh fudud, naag, naag qoob-ka-cayaaraysa, naag qoob-ka-cayaaraysa: jidh fudud, qoob-ka-cayaaridda
💃🏼	jidh fudud oo dhexe, naag, naag qoob-ka-cayaaraysa, naag qoob-ka-cayaaraysa: jidh fudud oo dhexe, qoob-ka-cayaaridda
💃🏽	jidh nooc dhexe, naag, naag qoob-ka-cayaaraysa, naag qoob-ka-cayaaraysa: jidh nooc dhexe, qoob-ka-cayaaridda
💃🏾	jidh nooc madaw oo dhexe, naag, naag qoob-ka-cayaaraysa, naag qoob-ka-cayaaraysa: jidh nooc madaw oo dhexe, qoob-ka-cayaaridda
💃🏿	jidh madaw, naag, naag qoob-ka-cayaaraysa, naag qoob-ka-cayaaraysa: jidh madaw, qoob-ka-cayaaridda
🕺	nin qoob-ka-cayaaraya, qoob-ka-cayaaridda
🕺🏻	jidh fudud, nin qoob-ka-cayaaraya, nin qoob-ka-cayaaraya: jidh fudud, qoob-ka-cayaaridda
🕺🏼	jidh fudud oo dhexe, nin qoob-ka-cayaaraya, nin qoob-ka-cayaaraya: jidh fudud oo dhexe, qoob-ka-cayaaridda
🕺🏽	jidh nooc dhexe, nin qoob-ka-cayaaraya, nin qoob-ka-cayaaraya: jidh nooc dhexe, qoob-ka-cayaaridda
🕺🏾	jidh nooc madaw oo dhexe, nin qoob-ka-cayaaraya, nin qoob-ka-cayaaraya: jidh nooc madaw oo dhexe, qoob-ka-cayaaridda
🕺🏿	jidh madaw, nin qoob-ka-cayaaraya, nin qoob-ka-cayaaraya: jidh madaw, qoob-ka-cayaaridda
🕴️	ganacsi, nin suud xiran oo milicsanaya, suud
🕴🏻	ganacsi, jidh fudud, nin suud xiran oo milicsanaya, nin suud xiran oo milicsanaya: jidh fudud, suud
🕴🏼	ganacsi, jidh fudud oo dhexe, nin suud xiran oo milicsanaya, nin suud xiran oo milicsanaya: jidh fudud oo dhexe, suud
🕴🏽	ganacsi, jidh nooc dhexe, nin suud xiran oo milicsanaya, nin suud xiran oo milicsanaya: jidh nooc dhexe, suud
🕴🏾	ganacsi, jidh nooc madaw oo dhexe, nin suud xiran oo milicsanaya, nin suud xiran oo milicsanaya: jidh nooc madaw oo dhexe, suud
🕴🏿	ganacsi, jidh madaw, nin suud xiran oo milicsanaya, nin suud xiran oo milicsanaya: jidh madaw, suud
👯	dad leh dhaggo bakayle, dhag bakayle, qoob-ka- cayaare, xafladaynta
👯‍♂	dhag bakayle, qoob-ka-cayaare, rag, rag leh dhaggo bakayle, xafladaynta
👯‍♀	dhag bakayle, naag leh dhaggo bakayle, qoob-ka-cayaare, xafladeeye
🧖	qof ku jira qol uummi ah, qol hawo kulayl leh, qolka uummigga
🧖🏻	jidh fudud, qof ku jira qol uummi ah, qof ku jira qol uummi ah: jidh fudud, qol hawo kulayl leh, qolka uummigga
🧖🏼	jidh fudud oo dhexe, qof ku jira qol uummi ah, qof ku jira qol uummi ah: jidh fudud oo dhexe, qol hawo kulayl leh, qolka uummigga
🧖🏽	jidh nooc dhexe, qof ku jira qol uummi ah, qof ku jira qol uummi ah: jidh nooc dhexe, qol hawo kulayl leh, qolka uummigga
🧖🏾	jidh nooc madaw oo dhexe, qof ku jira qol uummi ah, qof ku jira qol uummi ah: jidh nooc madaw oo dhexe, qol hawo kulayl leh, qolka uummigga
🧖🏿	jidh madaw, qof ku jira qol uummi ah, qof ku jira qol uummi ah: jidh madaw, qol hawo kulayl leh, qolka uummigga
🧖‍♂	nin ku jira qol uummi ah, qol hawo kulul leh, qolka uummigga
🧖🏻‍♂	jidh fudud, nin ku jira qol uummi ah, nin ku jira qol uummi ah: jidh fudud, qol hawo kulul leh, qolka uummigga
🧖🏼‍♂	jidh fudud oo dhexe, nin ku jira qol uummi ah, nin ku jira qol uummi ah: jidh fudud oo dhexe, qol hawo kulul leh, qolka uummigga
🧖🏽‍♂	jidh nooc dhexe, nin ku jira qol uummi ah, nin ku jira qol uummi ah: jidh nooc dhexe, qol hawo kulul leh, qolka uummigga
🧖🏾‍♂	jidh nooc madaw oo dhexe, nin ku jira qol uummi ah, nin ku jira qol uummi ah: jidh nooc madaw oo dhexe, qol hawo kulul leh, qolka uummigga
🧖🏿‍♂	jidh madaw, nin ku jira qol uummi ah, nin ku jira qol uummi ah: jidh madaw, qol hawo kulul leh, qolka uummigga
🧖‍♀	naag ku jirta qol uummi ah, qolka hawada kulul, qolka uummigga
🧖🏻‍♀	jidh fudud, naag ku jirta qol uummi ah, naag ku jirta qol uummi ah: jidh fudud, qolka hawada kulul, qolka uummigga
🧖🏼‍♀	jidh fudud oo dhexe, naag ku jirta qol uummi ah, naag ku jirta qol uummi ah: jidh fudud oo dhexe, qolka hawada kulul, qolka uummigga
🧖🏽‍♀	jidh nooc dhexe, naag ku jirta qol uummi ah, naag ku jirta qol uummi ah: jidh nooc dhexe, qolka hawada kulul, qolka uummigga
🧖🏾‍♀	jidh nooc madaw oo dhexe, naag ku jirta qol uummi ah, naag ku jirta qol uummi ah: jidh nooc madaw oo dhexe, qolka hawada kulul, qolka uummigga
🧖🏿‍♀	jidh madaw, naag ku jirta qol uummi ah, naag ku jirta qol uummi ah: jidh madaw, qolka hawada kulul, qolka uummigga
🧗	fuule, qof meel fuulaya
🧗🏻	fuule, jidh fudud, qof meel fuulaya, qof meel fuulaya: jidh fudud
🧗🏼	fuule, jidh fudud oo dhexe, qof meel fuulaya, qof meel fuulaya: jidh fudud oo dhexe
🧗🏽	fuule, jidh nooc dhexe, qof meel fuulaya, qof meel fuulaya: jidh nooc dhexe
🧗🏾	fuule, jidh nooc madaw oo dhexe, qof meel fuulaya, qof meel fuulaya: jidh nooc madaw oo dhexe
🧗🏿	fuule, jidh madaw, qof meel fuulaya, qof meel fuulaya: jidh madaw
🧗‍♂	fuule, nin meel fuulaya
🧗🏻‍♂	fuule, jidh fudud, nin meel fuulaya, nin meel fuulaya: jidh fudud
🧗🏼‍♂	fuule, jidh fudud oo dhexe, nin meel fuulaya, nin meel fuulaya: jidh fudud oo dhexe
🧗🏽‍♂	fuule, jidh nooc dhexe, nin meel fuulaya, nin meel fuulaya: jidh nooc dhexe
🧗🏾‍♂	fuule, jidh nooc madaw oo dhexe, nin meel fuulaya, nin meel fuulaya: jidh nooc madaw oo dhexe
🧗🏿‍♂	fuule, jidh madaw, nin meel fuulaya, nin meel fuulaya: jidh madaw
🧗‍♀	fuule, naag meel fuulaysa
🧗🏻‍♀	fuule, jidh fudud, naag meel fuulaysa, naag meel fuulaysa: jidh fudud
🧗🏼‍♀	fuule, jidh fudud oo dhexe, naag meel fuulaysa, naag meel fuulaysa: jidh fudud oo dhexe
🧗🏽‍♀	fuule, jidh nooc dhexe, naag meel fuulaysa, naag meel fuulaysa: jidh nooc dhexe
🧗🏾‍♀	fuule, jidh nooc madaw oo dhexe, naag meel fuulaysa, naag meel fuulaysa: jidh nooc madaw oo dhexe
🧗🏿‍♀	fuule, jidh madaw, naag meel fuulaysa, naag meel fuulaysa: jidh madaw
🤺	qof ku loolamaya seef, qof ku loollamaya seef, seef ku loollame, seef ku loollamid, seefta
🏇	faras, farddo wade, tartan fardood, tartan fardoodka, tartanka
🏇🏻	faras, farddo wade, jidh fudud, tartan fardood, tartan fardoodka, tartan fardoodka: jidh fudud, tartanka
🏇🏼	faras, farddo wade, jidh fudud oo dhexe, tartan fardood, tartan fardoodka, tartan fardoodka: jidh fudud oo dhexe, tartanka
🏇🏽	faras, farddo wade, jidh nooc dhexe, tartan fardood, tartan fardoodka, tartan fardoodka: jidh nooc dhexe, tartanka
🏇🏾	faras, farddo wade, jidh nooc madaw oo dhexe, tartan fardood, tartan fardoodka, tartan fardoodka: jidh nooc madaw oo dhexe, tartanka
🏇🏿	faras, farddo wade, jidh madaw, tartan fardood, tartan fardoodka, tartan fardoodka: jidh madaw, tartanka
⛷️	alwaax baraf kula socod, baraf, qof alwaaxa barafka kula socda, qofka alwaax baraf kula socda
