😀	muka, muka tersengih, sengih
🤲🏾	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit sederhana gelap, ton kulit sederhana gelap
🤲🏿	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit gelap, ton kulit gelap
🤝	berjabat tangan, perjumpaan, persetujuan, tangan
🙏	badan, doa, isyarat, menyusun jari, susun, tangan, tanya, terima kasih, tolong, tunduk
🙏🏻	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit cerah, susun, tangan, tanya, terima kasih, tolong, ton kulit cerah, tunduk
🙏🏼	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit sederhana cerah, susun, tangan, tanya, terima kasih, tolong, ton kulit sederhana cerah, tunduk
🙏🏽	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit sederhana, susun, tangan, tanya, terima kasih, tolong, ton kulit sederhana, tunduk
🙏🏾	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit sederhana gelap, susun, tangan, tanya, terima kasih, tolong, ton kulit sederhana gelap, tunduk
🙏🏿	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit gelap, susun, tangan, tanya, terima kasih, tolong, ton kulit gelap, tunduk
✍️	badan, tangan, tangan menulis, tulis
✍🏻	badan, tangan, tangan menulis, tangan menulis: ton kulit cerah, ton kulit cerah, tulis
✍🏼	badan, tangan, tangan menulis, tangan menulis: ton kulit sederhana cerah, ton kulit sederhana cerah, tulis
✍🏽	badan, tangan, tangan menulis, tangan menulis: ton kulit sederhana, ton kulit sederhana, tulis
✍🏾	badan, tangan, tangan menulis, tangan menulis: ton kulit sederhana gelap, ton kulit sederhana gelap, tulis
✍🏿	badan, tangan, tangan menulis, tangan menulis: ton kulit gelap, ton kulit gelap, tulis
💅	kosmetik, kuku, pengilat, pengilat kuku, penjagaan, rias tangan
💅🏻	kosmetik, kuku, pengilat, pengilat kuku: ton kulit cerah, penjagaan, rias tangan, ton kulit cerah
💅🏼	kosmetik, kuku, pengilat, pengilat kuku: ton kulit sederhana cerah, penjagaan, rias tangan, ton kulit sederhana cerah
💅🏽	kosmetik, kuku, pengilat, pengilat kuku: ton kulit sederhana, penjagaan, rias tangan, ton kulit sederhana
💅🏾	kosmetik, kuku, pengilat, pengilat kuku: ton kulit sederhana gelap, penjagaan, rias tangan, ton kulit sederhana gelap
💅🏿	kosmetik, kuku, pengilat, pengilat kuku: ton kulit gelap, penjagaan, rias tangan, ton kulit gelap
🤳	kamera, selfie, swafoto, telefon
🤳🏻	kamera, selfie, swafoto, swafoto: ton kulit cerah, telefon, ton kulit cerah
🤳🏼	kamera, selfie, swafoto, swafoto: ton kulit sederhana cerah, telefon, ton kulit sederhana cerah
🤳🏽	kamera, selfie, swafoto, swafoto: ton kulit sederhana, telefon, ton kulit sederhana
🤳🏾	kamera, selfie, swafoto, swafoto: ton kulit sederhana gelap, telefon, ton kulit sederhana gelap
🤳🏿	kamera, selfie, swafoto, swafoto: ton kulit gelap, telefon, ton kulit gelap
💪	bisep, bisep dilentur, biseps dilenturtegang, komik, lentur, otot
💪🏻	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit cerah, komik, lentur, otot, ton kulit cerah
💪🏼	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit sederhana cerah, komik, lentur, otot, ton kulit sederhana cerah
💪🏽	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit sederhana, komik, lentur, otot, ton kulit sederhana
💪🏾	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit sederhana gelap, komik, lentur, otot, ton kulit sederhana gelap
💪🏿	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit gelap, komik, lentur, otot, ton kulit gelap
🦾	kebolehsampaian, lengan mekanikal, prostetik
🦿	kaki mekanikal, kebolehsampaian, prostetik
🦵	bahagian kaki, kaki, tendang
🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
🦵🏼	bahagian kaki, kaki, kaki: ton kulit sederhana cerah, tendang, ton kulit sederhana cerah
🦵🏽	bahagian kaki, kaki, kaki: ton kulit sederhana, tendang, ton kulit sederhana
🦵🏾	bahagian kaki, kaki, kaki: ton kulit sederhana gelap, tendang, ton kulit sederhana gelap
🦵🏿	bahagian kaki, kaki, kaki: ton kulit gelap, tendang, ton kulit gelap
🦶	hentak, hujung kaki, tendang
🦶🏻	hentak, hujung kaki, hujung kaki: ton kulit cerah, tendang, ton kulit cerah
🦶🏼	hentak, hujung kaki, hujung kaki: ton kulit sederhana cerah, tendang, ton kulit sederhana cerah
🦶🏽	hentak, hujung kaki, hujung kaki: ton kulit sederhana, tendang, ton kulit sederhana
🦶🏾	hentak, hujung kaki, hujung kaki: ton kulit sederhana gelap, tendang, ton kulit sederhana gelap
🦶🏿	hentak, hujung kaki, hujung kaki: ton kulit gelap, tendang, ton kulit gelap
👂️	badan, telinga
👂🏻	badan, telinga, telinga: ton kulit cerah, ton kulit cerah
👂🏼	badan, telinga, telinga: ton kulit sederhana cerah, ton kulit sederhana cerah
👂🏽	badan, telinga, telinga: ton kulit sederhana, ton kulit sederhana
👂🏾	badan, telinga, telinga: ton kulit sederhana gelap, ton kulit sederhana gelap
👂🏿	badan, telinga, telinga: ton kulit gelap, ton kulit gelap
🦻	kebolehsampaian, kesukaran mendengar, telinga dengan alat bantu dengar
🦻🏻	kebolehsampaian, kesukaran mendengar, telinga dengan alat bantu dengar, telinga dengan alat bantu dengar: ton kulit cerah, ton kulit cerah
🦻🏼	kebolehsampaian, kesukaran mendengar, telinga dengan alat bantu dengar, telinga dengan alat bantu dengar: ton kulit sederhana cerah, ton kulit sederhana cerah
🦻🏽	kebolehsampaian, kesukaran mendengar, telinga dengan alat bantu dengar, telinga dengan alat bantu dengar: ton kulit sederhana, ton kulit sederhana
🦻🏾	kebolehsampaian, kesukaran mendengar, telinga dengan alat bantu dengar, telinga dengan alat bantu dengar: ton kulit sederhana gelap, ton kulit sederhana gelap
🦻🏿	kebolehsampaian, kesukaran mendengar, telinga dengan alat bantu dengar, telinga dengan alat bantu dengar: ton kulit gelap, ton kulit gelap
👃	badan, hidung
👃🏻	badan, hidung, hidung: ton kulit cerah, ton kulit cerah
👃🏼	badan, hidung, hidung: ton kulit sederhana cerah, ton kulit sederhana cerah
👃🏽	badan, hidung, hidung: ton kulit sederhana, ton kulit sederhana
👃🏾	badan, hidung, hidung: ton kulit sederhana gelap, ton kulit sederhana gelap
👃🏿	badan, hidung, hidung: ton kulit gelap, ton kulit gelap
🧠	otak, pintar
🦷	doktor gigi, gigi
🦴	rangka, tulang
👀	badan, mata, muka, sepasang mata
👁️	badan, mata
👅	badan, lidah
👄	badan, bibir, mulut
👶	bayi
👶🏻	bayi, bayi: ton kulit cerah, ton kulit cerah
👶🏼	bayi, bayi: ton kulit sederhana cerah, ton kulit sederhana cerah
👶🏽	bayi, bayi: ton kulit sederhana, ton kulit sederhana
👶🏾	bayi, bayi: ton kulit sederhana gelap, ton kulit sederhana gelap
👶🏿	bayi, bayi: ton kulit gelap, ton kulit gelap
🧒	kanak-kanak, muda
🧒🏻	kanak-kanak, kanak-kanak: ton kulit cerah, muda, ton kulit cerah
🧒🏼	kanak-kanak, kanak-kanak: ton kulit sederhana cerah, muda, ton kulit sederhana cerah
🧒🏽	kanak-kanak, kanak-kanak: ton kulit sederhana, muda, ton kulit sederhana
🧒🏾	kanak-kanak, kanak-kanak: ton kulit sederhana gelap, muda, ton kulit sederhana gelap
🧒🏿	kanak-kanak, kanak-kanak: ton kulit gelap, muda, ton kulit gelap
👦	kanak-kanak lelaki, lelaki
👦🏻	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit cerah, lelaki, ton kulit cerah
👦🏼	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit sederhana cerah, lelaki, ton kulit sederhana cerah
👦🏽	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit sederhana, lelaki, ton kulit sederhana
👦🏾	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit sederhana gelap, lelaki, ton kulit sederhana gelap
👦🏿	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit gelap, lelaki, ton kulit gelap
👧	Virgo, budak perempuan, muda, zodiak
👧🏻	Virgo, budak perempuan, budak perempuan: ton kulit cerah, muda, ton kulit cerah, zodiak
👧🏼	Virgo, budak perempuan, budak perempuan: ton kulit sederhana cerah, muda, ton kulit sederhana cerah, zodiak
👧🏽	Virgo, budak perempuan, budak perempuan: ton kulit sederhana, muda, ton kulit sederhana, zodiak
👧🏾	Virgo, budak perempuan, budak perempuan: ton kulit sederhana gelap, muda, ton kulit sederhana gelap, zodiak
👧🏿	Virgo, budak perempuan, budak perempuan: ton kulit gelap, muda, ton kulit gelap, zodiak
🧑	dewasa, gender-neutral
🧑🏻	dewasa, dewasa: ton kulit cerah, gender-neutral, ton kulit cerah
🧑🏼	dewasa, dewasa: ton kulit sederhana cerah, gender-neutral, ton kulit sederhana cerah
🧑🏽	dewasa, dewasa: ton kulit sederhana, gender-neutral, ton kulit sederhana
🧑🏾	dewasa, dewasa: ton kulit sederhana gelap, gender-neutral, ton kulit sederhana gelap
🧑🏿	dewasa, dewasa: ton kulit gelap, gender-neutral, ton kulit gelap
👱	orang berambut perang, orang: rambut perang, perang, rambut
👱🏻	orang berambut perang, orang: rambut perang, orang: ton kulit cerah dan rambut perang, perang, rambut, ton kulit cerah
👱🏼	orang berambut perang, orang: rambut perang, orang: ton kulit sederhana cerah dan rambut perang, perang, rambut, ton kulit sederhana cerah
👱🏽	orang berambut perang, orang: rambut perang, orang: ton kulit sederhana dan rambut perang, perang, rambut, ton kulit sederhana
👱🏾	orang berambut perang, orang: rambut perang, orang: ton kulit sederhana gelap dan rambut perang, perang, rambut, ton kulit sederhana gelap
👱🏿	orang berambut perang, orang: rambut perang, orang: ton kulit gelap dan rambut perang, perang, rambut, ton kulit gelap
👨	lelaki
👨🏻	lelaki, lelaki: ton kulit cerah, ton kulit cerah
👨🏼	lelaki, lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽	lelaki, lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾	lelaki, lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿	lelaki, lelaki: ton kulit gelap, ton kulit gelap
🧔	janggut, lelaki, orang, orang: berjanggut
🧔🏻	berjanggut, janggut, lelaki, orang, orang: berjanggut, orang: ton kulit cerah dan berjanggut, ton kulit cerah
🧔🏼	berjanggut, janggut, lelaki, orang, orang: berjanggut, orang: ton kulit sederhana cerah dan berjanggut, ton kulit sederhana cerah
🧔🏽	berjanggut, janggut, lelaki, orang, orang: berjanggut, orang: ton kulit sederhana dan berjanggut, ton kulit sederhana
🧔🏾	berjanggut, janggut, lelaki, orang, orang: berjanggut, orang: ton kulit sederhana gelap dan berjanggut, ton kulit sederhana gelap
🧔🏿	berjanggut, janggut, lelaki, orang, orang: berjanggut, orang: ton kulit gelap dan berjanggut, ton kulit gelap
👱‍♂	lelaki, lelaki berambut perang muda, lelaki: berambut perang muda, perang muda, rambut
👱🏻‍♂	berambut perang muda, lelaki, lelaki berambut perang muda, lelaki: berambut perang muda, lelaki: ton kulit cerah dan berambut perang muda, perang muda, rambut, ton kulit cerah
👱🏼‍♂	berambut perang muda, lelaki, lelaki berambut perang muda, lelaki: berambut perang muda, lelaki: ton kulit sederhana cerah dan berambut perang muda, perang muda, rambut, ton kulit sederhana cerah
👱🏽‍♂	berambut perang muda, lelaki, lelaki berambut perang muda, lelaki: berambut perang muda, lelaki: ton kulit sederhana dan berambut perang muda, perang muda, rambut, ton kulit sederhana
👱🏾‍♂	berambut perang muda, lelaki, lelaki berambut perang muda, lelaki: berambut perang muda, lelaki: ton kulit sederhana gelap dan berambut perang muda, perang muda, rambut, ton kulit sederhana gelap
👱🏿‍♂	berambut perang muda, lelaki, lelaki berambut perang muda, lelaki: berambut perang muda, lelaki: ton kulit gelap dan berambut perang muda, perang muda, rambut, ton kulit gelap
👨‍🦰	lelaki, lelaki: rambut merah, rambut merah
👨🏻‍🦰	lelaki, lelaki: ton kulit cerah dan rambut merah, rambut merah, ton kulit cerah
👨🏼‍🦰	lelaki, lelaki: ton kulit sederhana cerah dan rambut merah, rambut merah, ton kulit sederhana cerah
👨🏽‍🦰	lelaki, lelaki: ton kulit sederhana dan rambut merah, rambut merah, ton kulit sederhana
👨🏾‍🦰	lelaki, lelaki: ton kulit sederhana gelap dan rambut merah, rambut merah, ton kulit sederhana gelap
👨🏿‍🦰	lelaki, lelaki: ton kulit gelap dan rambut merah, rambut merah, ton kulit gelap
👨‍🦱	lelaki, lelaki: rambut kerinting, rambut kerinting
👨🏻‍🦱	lelaki, lelaki: ton kulit cerah dan rambut kerinting, rambut kerinting, ton kulit cerah
👨🏼‍🦱	lelaki, lelaki: ton kulit sederhana cerah dan rambut kerinting, rambut kerinting, ton kulit sederhana cerah
👨🏽‍🦱	lelaki, lelaki: ton kulit sederhana dan rambut kerinting, rambut kerinting, ton kulit sederhana
👨🏾‍🦱	lelaki, lelaki: ton kulit sederhana gelap dan rambut kerinting, rambut kerinting, ton kulit sederhana gelap
👨🏿‍🦱	lelaki, lelaki: ton kulit gelap dan rambut kerinting, rambut kerinting, ton kulit gelap
👨‍🦳	lelaki, lelaki: rambut putih, rambut putih
👨🏻‍🦳	lelaki, lelaki: ton kulit cerah dan rambut putih, rambut putih, ton kulit cerah
👨🏼‍🦳	lelaki, lelaki: ton kulit sederhana cerah dan rambut putih, rambut putih, ton kulit sederhana cerah
👨🏽‍🦳	lelaki, lelaki: ton kulit sederhana dan rambut putih, rambut putih, ton kulit sederhana
👨🏾‍🦳	lelaki, lelaki: ton kulit sederhana gelap dan rambut putih, rambut putih, ton kulit sederhana gelap
👨🏿‍🦳	lelaki, lelaki: ton kulit gelap dan rambut putih, rambut putih, ton kulit gelap
👨‍🦲	botak, lelaki, lelaki: botak
👨🏻‍🦲	botak, lelaki, lelaki: ton kulit cerah dan botak, ton kulit cerah
👨🏼‍🦲	botak, lelaki, lelaki: ton kulit sederhana cerah dan botak, ton kulit sederhana cerah
👨🏽‍🦲	botak, lelaki, lelaki: ton kulit sederhana dan botak, ton kulit sederhana
👨🏾‍🦲	botak, lelaki, lelaki: ton kulit sederhana gelap dan botak, ton kulit sederhana gelap
👨🏿‍🦲	botak, lelaki, lelaki: ton kulit gelap dan botak, ton kulit gelap
👩	perempuan, wanita
👩🏻	perempuan, perempuan: ton kulit cerah, ton kulit cerah, wanita
👩🏼	perempuan, perempuan: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
👩🏽	perempuan, perempuan: ton kulit sederhana, ton kulit sederhana, wanita
👩🏾	perempuan, perempuan: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
👩🏿	perempuan, perempuan: ton kulit gelap, ton kulit gelap, wanita
👱‍♀	perang, perempuan: rambut perang, wanita, wanita rambut perang
👱🏻‍♀	perang, perempuan: rambut perang, perempuan: ton kulit cerah dan rambut perang, rambut perang, ton kulit cerah, wanita, wanita rambut perang
👱🏼‍♀	perang, perempuan: rambut perang, perempuan: ton kulit sederhana cerah dan rambut perang, rambut perang, ton kulit sederhana cerah, wanita, wanita rambut perang
👱🏽‍♀	perang, perempuan: rambut perang, perempuan: ton kulit sederhana dan rambut perang, rambut perang, ton kulit sederhana, wanita, wanita rambut perang
👱🏾‍♀	perang, perempuan: rambut perang, perempuan: ton kulit sederhana gelap dan rambut perang, rambut perang, ton kulit sederhana gelap, wanita, wanita rambut perang
👱🏿‍♀	perang, perempuan: rambut perang, perempuan: ton kulit gelap dan rambut perang, rambut perang, ton kulit gelap, wanita, wanita rambut perang
👩‍🦰	perempuan, perempuan: rambut merah, rambut merah, wanita
👩🏻‍🦰	perempuan, perempuan: ton kulit cerah dan rambut merah, rambut merah, ton kulit cerah, wanita
👩🏼‍🦰	perempuan, perempuan: ton kulit sederhana cerah dan rambut merah, rambut merah, ton kulit sederhana cerah, wanita
👩🏽‍🦰	perempuan, perempuan: ton kulit sederhana dan rambut merah, rambut merah, ton kulit sederhana, wanita
👩🏾‍🦰	perempuan, perempuan: ton kulit sederhana gelap dan rambut merah, rambut merah, ton kulit sederhana gelap, wanita
👩🏿‍🦰	perempuan, perempuan: ton kulit gelap dan rambut merah, rambut merah, ton kulit gelap, wanita
👩‍🦱	perempuan, perempuan: rambut kerinting, rambut kerinting, wanita
👩🏻‍🦱	perempuan, perempuan: ton kulit cerah dan rambut kerinting, rambut kerinting, ton kulit cerah, wanita
👩🏼‍🦱	perempuan, perempuan: ton kulit sederhana cerah dan rambut kerinting, rambut kerinting, ton kulit sederhana cerah, wanita
👩🏽‍🦱	perempuan, perempuan: ton kulit sederhana dan rambut kerinting, rambut kerinting, ton kulit sederhana, wanita
👩🏾‍🦱	perempuan, perempuan: ton kulit sederhana gelap dan rambut kerinting, rambut kerinting, ton kulit sederhana gelap, wanita
👩🏿‍🦱	perempuan, perempuan: ton kulit gelap dan rambut kerinting, rambut kerinting, ton kulit gelap, wanita
👩‍🦳	perempuan, perempuan: rambut putih, rambut putih, wanita
👩🏻‍🦳	perempuan, perempuan: ton kulit cerah dan rambut putih, rambut putih, ton kulit cerah, wanita
👩🏼‍🦳	perempuan, perempuan: ton kulit sederhana cerah dan rambut putih, rambut putih, ton kulit sederhana cerah, wanita
👩🏽‍🦳	perempuan, perempuan: ton kulit sederhana dan rambut putih, rambut putih, ton kulit sederhana, wanita
👩🏾‍🦳	perempuan, perempuan: ton kulit sederhana gelap dan rambut putih, rambut putih, ton kulit sederhana gelap, wanita
👩🏿‍🦳	perempuan, perempuan: ton kulit gelap dan rambut putih, rambut putih, ton kulit gelap, wanita
👩‍🦲	botak, perempuan, perempuan: botak, wanita
👩🏻‍🦲	botak, perempuan, perempuan: ton kulit cerah dan botak, ton kulit cerah, wanita
👩🏼‍🦲	botak, perempuan, perempuan: ton kulit sederhana cerah dan botak, ton kulit sederhana cerah, wanita
👩🏽‍🦲	botak, perempuan, perempuan: ton kulit sederhana dan botak, ton kulit sederhana, wanita
👩🏾‍🦲	botak, perempuan, perempuan: ton kulit sederhana gelap dan botak, ton kulit sederhana gelap, wanita
👩🏿‍🦲	botak, perempuan, perempuan: ton kulit gelap dan botak, ton kulit gelap, wanita
🧓	dewasa lebih tua, gender-neutral, tua
🧓🏻	dewasa lebih tua, dewasa lebih tua: ton kulit cerah, gender-neutral, ton kulit cerah, tua
🧓🏼	dewasa lebih tua, dewasa lebih tua: ton kulit sederhana cerah, gender-neutral, ton kulit sederhana cerah, tua
🧓🏽	dewasa lebih tua, dewasa lebih tua: ton kulit sederhana, gender-neutral, ton kulit sederhana, tua
🧓🏾	dewasa lebih tua, dewasa lebih tua: ton kulit sederhana gelap, gender-neutral, ton kulit sederhana gelap, tua
🧓🏿	dewasa lebih tua, dewasa lebih tua: ton kulit gelap, gender-neutral, ton kulit gelap, tua
👴	lelaki, lelaki tua, tua
👴🏻	lelaki, lelaki tua: ton kulit cerah, ton kulit cerah, tua
👴🏼	lelaki, lelaki tua: ton kulit sederhana cerah, ton kulit sederhana cerah, tua
