😀	tirjaygan yuz, tirjayish, yuz
🧝🏼‍♂	3-teri turi, erkak, erkak elf, erkak elf: 3-teri turi, ertak, quloq, sehrli
🧝🏽‍♂	4-teri turi, erkak, erkak elf, erkak elf: 4-teri turi, ertak, quloq, sehrli
🧝🏾‍♂	5-teri turi, erkak, erkak elf, erkak elf: 5-teri turi, ertak, quloq, sehrli
🧝🏿‍♂	6-teri turi, erkak, erkak elf, erkak elf: 6-teri turi, ertak, quloq, sehrli
🧝‍♀	ayol, ayol elf, ertak, quloq, sehrli
🧝🏻‍♀	1–2-teri turi, ayol, ayol elf, ayol elf: 1–2-teri turi, ertak, quloq, sehrli
🧝🏼‍♀	3-teri turi, ayol, ayol elf, ayol elf: 3-teri turi, ertak, quloq, sehrli
🧝🏽‍♀	4-teri turi, ayol, ayol elf, ayol elf: 4-teri turi, ertak, quloq, sehrli
🧝🏾‍♀	5-teri turi, ayol, ayol elf, ayol elf: 5-teri turi, ertak, quloq, sehrli
🧝🏿‍♀	6-teri turi, ayol, ayol elf, ayol elf: 6-teri turi, ertak, quloq, sehrli
🧞	afsun, chiroq, ertak, jin
🧞‍♂	afsun, chiroq, erkak, erkak jin, ertak
🧞‍♀	afsun, ayol, ayol jin, chiroq, ertak
🧟	murda, tirik, zombi
🧟‍♂	erkak, erkak zombi, murda, tirik
🧟‍♀	ayol, ayol zombi, murda, tirik
💆	massaj, salon, yuzni uqalash
💆🏻	1–2-teri turi, massaj, salon, yuzni uqalash, yuzni uqalash: 1–2-teri turi
💆🏼	3-teri turi, massaj, salon, yuzni uqalash, yuzni uqalash: 3-teri turi
💆🏽	4-teri turi, massaj, salon, yuzni uqalash, yuzni uqalash: 4-teri turi
💆🏾	5-teri turi, massaj, salon, yuzni uqalash, yuzni uqalash: 5-teri turi
💆🏿	6-teri turi, massaj, salon, yuzni uqalash, yuzni uqalash: 6-teri turi
💆‍♂	erkak, erkak yuziga massaj olmoqda, massaj, yuz
💆🏻‍♂	1–2-teri turi, erkak, erkak yuziga massaj olmoqda, erkak yuziga massaj olmoqda: 1–2-teri turi, massaj, yuz
💆🏼‍♂	3-teri turi, erkak, erkak yuziga massaj olmoqda, erkak yuziga massaj olmoqda: 3-teri turi, massaj, yuz
💆🏽‍♂	4-teri turi, erkak, erkak yuziga massaj olmoqda, erkak yuziga massaj olmoqda: 4-teri turi, massaj, yuz
💆🏾‍♂	5-teri turi, erkak, erkak yuziga massaj olmoqda, erkak yuziga massaj olmoqda: 5-teri turi, massaj, yuz
💆🏿‍♂	6-teri turi, erkak, erkak yuziga massaj olmoqda, erkak yuziga massaj olmoqda: 6-teri turi, massaj, yuz
💆‍♀	ayol, ayol yuziga massaj olmoqda, massaj, yuz
💆🏻‍♀	1–2-teri turi, ayol, ayol yuziga massaj olmoqda, ayol yuziga massaj olmoqda: 1–2-teri turi, massaj, yuz
💆🏼‍♀	3-teri turi, ayol, ayol yuziga massaj olmoqda, ayol yuziga massaj olmoqda: 3-teri turi, massaj, yuz
💆🏽‍♀	4-teri turi, ayol, ayol yuziga massaj olmoqda, ayol yuziga massaj olmoqda: 4-teri turi, massaj, yuz
💆🏾‍♀	5-teri turi, ayol, ayol yuziga massaj olmoqda, ayol yuziga massaj olmoqda: 5-teri turi, massaj, yuz
💆🏿‍♀	6-teri turi, ayol, ayol yuziga massaj olmoqda, ayol yuziga massaj olmoqda: 6-teri turi, massaj, yuz
💇	go‘zallik, salon, sartarosh, soch qisqartirish
💇🏻	1–2-teri turi, go‘zallik, salon, sartarosh, soch qisqartirish, soch qisqartirish: 1–2-teri turi
💇🏼	3-teri turi, go‘zallik, salon, sartarosh, soch qisqartirish, soch qisqartirish: 3-teri turi
💇🏽	4-teri turi, go‘zallik, salon, sartarosh, soch qisqartirish, soch qisqartirish: 4-teri turi
💇🏾	5-teri turi, go‘zallik, salon, sartarosh, soch qisqartirish, soch qisqartirish: 5-teri turi
💇🏿	6-teri turi, go‘zallik, salon, sartarosh, soch qisqartirish, soch qisqartirish: 6-teri turi
💇‍♂	erkak, erkak soch kaltalatmoqda, soch oldirish
💇🏻‍♂	1–2-teri turi, erkak, erkak soch kaltalatmoqda, erkak soch kaltalatmoqda: 1–2-teri turi, soch oldirish
💇🏼‍♂	3-teri turi, erkak, erkak soch kaltalatmoqda, erkak soch kaltalatmoqda: 3-teri turi, soch oldirish
💇🏽‍♂	4-teri turi, erkak, erkak soch kaltalatmoqda, erkak soch kaltalatmoqda: 4-teri turi, soch oldirish
💇🏾‍♂	5-teri turi, erkak, erkak soch kaltalatmoqda, erkak soch kaltalatmoqda: 5-teri turi, soch oldirish
💇🏿‍♂	6-teri turi, erkak, erkak soch kaltalatmoqda, erkak soch kaltalatmoqda: 6-teri turi, soch oldirish
💇‍♀	ayol, ayol soch kaltalatmoqda, soch kestirish, soch turmagi
💇🏻‍♀	1–2-teri turi, ayol, ayol soch kaltalatmoqda, ayol soch kaltalatmoqda: 1–2-teri turi, soch kestirish, soch turmagi
💇🏼‍♀	3-teri turi, ayol, ayol soch kaltalatmoqda, ayol soch kaltalatmoqda: 3-teri turi, soch kestirish, soch turmagi
💇🏽‍♀	4-teri turi, ayol, ayol soch kaltalatmoqda, ayol soch kaltalatmoqda: 4-teri turi, soch kestirish, soch turmagi
💇🏾‍♀	5-teri turi, ayol, ayol soch kaltalatmoqda, ayol soch kaltalatmoqda: 5-teri turi, soch kestirish, soch turmagi
💇🏿‍♀	6-teri turi, ayol, ayol soch kaltalatmoqda, ayol soch kaltalatmoqda: 6-teri turi, soch kestirish, soch turmagi
🚶	piyoda, piyoda odam, piyoda yurish, sayr
🚶🏻	1–2-teri turi, piyoda, piyoda odam, piyoda odam: 1–2-teri turi, piyoda yurish, sayr
🚶🏼	3-teri turi, piyoda, piyoda odam, piyoda odam: 3-teri turi, piyoda yurish, sayr
🚶🏽	4-teri turi, piyoda, piyoda odam, piyoda odam: 4-teri turi, piyoda yurish, sayr
🚶🏾	5-teri turi, piyoda, piyoda odam, piyoda odam: 5-teri turi, piyoda yurish, sayr
🚶🏿	6-teri turi, piyoda, piyoda odam, piyoda odam: 6-teri turi, piyoda yurish, sayr
🚶‍♂	erkak, piyoda yurish, sayr, yurayotgan erkak
🚶🏻‍♂	1–2-teri turi, erkak, piyoda yurish, sayr, yurayotgan erkak, yurayotgan erkak: 1–2-teri turi
🚶🏼‍♂	3-teri turi, erkak, piyoda yurish, sayr, yurayotgan erkak, yurayotgan erkak: 3-teri turi
🚶🏽‍♂	4-teri turi, erkak, piyoda yurish, sayr, yurayotgan erkak, yurayotgan erkak: 4-teri turi
🚶🏾‍♂	5-teri turi, erkak, piyoda yurish, sayr, yurayotgan erkak, yurayotgan erkak: 5-teri turi
🚶🏿‍♂	6-teri turi, erkak, piyoda yurish, sayr, yurayotgan erkak, yurayotgan erkak: 6-teri turi
🚶‍♀	ayol, piyoda yurish, sayr, yurayotgan ayol
🚶🏻‍♀	1–2-teri turi, ayol, piyoda yurish, sayr, yurayotgan ayol, yurayotgan ayol: 1–2-teri turi
🚶🏼‍♀	3-teri turi, ayol, piyoda yurish, sayr, yurayotgan ayol, yurayotgan ayol: 3-teri turi
🚶🏽‍♀	4-teri turi, ayol, piyoda yurish, sayr, yurayotgan ayol, yurayotgan ayol: 4-teri turi
🚶🏾‍♀	5-teri turi, ayol, piyoda yurish, sayr, yurayotgan ayol, yurayotgan ayol: 5-teri turi
🚶🏿‍♀	6-teri turi, ayol, piyoda yurish, sayr, yurayotgan ayol, yurayotgan ayol: 6-teri turi
🧍	tik turgan odam, tik turish, turish
🧍🏻	1–2-teri turi, tik turgan odam, tik turgan odam: 1–2-teri turi, tik turish, turish
🧍🏼	3-teri turi, tik turgan odam, tik turgan odam: 3-teri turi, tik turish, turish
🧍🏽	4-teri turi, tik turgan odam, tik turgan odam: 4-teri turi, tik turish, turish
🧍🏾	5-teri turi, tik turgan odam, tik turgan odam: 5-teri turi, tik turish, turish
🧍🏿	6-teri turi, tik turgan odam, tik turgan odam: 6-teri turi, tik turish, turish
🧍‍♂	erkak, tik turgan erkak, tik turish
🧍🏻‍♂	1–2-teri turi, erkak, tik turgan erkak, tik turgan erkak: 1–2-teri turi, tik turish
🧍🏼‍♂	3-teri turi, erkak, tik turgan erkak, tik turgan erkak: 3-teri turi, tik turish
🧍🏽‍♂	4-teri turi, erkak, tik turgan erkak, tik turgan erkak: 4-teri turi, tik turish
🧍🏾‍♂	5-teri turi, erkak, tik turgan erkak, tik turgan erkak: 5-teri turi, tik turish
🧍🏿‍♂	6-teri turi, erkak, tik turgan erkak, tik turgan erkak: 6-teri turi, tik turish
🧍‍♀	ayol, tik turgan ayol, tik turish
🧍🏻‍♀	1–2-teri turi, ayol, tik turgan ayol, tik turgan ayol: 1–2-teri turi, tik turish
🧍🏼‍♀	3-teri turi, ayol, tik turgan ayol, tik turgan ayol: 3-teri turi, tik turish
🧍🏽‍♀	4-teri turi, ayol, tik turgan ayol, tik turgan ayol: 4-teri turi, tik turish
🧍🏾‍♀	5-teri turi, ayol, tik turgan ayol, tik turgan ayol: 5-teri turi, tik turish
🧍🏿‍♀	6-teri turi, ayol, tik turgan ayol, tik turgan ayol: 6-teri turi, tik turish
🧎	tiz choʻkish, tiz choʻkkan odam, tizza
🧎🏻	1–2-teri turi, tiz choʻkish, tiz choʻkkan odam, tiz choʻkkan odam: 1–2-teri turi, tizza
🧎🏼	3-teri turi, tiz choʻkish, tiz choʻkkan odam, tiz choʻkkan odam: 3-teri turi, tizza
🧎🏽	4-teri turi, tiz choʻkish, tiz choʻkkan odam, tiz choʻkkan odam: 4-teri turi, tizza
🧎🏾	5-teri turi, tiz choʻkish, tiz choʻkkan odam, tiz choʻkkan odam: 5-teri turi, tizza
🧎🏿	6-teri turi, tiz choʻkish, tiz choʻkkan odam, tiz choʻkkan odam: 6-teri turi, tizza
🧎‍♂	erkak, tiz choʻkish, tiz choʻkkan erkak
🧎🏻‍♂	1–2-teri turi, erkak, tiz choʻkish, tiz choʻkkan erkak, tiz choʻkkan erkak: 1–2-teri turi
🧎🏼‍♂	3-teri turi, erkak, tiz choʻkish, tiz choʻkkan erkak, tiz choʻkkan erkak: 3-teri turi
🧎🏽‍♂	4-teri turi, erkak, tiz choʻkish, tiz choʻkkan erkak, tiz choʻkkan erkak: 4-teri turi
🧎🏾‍♂	5-teri turi, erkak, tiz choʻkish, tiz choʻkkan erkak, tiz choʻkkan erkak: 5-teri turi
🧎🏿‍♂	6-teri turi, erkak, tiz choʻkish, tiz choʻkkan erkak, tiz choʻkkan erkak: 6-teri turi
🧎‍♀	ayol, tiz choʻkish, tiz choʻkkan ayol
🧎🏻‍♀	1–2-teri turi, ayol, tiz choʻkish, tiz choʻkkan ayol, tiz choʻkkan ayol: 1–2-teri turi
🧎🏼‍♀	3-teri turi, ayol, tiz choʻkish, tiz choʻkkan ayol, tiz choʻkkan ayol: 3-teri turi
🧎🏽‍♀	4-teri turi, ayol, tiz choʻkish, tiz choʻkkan ayol, tiz choʻkkan ayol: 4-teri turi
🧎🏾‍♀	5-teri turi, ayol, tiz choʻkish, tiz choʻkkan ayol, tiz choʻkkan ayol: 5-teri turi
🧎🏿‍♀	6-teri turi, ayol, tiz choʻkish, tiz choʻkkan ayol, tiz choʻkkan ayol: 6-teri turi
👨‍🦯	hassali odam, koʻr, nogironlik, odam
👨🏻‍🦯	1–2-teri turi, hassali odam, hassali odam: 1–2-teri turi, koʻr, nogironlik, odam
👨🏼‍🦯	3-teri turi, hassali odam, hassali odam: 3-teri turi, koʻr, nogironlik, odam
👨🏽‍🦯	4-teri turi, hassali odam, hassali odam: 4-teri turi, koʻr, nogironlik, odam
👨🏾‍🦯	5-teri turi, hassali odam, hassali odam: 5-teri turi, koʻr, nogironlik, odam
👨🏿‍🦯	6-teri turi, hassali odam, hassali odam: 6-teri turi, koʻr, nogironlik, odam
👩‍🦯	ayol, hassali ayol, koʻr, nogironlik
👩🏻‍🦯	1–2-teri turi, ayol, hassali ayol, hassali ayol: 1–2-teri turi, koʻr, nogironlik
👩🏼‍🦯	3-teri turi, ayol, hassali ayol, hassali ayol: 3-teri turi, koʻr, nogironlik
👩🏽‍🦯	4-teri turi, ayol, hassali ayol, hassali ayol: 4-teri turi, koʻr, nogironlik
👩🏾‍🦯	5-teri turi, ayol, hassali ayol, hassali ayol: 5-teri turi, koʻr, nogironlik
👩🏿‍🦯	6-teri turi, ayol, hassali ayol, hassali ayol: 6-teri turi, koʻr, nogironlik
👨‍🦼	erkak, motorli nogironlik aravachasidagi erkak, nogironlik, nogironlik aravachasi
👨🏻‍🦼	1–2-teri turi, erkak, motorli nogironlik aravachasidagi erkak, motorli nogironlik aravachasidagi erkak: 1–2-teri turi, nogironlik, nogironlik aravachasi
👨🏼‍🦼	3-teri turi, erkak, motorli nogironlik aravachasidagi erkak, motorli nogironlik aravachasidagi erkak: 3-teri turi, nogironlik, nogironlik aravachasi
👨🏽‍🦼	4-teri turi, erkak, motorli nogironlik aravachasidagi erkak, motorli nogironlik aravachasidagi erkak: 4-teri turi, nogironlik, nogironlik aravachasi
👨🏾‍🦼	5-teri turi, erkak, motorli nogironlik aravachasidagi erkak, motorli nogironlik aravachasidagi erkak: 5-teri turi, nogironlik, nogironlik aravachasi
👨🏿‍🦼	6-teri turi, erkak, motorli nogironlik aravachasidagi erkak, motorli nogironlik aravachasidagi erkak: 6-teri turi, nogironlik, nogironlik aravachasi
👩‍🦼	ayol, motorli nogironlik aravachasidagi ayol, nogironlik, nogironlik aravachasi
👩🏻‍🦼	1–2-teri turi, ayol, motorli nogironlik aravachasidagi ayol, motorli nogironlik aravachasidagi ayol: 1–2-teri turi, nogironlik, nogironlik aravachasi
👩🏼‍🦼	3-teri turi, ayol, motorli nogironlik aravachasidagi ayol, motorli nogironlik aravachasidagi ayol: 3-teri turi, nogironlik, nogironlik aravachasi
👩🏽‍🦼	4-teri turi, ayol, motorli nogironlik aravachasidagi ayol, motorli nogironlik aravachasidagi ayol: 4-teri turi, nogironlik, nogironlik aravachasi
👩🏾‍🦼	5-teri turi, ayol, motorli nogironlik aravachasidagi ayol, motorli nogironlik aravachasidagi ayol: 5-teri turi, nogironlik, nogironlik aravachasi
👩🏿‍🦼	6-teri turi, ayol, motorli nogironlik aravachasidagi ayol, motorli nogironlik aravachasidagi ayol: 6-teri turi, nogironlik, nogironlik aravachasi
👨‍🦽	erkak, nogiron erkak, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi erkak
👨🏻‍🦽	1–2-teri turi, erkak, nogiron erkak, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi erkak, nogironlik aravachasidagi erkak: 1–2-teri turi
👨🏼‍🦽	3-teri turi, erkak, nogiron erkak, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi erkak, nogironlik aravachasidagi erkak: 3-teri turi
👨🏽‍🦽	4-teri turi, erkak, nogiron erkak, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi erkak, nogironlik aravachasidagi erkak: 4-teri turi
👨🏾‍🦽	5-teri turi, erkak, nogiron erkak, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi erkak, nogironlik aravachasidagi erkak: 5-teri turi
👨🏿‍🦽	6-teri turi, erkak, nogiron erkak, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi erkak, nogironlik aravachasidagi erkak: 6-teri turi
👩‍🦽	ayol, nogiron ayol, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi ayol
👩🏻‍🦽	1–2-teri turi, ayol, nogiron ayol, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi ayol, nogironlik aravachasidagi ayol: 1–2-teri turi
👩🏼‍🦽	3-teri turi, ayol, nogiron ayol, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi ayol, nogironlik aravachasidagi ayol: 3-teri turi
👩🏽‍🦽	4-teri turi, ayol, nogiron ayol, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi ayol, nogironlik aravachasidagi ayol: 4-teri turi
👩🏾‍🦽	5-teri turi, ayol, nogiron ayol, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi ayol, nogironlik aravachasidagi ayol: 5-teri turi
👩🏿‍🦽	6-teri turi, ayol, nogiron ayol, nogironlik, nogironlik aravachasi, nogironlik aravachasidagi ayol, nogironlik aravachasidagi ayol: 6-teri turi
🏃	marafon, yugurish, yuguruvchi
🏃🏻	1–2-teri turi, marafon, yugurish, yuguruvchi, yuguruvchi: 1–2-teri turi
🏃🏼	3-teri turi, marafon, yugurish, yuguruvchi, yuguruvchi: 3-teri turi
🏃🏽	4-teri turi, marafon, yugurish, yuguruvchi, yuguruvchi: 4-teri turi
🏃🏾	5-teri turi, marafon, yugurish, yuguruvchi, yuguruvchi: 5-teri turi
🏃🏿	6-teri turi, marafon, yugurish, yuguruvchi, yuguruvchi: 6-teri turi
🏃‍♂	erkak, marafon, yugurayotgan erkak, yugurish
🏃🏻‍♂	1–2-teri turi, erkak, marafon, yugurayotgan erkak, yugurayotgan erkak: 1–2-teri turi, yugurish
🏃🏼‍♂	3-teri turi, erkak, marafon, yugurayotgan erkak, yugurayotgan erkak: 3-teri turi, yugurish
🏃🏽‍♂	4-teri turi, erkak, marafon, yugurayotgan erkak, yugurayotgan erkak: 4-teri turi, yugurish
🏃🏾‍♂	5-teri turi, erkak, marafon, yugurayotgan erkak, yugurayotgan erkak: 5-teri turi, yugurish
🏃🏿‍♂	6-teri turi, erkak, marafon, yugurayotgan erkak, yugurayotgan erkak: 6-teri turi, yugurish
🏃‍♀	ayol, marafon, yugurayotgan ayol, yugurish
🏃🏻‍♀	1–2-teri turi, ayol, marafon, yugurayotgan ayol, yugurayotgan ayol: 1–2-teri turi, yugurish
🏃🏼‍♀	3-teri turi, ayol, marafon, yugurayotgan ayol, yugurayotgan ayol: 3-teri turi, yugurish
🏃🏽‍♀	4-teri turi, ayol, marafon, yugurayotgan ayol, yugurayotgan ayol: 4-teri turi, yugurish
🏃🏾‍♀	5-teri turi, ayol, marafon, yugurayotgan ayol, yugurayotgan ayol: 5-teri turi, yugurish
🏃🏿‍♀	6-teri turi, ayol, marafon, yugurayotgan ayol, yugurayotgan ayol: 6-teri turi, yugurish
💃	raqqos, raqqosa
💃🏻	1–2-teri turi, raqqos, raqqosa, raqqosa: 1–2-teri turi
💃🏼	3-teri turi, raqqos, raqqosa, raqqosa: 3-teri turi
💃🏽	4-teri turi, raqqos, raqqosa, raqqosa: 4-teri turi
💃🏾	5-teri turi, raqqos, raqqosa, raqqosa: 5-teri turi
💃🏿	6-teri turi, raqqos, raqqosa, raqqosa: 6-teri turi
🕺	erkak, raqs, raqs tushayotgan erkak
🕺🏻	1–2-teri turi, erkak, raqs, raqs tushayotgan erkak, raqs tushayotgan erkak: 1–2-teri turi
🕺🏼	3-teri turi, erkak, raqs, raqs tushayotgan erkak, raqs tushayotgan erkak: 3-teri turi
🕺🏽	4-teri turi, erkak, raqs, raqs tushayotgan erkak, raqs tushayotgan erkak: 4-teri turi
🕺🏾	5-teri turi, erkak, raqs, raqs tushayotgan erkak, raqs tushayotgan erkak: 5-teri turi
🕺🏿	6-teri turi, erkak, raqs, raqs tushayotgan erkak, raqs tushayotgan erkak: 6-teri turi
🕴️	erkak, ish, kostyum, kostyum kiygan kishi
🕴🏻	1–2-teri turi, erkak, ish, kostyum, kostyum kiygan kishi, kostyum kiygan kishi: 1–2-teri turi
🕴🏼	3-teri turi, erkak, ish, kostyum, kostyum kiygan kishi, kostyum kiygan kishi: 3-teri turi
🕴🏽	4-teri turi, erkak, ish, kostyum, kostyum kiygan kishi, kostyum kiygan kishi: 4-teri turi
🕴🏾	5-teri turi, erkak, ish, kostyum, kostyum kiygan kishi, kostyum kiygan kishi: 5-teri turi
🕴🏿	6-teri turi, erkak, ish, kostyum, kostyum kiygan kishi, kostyum kiygan kishi: 6-teri turi
👯	ayol, ayollar bazmi, qiz, quloq, quyon, raqs
👯‍♂	erkak, erkak vaqtichog‘liq qilmoqda, quyon qulog‘i, raqqos, vaqtichog‘lik
👯‍♀	ayol, ayol vaqtichog‘lik qilmoqda, quyon qulog‘i, raqqosa, vaqtichog‘lik
🧖	hammomdagi odam
🧖🏻	1–2-teri turi, hammomdagi odam, hammomdagi odam: 1–2-teri turi
🧖🏼	3-teri turi, hammomdagi odam, hammomdagi odam: 3-teri turi
🧖🏽	4-teri turi, hammomdagi odam, hammomdagi odam: 4-teri turi
🧖🏾	5-teri turi, hammomdagi odam, hammomdagi odam: 5-teri turi
🧖🏿	6-teri turi, hammomdagi odam, hammomdagi odam: 6-teri turi
🧖‍♂	hammomdagi erkak
🧖🏻‍♂	1–2-teri turi, hammomdagi erkak, hammomdagi erkak: 1–2-teri turi
🧖🏼‍♂	3-teri turi, hammomdagi erkak, hammomdagi erkak: 3-teri turi
🧖🏽‍♂	4-teri turi, hammomdagi erkak, hammomdagi erkak: 4-teri turi
🧖🏾‍♂	5-teri turi, hammomdagi erkak, hammomdagi erkak: 5-teri turi
🧖🏿‍♂	6-teri turi, hammomdagi erkak, hammomdagi erkak: 6-teri turi
🧖‍♀	hammomdagi ayol
🧖🏻‍♀	1–2-teri turi, hammomdagi ayol, hammomdagi ayol: 1–2-teri turi
🧖🏼‍♀	3-teri turi, hammomdagi ayol, hammomdagi ayol: 3-teri turi
🧖🏽‍♀	4-teri turi, hammomdagi ayol, hammomdagi ayol: 4-teri turi
🧖🏾‍♀	5-teri turi, hammomdagi ayol, hammomdagi ayol: 5-teri turi
🧖🏿‍♀	6-teri turi, hammomdagi ayol, hammomdagi ayol: 6-teri turi
🧗	cho‘qqiga chiqayotgan odam
🧗🏻	1–2-teri turi, cho‘qqiga chiqayotgan odam, cho‘qqiga chiqayotgan odam: 1–2-teri turi
🧗🏼	3-teri turi, cho‘qqiga chiqayotgan odam, cho‘qqiga chiqayotgan odam: 3-teri turi
🧗🏽	4-teri turi, cho‘qqiga chiqayotgan odam, cho‘qqiga chiqayotgan odam: 4-teri turi
🧗🏾	5-teri turi, cho‘qqiga chiqayotgan odam, cho‘qqiga chiqayotgan odam: 5-teri turi
🧗🏿	6-teri turi, cho‘qqiga chiqayotgan odam, cho‘qqiga chiqayotgan odam: 6-teri turi
🧗‍♂	cho‘qqiga chiqayotgan erkak
🧗🏻‍♂	1–2-teri turi, cho‘qqiga chiqayotgan erkak, cho‘qqiga chiqayotgan erkak: 1–2-teri turi
🧗🏼‍♂	3-teri turi, cho‘qqiga chiqayotgan erkak, cho‘qqiga chiqayotgan erkak: 3-teri turi
🧗🏽‍♂	4-teri turi, cho‘qqiga chiqayotgan erkak, cho‘qqiga chiqayotgan erkak: 4-teri turi
🧗🏾‍♂	5-teri turi, cho‘qqiga chiqayotgan erkak, cho‘qqiga chiqayotgan erkak: 5-teri turi
🧗🏿‍♂	6-teri turi, cho‘qqiga chiqayotgan erkak, cho‘qqiga chiqayotgan erkak: 6-teri turi
🧗‍♀	cho‘qqiga chiqayotgan ayol
🧗🏻‍♀	1–2-teri turi, cho‘qqiga chiqayotgan ayol, cho‘qqiga chiqayotgan ayol: 1–2-teri turi
🧗🏼‍♀	3-teri turi, cho‘qqiga chiqayotgan ayol, cho‘qqiga chiqayotgan ayol: 3-teri turi
🧗🏽‍♀	4-teri turi, cho‘qqiga chiqayotgan ayol, cho‘qqiga chiqayotgan ayol: 4-teri turi
🧗🏾‍♀	5-teri turi, cho‘qqiga chiqayotgan ayol, cho‘qqiga chiqayotgan ayol: 5-teri turi
🧗🏿‍♀	6-teri turi, cho‘qqiga chiqayotgan ayol, cho‘qqiga chiqayotgan ayol: 6-teri turi
🤺	odam, qilichboz, qilichbozlik, rapira, sport
🏇	ippodrom, ot, ot yugurtirish, otchopar
🏇🏻	1–2-teri turi, ippodrom, ot, ot yugurtirish, otchopar, otchopar: 1–2-teri turi
🏇🏼	3-teri turi, ippodrom, ot, ot yugurtirish, otchopar, otchopar: 3-teri turi
🏇🏽	4-teri turi, ippodrom, ot, ot yugurtirish, otchopar, otchopar: 4-teri turi
🏇🏾	5-teri turi, ippodrom, ot, ot yugurtirish, otchopar, otchopar: 5-teri turi
🏇🏿	6-teri turi, ippodrom, ot, ot yugurtirish, otchopar, otchopar: 6-teri turi
⛷️	chang‘i, chang‘ichi, qor
🏂️	chang‘i, qor, snoubord, snoubordchi
🏂🏻	1–2-teri turi, chang‘i, qor, snoubord, snoubordchi, snoubordchi: 1–2-teri turi
🏂🏼	3-teri turi, chang‘i, qor, snoubord, snoubordchi, snoubordchi: 3-teri turi
🏂🏽	4-teri turi, chang‘i, qor, snoubord, snoubordchi, snoubordchi: 4-teri turi
🏂🏾	5-teri turi, chang‘i, qor, snoubord, snoubordchi, snoubordchi: 5-teri turi
🏂🏿	6-teri turi, chang‘i, qor, snoubord, snoubordchi, snoubordchi: 6-teri turi
🏌️	golf, golf o‘ynovchi, shar, to‘p
🏌🏻	1–2-teri turi, golf, golf o‘ynovchi, golf o‘ynovchi: 1–2-teri turi, shar, to‘p
🏌🏼	3-teri turi, golf, golf o‘ynovchi, golf o‘ynovchi: 3-teri turi, shar, to‘p
🏌🏽	4-teri turi, golf, golf o‘ynovchi, golf o‘ynovchi: 4-teri turi, shar, to‘p
🏌🏾	5-teri turi, golf, golf o‘ynovchi, golf o‘ynovchi: 5-teri turi, shar, to‘p
🏌🏿	6-teri turi, golf, golf o‘ynovchi, golf o‘ynovchi: 6-teri turi, shar, to‘p
🏌‍♂	erkak, erkak golf o‘ynamoqda, golf
🏌🏻‍♂	1–2-teri turi, erkak, erkak golf o‘ynamoqda, erkak golf o‘ynamoqda: 1–2-teri turi, golf
🏌🏼‍♂	3-teri turi, erkak, erkak golf o‘ynamoqda, erkak golf o‘ynamoqda: 3-teri turi, golf
🏌🏽‍♂	4-teri turi, erkak, erkak golf o‘ynamoqda, erkak golf o‘ynamoqda: 4-teri turi, golf
🏌🏾‍♂	5-teri turi, erkak, erkak golf o‘ynamoqda, erkak golf o‘ynamoqda: 5-teri turi, golf
🏌🏿‍♂	6-teri turi, erkak, erkak golf o‘ynamoqda, erkak golf o‘ynamoqda: 6-teri turi, golf
🏌‍♀	ayol, ayol golf o‘ynamoqda, golf
🏌🏻‍♀	1–2-teri turi, ayol, ayol golf o‘ynamoqda, ayol golf o‘ynamoqda: 1–2-teri turi, golf
🏌🏼‍♀	3-teri turi, ayol, ayol golf o‘ynamoqda, ayol golf o‘ynamoqda: 3-teri turi, golf
🏌🏽‍♀	4-teri turi, ayol, ayol golf o‘ynamoqda, ayol golf o‘ynamoqda: 4-teri turi, golf
🏌🏾‍♀	5-teri turi, ayol, ayol golf o‘ynamoqda, ayol golf o‘ynamoqda: 5-teri turi, golf
🏌🏿‍♀	6-teri turi, ayol, ayol golf o‘ynamoqda, ayol golf o‘ynamoqda: 6-teri turi, golf
🏄️	serfing, serfingchi
🏄🏻	1–2-teri turi, serfing, serfingchi, serfingchi: 1–2-teri turi
🏄🏼	3-teri turi, serfing, serfingchi, serfingchi: 3-teri turi
🏄🏽	4-teri turi, serfing, serfingchi, serfingchi: 4-teri turi
🏄🏾	5-teri turi, serfing, serfingchi, serfingchi: 5-teri turi
🏄🏿	6-teri turi, serfing, serfingchi, serfingchi: 6-teri turi
🏄‍♂	erkak, erkak serfing qilmoqda, serfing
🏄🏻‍♂	1–2-teri turi, erkak, erkak serfing qilmoqda, erkak serfing qilmoqda: 1–2-teri turi, serfing
🏄🏼‍♂	3-teri turi, erkak, erkak serfing qilmoqda, erkak serfing qilmoqda: 3-teri turi, serfing
🏄🏽‍♂	4-teri turi, erkak, erkak serfing qilmoqda, erkak serfing qilmoqda: 4-teri turi, serfing
