😀	arc, nevetés, nevető arc
🧛🏽‍♂	Drakula, férfi vámpír, férfi vámpír: közepes bőrtónus, közepes bőrtónus, élőhalott, élőholt
🧛🏾‍♂	Drakula, férfi vámpír, férfi vámpír: közepesen sötét bőrtónus, közepesen sötét bőrtónus, élőhalott, élőholt
🧛🏿‍♂	Drakula, férfi vámpír, férfi vámpír: sötét bőrtónus, sötét bőrtónus, élőhalott, élőholt
🧛‍♀	női vámpír, élőhalott, élőholt
🧛🏻‍♀	női vámpír, női vámpír: világos bőrtónus, világos bőrtónus, élőhalott, élőholt
🧛🏼‍♀	közepesen világos bőrtónus, női vámpír, női vámpír: közepesen világos bőrtónus, élőhalott, élőholt
🧛🏽‍♀	közepes bőrtónus, női vámpír, női vámpír: közepes bőrtónus, élőhalott, élőholt
🧛🏾‍♀	közepesen sötét bőrtónus, női vámpír, női vámpír: közepesen sötét bőrtónus, élőhalott, élőholt
🧛🏿‍♀	női vámpír, női vámpír: sötét bőrtónus, sötét bőrtónus, élőhalott, élőholt
🧜	hablegény, hableány, sellő
🧜🏻	hablegény, hableány, sellő, sellő: világos bőrtónus, világos bőrtónus
🧜🏼	hablegény, hableány, közepesen világos bőrtónus, sellő, sellő: közepesen világos bőrtónus
🧜🏽	hablegény, hableány, közepes bőrtónus, sellő, sellő: közepes bőrtónus
🧜🏾	hablegény, hableány, közepesen sötét bőrtónus, sellő, sellő: közepesen sötét bőrtónus
🧜🏿	hablegény, hableány, sellő, sellő: sötét bőrtónus, sötét bőrtónus
🧜‍♂	Triton, férfi sellő
🧜🏻‍♂	Triton, férfi sellő, férfi sellő: világos bőrtónus, világos bőrtónus
🧜🏼‍♂	Triton, férfi sellő, férfi sellő: közepesen világos bőrtónus, közepesen világos bőrtónus
🧜🏽‍♂	Triton, férfi sellő, férfi sellő: közepes bőrtónus, közepes bőrtónus
🧜🏾‍♂	Triton, férfi sellő, férfi sellő: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🧜🏿‍♂	Triton, férfi sellő, férfi sellő: sötét bőrtónus, sötét bőrtónus
🧜‍♀	női sellő, sellőlány
🧜🏻‍♀	női sellő, sellőlány, sellőlány: világos bőrtónus, világos bőrtónus
🧜🏼‍♀	közepesen világos bőrtónus, női sellő, sellőlány, sellőlány: közepesen világos bőrtónus
🧜🏽‍♀	közepes bőrtónus, női sellő, sellőlány, sellőlány: közepes bőrtónus
🧜🏾‍♀	közepesen sötét bőrtónus, női sellő, sellőlány, sellőlány: közepesen sötét bőrtónus
🧜🏿‍♀	női sellő, sellőlány, sellőlány: sötét bőrtónus, sötét bőrtónus
🧝	mágikus, tünde
🧝🏻	mágikus, tünde, tünde: világos bőrtónus, világos bőrtónus
🧝🏼	közepesen világos bőrtónus, mágikus, tünde, tünde: közepesen világos bőrtónus
🧝🏽	közepes bőrtónus, mágikus, tünde, tünde: közepes bőrtónus
🧝🏾	közepesen sötét bőrtónus, mágikus, tünde, tünde: közepesen sötét bőrtónus
🧝🏿	mágikus, sötét bőrtónus, tünde, tünde: sötét bőrtónus
🧝‍♂	férfi tünde, mágikus
🧝🏻‍♂	férfi tünde, férfi tünde: világos bőrtónus, mágikus, világos bőrtónus
🧝🏼‍♂	férfi tünde, férfi tünde: közepesen világos bőrtónus, közepesen világos bőrtónus, mágikus
🧝🏽‍♂	férfi tünde, férfi tünde: közepes bőrtónus, közepes bőrtónus, mágikus
🧝🏾‍♂	férfi tünde, férfi tünde: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mágikus
🧝🏿‍♂	férfi tünde, férfi tünde: sötét bőrtónus, mágikus, sötét bőrtónus
🧝‍♀	mágikus, női tünde
🧝🏻‍♀	mágikus, női tünde, női tünde: világos bőrtónus, világos bőrtónus
🧝🏼‍♀	közepesen világos bőrtónus, mágikus, női tünde, női tünde: közepesen világos bőrtónus
🧝🏽‍♀	közepes bőrtónus, mágikus, női tünde, női tünde: közepes bőrtónus
🧝🏾‍♀	közepesen sötét bőrtónus, mágikus, női tünde, női tünde: közepesen sötét bőrtónus
🧝🏿‍♀	mágikus, női tünde, női tünde: sötét bőrtónus, sötét bőrtónus
🧞	dzsinn
🧞‍♂	dzsinn, férfi dzsinn
🧞‍♀	dzsinn, női dzsinn
🧟	sétáló halott, zombi, élőhalott, élőholt
🧟‍♂	férfi zombi, sétáló halott, élőhalott, élőholt
🧟‍♀	női zombi, sétáló halott, élőhalott, élőholt
💆	arcmasszázs, masszázs
💆🏻	arcmasszázs, arcmasszázs: világos bőrtónus, masszázs, világos bőrtónus
💆🏼	arcmasszázs, arcmasszázs: közepesen világos bőrtónus, közepesen világos bőrtónus, masszázs
💆🏽	arcmasszázs, arcmasszázs: közepes bőrtónus, közepes bőrtónus, masszázs
💆🏾	arcmasszázs, arcmasszázs: közepesen sötét bőrtónus, közepesen sötét bőrtónus, masszázs
💆🏿	arcmasszázs, arcmasszázs: sötét bőrtónus, masszázs, sötét bőrtónus
💆‍♂	arc, férfi, férfi arcmasszázson, masszázs
💆🏻‍♂	arc, férfi, férfi arcmasszázson, férfi arcmasszázson: világos bőrtónus, masszázs, világos bőrtónus
💆🏼‍♂	arc, férfi, férfi arcmasszázson, férfi arcmasszázson: közepesen világos bőrtónus, közepesen világos bőrtónus, masszázs
💆🏽‍♂	arc, férfi, férfi arcmasszázson, férfi arcmasszázson: közepes bőrtónus, közepes bőrtónus, masszázs
💆🏾‍♂	arc, férfi, férfi arcmasszázson, férfi arcmasszázson: közepesen sötét bőrtónus, közepesen sötét bőrtónus, masszázs
💆🏿‍♂	arc, férfi, férfi arcmasszázson, férfi arcmasszázson: sötét bőrtónus, masszázs, sötét bőrtónus
💆‍♀	arc, masszázs, nő, nő arcmasszázson
💆🏻‍♀	arc, masszázs, nő, nő arcmasszázson, nő arcmasszázson: világos bőrtónus, világos bőrtónus
💆🏼‍♀	arc, közepesen világos bőrtónus, masszázs, nő, nő arcmasszázson, nő arcmasszázson: közepesen világos bőrtónus
💆🏽‍♀	arc, közepes bőrtónus, masszázs, nő, nő arcmasszázson, nő arcmasszázson: közepes bőrtónus
💆🏾‍♀	arc, közepesen sötét bőrtónus, masszázs, nő, nő arcmasszázson, nő arcmasszázson: közepesen sötét bőrtónus
💆🏿‍♀	arc, masszázs, nő, nő arcmasszázson, nő arcmasszázson: sötét bőrtónus, sötét bőrtónus
💇	fodrász, fodrászat, hajvágás, szépségápolás
💇🏻	fodrász, fodrászat, hajvágás, hajvágás: világos bőrtónus, szépségápolás, világos bőrtónus
💇🏼	fodrász, fodrászat, hajvágás, hajvágás: közepesen világos bőrtónus, közepesen világos bőrtónus, szépségápolás
💇🏽	fodrász, fodrászat, hajvágás, hajvágás: közepes bőrtónus, közepes bőrtónus, szépségápolás
💇🏾	fodrász, fodrászat, hajvágás, hajvágás: közepesen sötét bőrtónus, közepesen sötét bőrtónus, szépségápolás
💇🏿	fodrász, fodrászat, hajvágás, hajvágás: sötét bőrtónus, szépségápolás, sötét bőrtónus
💇‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, haj, hajvágás
💇🏻‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: világos bőrtónus, haj, hajvágás, világos bőrtónus
💇🏼‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: közepesen világos bőrtónus, haj, hajvágás, közepesen világos bőrtónus
💇🏽‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: közepes bőrtónus, haj, hajvágás, közepes bőrtónus
💇🏾‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: közepesen sötét bőrtónus, haj, hajvágás, közepesen sötét bőrtónus
💇🏿‍♂	fodrász, fodrászat, férfi, férfi fodrásznál, férfi fodrásznál: sötét bőrtónus, haj, hajvágás, sötét bőrtónus
💇‍♀	fodrász, fodrászat, haj, hajvágás, nő, nő fodrásznál
💇🏻‍♀	fodrász, fodrászat, haj, hajvágás, nő, nő fodrásznál, nő fodrásznál: világos bőrtónus, világos bőrtónus
💇🏼‍♀	fodrász, fodrászat, haj, hajvágás, közepesen világos bőrtónus, nő, nő fodrásznál, nő fodrásznál: közepesen világos bőrtónus
💇🏽‍♀	fodrász, fodrászat, haj, hajvágás, közepes bőrtónus, nő, nő fodrásznál, nő fodrásznál: közepes bőrtónus
💇🏾‍♀	fodrász, fodrászat, haj, hajvágás, közepesen sötét bőrtónus, nő, nő fodrásznál, nő fodrásznál: közepesen sötét bőrtónus
💇🏿‍♀	fodrász, fodrászat, haj, hajvágás, nő, nő fodrásznál, nő fodrásznál: sötét bőrtónus, sötét bőrtónus
🚶	gyaloglás, gyalogos, séta
🚶🏻	gyaloglás, gyalogos, gyalogos: világos bőrtónus, séta, világos bőrtónus
🚶🏼	gyaloglás, gyalogos, gyalogos: közepesen világos bőrtónus, közepesen világos bőrtónus, séta
🚶🏽	gyaloglás, gyalogos, gyalogos: közepes bőrtónus, közepes bőrtónus, séta
🚶🏾	gyaloglás, gyalogos, gyalogos: közepesen sötét bőrtónus, közepesen sötét bőrtónus, séta
🚶🏿	gyaloglás, gyalogos, gyalogos: sötét bőrtónus, séta, sötét bőrtónus
🚶‍♂	férfi, séta, sétáló, sétáló férfi, túra
🚶🏻‍♂	férfi, séta, sétáló, sétáló férfi: világos bőrtónus, túra, világos bőrtónus
🚶🏼‍♂	férfi, közepesen világos bőrtónus, séta, sétáló, sétáló férfi: közepesen világos bőrtónus, túra
🚶🏽‍♂	férfi, közepes bőrtónus, séta, sétáló, sétáló férfi: közepes bőrtónus, túra
🚶🏾‍♂	férfi, közepesen sötét bőrtónus, séta, sétáló, sétáló férfi: közepesen sötét bőrtónus, túra
🚶🏿‍♂	férfi, séta, sétáló, sétáló férfi: sötét bőrtónus, sötét bőrtónus, túra
🚶‍♀	nő, séta, sétáló, sétáló nő, túra
🚶🏻‍♀	nő, séta, sétáló, sétáló nő: világos bőrtónus, túra, világos bőrtónus
🚶🏼‍♀	közepesen világos bőrtónus, nő, séta, sétáló, sétáló nő: közepesen világos bőrtónus, túra
🚶🏽‍♀	közepes bőrtónus, nő, séta, sétáló, sétáló nő: közepes bőrtónus, túra
🚶🏾‍♀	közepesen sötét bőrtónus, nő, séta, sétáló, sétáló nő: közepesen sötét bőrtónus, túra
🚶🏿‍♀	nő, séta, sétáló, sétáló nő: sötét bőrtónus, sötét bőrtónus, túra
🧍	áll, álló, álló ember
🧍🏻	világos bőrtónus, áll, álló, álló ember, álló ember: világos bőrtónus
🧍🏼	közepesen világos bőrtónus, áll, álló, álló ember, álló ember: közepesen világos bőrtónus
🧍🏽	közepes bőrtónus, áll, álló, álló ember, álló ember: közepes bőrtónus
🧍🏾	közepesen sötét bőrtónus, áll, álló, álló ember, álló ember: közepesen sötét bőrtónus
🧍🏿	sötét bőrtónus, áll, álló, álló ember, álló ember: sötét bőrtónus
🧍‍♂	férfi, áll, álló férfi
🧍🏻‍♂	férfi, világos bőrtónus, áll, álló férfi, álló férfi: világos bőrtónus
🧍🏼‍♂	férfi, közepesen világos bőrtónus, áll, álló férfi, álló férfi: közepesen világos bőrtónus
🧍🏽‍♂	férfi, közepes bőrtónus, áll, álló férfi, álló férfi: közepes bőrtónus
🧍🏾‍♂	férfi, közepesen sötét bőrtónus, áll, álló férfi, álló férfi: közepesen sötét bőrtónus
🧍🏿‍♂	férfi, sötét bőrtónus, áll, álló férfi, álló férfi: sötét bőrtónus
🧍‍♀	nő, áll, álló nő
🧍🏻‍♀	nő, világos bőrtónus, áll, álló nő, álló nő: világos bőrtónus
🧍🏼‍♀	közepesen világos bőrtónus, nő, áll, álló nő, álló nő: közepesen világos bőrtónus
🧍🏽‍♀	közepes bőrtónus, nő, áll, álló nő, álló nő: közepes bőrtónus
🧍🏾‍♀	közepesen sötét bőrtónus, nő, áll, álló nő, álló nő: közepesen sötét bőrtónus
🧍🏿‍♀	nő, sötét bőrtónus, áll, álló nő, álló nő: sötét bőrtónus
🧎	térdel, térdelő, térdelő ember
🧎🏻	térdel, térdelő, térdelő ember, térdelő ember: világos bőrtónus, világos bőrtónus
🧎🏼	közepesen világos bőrtónus, térdel, térdelő, térdelő ember, térdelő ember: közepesen világos bőrtónus
🧎🏽	közepes bőrtónus, térdel, térdelő, térdelő ember, térdelő ember: közepes bőrtónus
🧎🏾	közepesen sötét bőrtónus, térdel, térdelő, térdelő ember, térdelő ember: közepesen sötét bőrtónus
🧎🏿	sötét bőrtónus, térdel, térdelő, térdelő ember, térdelő ember: sötét bőrtónus
🧎‍♂	férfi, térdel, térdelő férfi
🧎🏻‍♂	férfi, térdel, térdelő férfi, térdelő férfi: világos bőrtónus, világos bőrtónus
🧎🏼‍♂	férfi, közepesen világos bőrtónus, térdel, térdelő férfi, térdelő férfi: közepesen világos bőrtónus
🧎🏽‍♂	férfi, közepes bőrtónus, térdel, térdelő férfi, térdelő férfi: közepes bőrtónus
🧎🏾‍♂	férfi, közepesen sötét bőrtónus, térdel, térdelő férfi, térdelő férfi: közepesen sötét bőrtónus
🧎🏿‍♂	férfi, sötét bőrtónus, térdel, térdelő férfi, térdelő férfi: sötét bőrtónus
🧎‍♀	nő, térdel, térdelő nő
🧎🏻‍♀	nő, térdel, térdelő nő, térdelő nő: világos bőrtónus, világos bőrtónus
🧎🏼‍♀	közepesen világos bőrtónus, nő, térdel, térdelő nő, térdelő nő: közepesen világos bőrtónus
🧎🏽‍♀	közepes bőrtónus, nő, térdel, térdelő nő, térdelő nő: közepes bőrtónus
🧎🏾‍♀	közepesen sötét bőrtónus, nő, térdel, térdelő nő, térdelő nő: közepesen sötét bőrtónus
🧎🏿‍♀	nő, sötét bőrtónus, térdel, térdelő nő, térdelő nő: sötét bőrtónus
👨‍🦯	akadálymentesség, férfi, férfi fehér bottal, vak
👨🏻‍🦯	akadálymentesség, férfi, férfi fehér bottal, férfi fehér bottal: világos bőrtónus, vak, világos bőrtónus
👨🏼‍🦯	akadálymentesség, férfi, férfi fehér bottal, férfi fehér bottal: közepesen világos bőrtónus, közepesen világos bőrtónus, vak
👨🏽‍🦯	akadálymentesség, férfi, férfi fehér bottal, férfi fehér bottal: közepes bőrtónus, közepes bőrtónus, vak
👨🏾‍🦯	akadálymentesség, férfi, férfi fehér bottal, férfi fehér bottal: közepesen sötét bőrtónus, közepesen sötét bőrtónus, vak
👨🏿‍🦯	akadálymentesség, férfi, férfi fehér bottal, férfi fehér bottal: sötét bőrtónus, sötét bőrtónus, vak
👩‍🦯	akadálymentesség, nő, nő fehér bottal, vak
👩🏻‍🦯	akadálymentesség, nő, nő fehér bottal, nő fehér bottal: világos bőrtónus, vak, világos bőrtónus
👩🏼‍🦯	akadálymentesség, közepesen világos bőrtónus, nő, nő fehér bottal, nő fehér bottal: közepesen világos bőrtónus, vak
👩🏽‍🦯	akadálymentesség, közepes bőrtónus, nő, nő fehér bottal, nő fehér bottal: közepes bőrtónus, vak
👩🏾‍🦯	akadálymentesség, közepesen sötét bőrtónus, nő, nő fehér bottal, nő fehér bottal: közepesen sötét bőrtónus, vak
👩🏿‍🦯	akadálymentesség, nő, nő fehér bottal, nő fehér bottal: sötét bőrtónus, sötét bőrtónus, vak
👨‍🦼	akadálymentesség, férfi, férfi motoros kerekesszékben, kerekesszék
👨🏻‍🦼	akadálymentesség, férfi, férfi motoros kerekesszékben, férfi motoros kerekesszékben: világos bőrtónus, kerekesszék, világos bőrtónus
👨🏼‍🦼	akadálymentesség, férfi, férfi motoros kerekesszékben, férfi motoros kerekesszékben: közepesen világos bőrtónus, kerekesszék, közepesen világos bőrtónus
👨🏽‍🦼	akadálymentesség, férfi, férfi motoros kerekesszékben, férfi motoros kerekesszékben: közepes bőrtónus, kerekesszék, közepes bőrtónus
👨🏾‍🦼	akadálymentesség, férfi, férfi motoros kerekesszékben, férfi motoros kerekesszékben: közepesen sötét bőrtónus, kerekesszék, közepesen sötét bőrtónus
👨🏿‍🦼	akadálymentesség, férfi, férfi motoros kerekesszékben, férfi motoros kerekesszékben: sötét bőrtónus, kerekesszék, sötét bőrtónus
👩‍🦼	akadálymentesség, kerekesszék, nő, nő motoros kerekesszékben
👩🏻‍🦼	akadálymentesség, kerekesszék, nő, nő motoros kerekesszékben, nő motoros kerekesszékben: világos bőrtónus, világos bőrtónus
👩🏼‍🦼	akadálymentesség, kerekesszék, közepesen világos bőrtónus, nő, nő motoros kerekesszékben, nő motoros kerekesszékben: közepesen világos bőrtónus
👩🏽‍🦼	akadálymentesség, kerekesszék, közepes bőrtónus, nő, nő motoros kerekesszékben, nő motoros kerekesszékben: közepes bőrtónus
👩🏾‍🦼	akadálymentesség, kerekesszék, közepesen sötét bőrtónus, nő, nő motoros kerekesszékben, nő motoros kerekesszékben: közepesen sötét bőrtónus
👩🏿‍🦼	akadálymentesség, kerekesszék, nő, nő motoros kerekesszékben, nő motoros kerekesszékben: sötét bőrtónus, sötét bőrtónus
👨‍🦽	akadálymentesség, férfi, férfi kézi hajtású kerekesszékben, kerekesszék
👨🏻‍🦽	akadálymentesség, férfi, férfi kézi hajtású kerekesszékben, férfi kézi hajtású kerekesszékben: világos bőrtónus, kerekesszék, világos bőrtónus
👨🏼‍🦽	akadálymentesség, férfi, férfi kézi hajtású kerekesszékben, férfi kézi hajtású kerekesszékben: közepesen világos bőrtónus, kerekesszék, közepesen világos bőrtónus
👨🏽‍🦽	akadálymentesség, férfi, férfi kézi hajtású kerekesszékben, férfi kézi hajtású kerekesszékben: közepes bőrtónus, kerekesszék, közepes bőrtónus
👨🏾‍🦽	akadálymentesség, férfi, férfi kézi hajtású kerekesszékben, férfi kézi hajtású kerekesszékben: közepesen sötét bőrtónus, kerekesszék, közepesen sötét bőrtónus
👨🏿‍🦽	akadálymentesség, férfi, férfi kézi hajtású kerekesszékben, férfi kézi hajtású kerekesszékben: sötét bőrtónus, kerekesszék, sötét bőrtónus
👩‍🦽	akadálymentesség, kerekesszék, nő, nő kézi hajtású kerekesszékben
👩🏻‍🦽	akadálymentesség, kerekesszék, nő, nő kézi hajtású kerekesszékben, nő kézi hajtású kerekesszékben: világos bőrtónus, világos bőrtónus
👩🏼‍🦽	akadálymentesség, kerekesszék, közepesen világos bőrtónus, nő, nő kézi hajtású kerekesszékben, nő kézi hajtású kerekesszékben: közepesen világos bőrtónus
👩🏽‍🦽	akadálymentesség, kerekesszék, közepes bőrtónus, nő, nő kézi hajtású kerekesszékben, nő kézi hajtású kerekesszékben: közepes bőrtónus
👩🏾‍🦽	akadálymentesség, kerekesszék, közepesen sötét bőrtónus, nő, nő kézi hajtású kerekesszékben, nő kézi hajtású kerekesszékben: közepesen sötét bőrtónus
👩🏿‍🦽	akadálymentesség, kerekesszék, nő, nő kézi hajtású kerekesszékben, nő kézi hajtású kerekesszékben: sötét bőrtónus, sötét bőrtónus
🏃	futás, futó, maraton
🏃🏻	futás, futó, futó: világos bőrtónus, maraton, világos bőrtónus
🏃🏼	futás, futó, futó: közepesen világos bőrtónus, közepesen világos bőrtónus, maraton
🏃🏽	futás, futó, futó: közepes bőrtónus, közepes bőrtónus, maraton
🏃🏾	futás, futó, futó: közepesen sötét bőrtónus, közepesen sötét bőrtónus, maraton
🏃🏿	futás, futó, futó: sötét bőrtónus, maraton, sötét bőrtónus
🏃‍♂	fut, futás, futó férfi, férfi, maraton, verseny
🏃🏻‍♂	fut, futás, futó férfi, futó férfi: világos bőrtónus, férfi, maraton, verseny, világos bőrtónus
🏃🏼‍♂	fut, futás, futó férfi, futó férfi: közepesen világos bőrtónus, férfi, közepesen világos bőrtónus, maraton, verseny
🏃🏽‍♂	fut, futás, futó férfi, futó férfi: közepes bőrtónus, férfi, közepes bőrtónus, maraton, verseny
🏃🏾‍♂	fut, futás, futó férfi, futó férfi: közepesen sötét bőrtónus, férfi, közepesen sötét bőrtónus, maraton, verseny
🏃🏿‍♂	fut, futás, futó férfi, futó férfi: sötét bőrtónus, férfi, maraton, sötét bőrtónus, verseny
🏃‍♀	fut, futás, futó nő, maraton, nő, verseny
🏃🏻‍♀	fut, futás, futó nő, futó nő: világos bőrtónus, maraton, nő, verseny, világos bőrtónus
🏃🏼‍♀	fut, futás, futó nő, futó nő: közepesen világos bőrtónus, közepesen világos bőrtónus, maraton, nő, verseny
🏃🏽‍♀	fut, futás, futó nő, futó nő: közepes bőrtónus, közepes bőrtónus, maraton, nő, verseny
🏃🏾‍♀	fut, futás, futó nő, futó nő: közepesen sötét bőrtónus, közepesen sötét bőrtónus, maraton, nő, verseny
🏃🏿‍♀	fut, futás, futó nő, futó nő: sötét bőrtónus, maraton, nő, sötét bőrtónus, verseny
💃	nő, tánc, táncoló, táncoló nő
💃🏻	nő, tánc, táncoló, táncoló nő: világos bőrtónus, világos bőrtónus
💃🏼	közepesen világos bőrtónus, nő, tánc, táncoló, táncoló nő: közepesen világos bőrtónus
💃🏽	közepes bőrtónus, nő, tánc, táncoló, táncoló nő: közepes bőrtónus
💃🏾	közepesen sötét bőrtónus, nő, tánc, táncoló, táncoló nő: közepesen sötét bőrtónus
💃🏿	nő, sötét bőrtónus, tánc, táncoló, táncoló nő: sötét bőrtónus
🕺	férfi, tánc, táncoló férfi
🕺🏻	férfi, tánc, táncoló férfi, táncoló férfi: világos bőrtónus, világos bőrtónus
🕺🏼	férfi, közepesen világos bőrtónus, tánc, táncoló férfi, táncoló férfi: közepesen világos bőrtónus
🕺🏽	férfi, közepes bőrtónus, tánc, táncoló férfi, táncoló férfi: közepes bőrtónus
🕺🏾	férfi, közepesen sötét bőrtónus, tánc, táncoló férfi, táncoló férfi: közepesen sötét bőrtónus
🕺🏿	férfi, sötét bőrtónus, tánc, táncoló férfi, táncoló férfi: sötét bőrtónus
🕴️	öltöny, öltönyös, lebegő ember, üzletember
🕴🏻	világos bőrtónus, öltöny, öltönyös, lebegő ember, öltönyös, lebegő ember: világos bőrtónus, üzletember
🕴🏼	közepesen világos bőrtónus, öltöny, öltönyös, lebegő ember, öltönyös, lebegő ember: közepesen világos bőrtónus, üzletember
🕴🏽	közepes bőrtónus, öltöny, öltönyös, lebegő ember, öltönyös, lebegő ember: közepes bőrtónus, üzletember
🕴🏾	közepesen sötét bőrtónus, öltöny, öltönyös, lebegő ember, öltönyös, lebegő ember: közepesen sötét bőrtónus, üzletember
🕴🏿	sötét bőrtónus, öltöny, öltönyös, lebegő ember, öltönyös, lebegő ember: sötét bőrtónus, üzletember
👯	buli, bulizó emberek, lányok, nyuszi, nyuszifül, nő, parti
👯‍♂	buil, bulizó férfiak, férfi, férfiak, nyuszifül, parti, táncos
👯‍♀	buil, bulizó nők, nyuszifül, nő, nők, parti, táncos
🧖	ember a gőzfürdőben, gőzfürdő, szauna
🧖🏻	ember a gőzfürdőben, ember a gőzfürdőben: világos bőrtónus, gőzfürdő, szauna, világos bőrtónus
🧖🏼	ember a gőzfürdőben, ember a gőzfürdőben: közepesen világos bőrtónus, gőzfürdő, közepesen világos bőrtónus, szauna
🧖🏽	ember a gőzfürdőben, ember a gőzfürdőben: közepes bőrtónus, gőzfürdő, közepes bőrtónus, szauna
🧖🏾	ember a gőzfürdőben, ember a gőzfürdőben: közepesen sötét bőrtónus, gőzfürdő, közepesen sötét bőrtónus, szauna
🧖🏿	ember a gőzfürdőben, ember a gőzfürdőben: sötét bőrtónus, gőzfürdő, szauna, sötét bőrtónus
🧖‍♂	férfi a gőzfürdőben, gőzfürdő, szauna
🧖🏻‍♂	férfi a gőzfürdőben, férfi a gőzfürdőben: világos bőrtónus, gőzfürdő, szauna, világos bőrtónus
🧖🏼‍♂	férfi a gőzfürdőben, férfi a gőzfürdőben: közepesen világos bőrtónus, gőzfürdő, közepesen világos bőrtónus, szauna
🧖🏽‍♂	férfi a gőzfürdőben, férfi a gőzfürdőben: közepes bőrtónus, gőzfürdő, közepes bőrtónus, szauna
🧖🏾‍♂	férfi a gőzfürdőben, férfi a gőzfürdőben: közepesen sötét bőrtónus, gőzfürdő, közepesen sötét bőrtónus, szauna
🧖🏿‍♂	férfi a gőzfürdőben, férfi a gőzfürdőben: sötét bőrtónus, gőzfürdő, szauna, sötét bőrtónus
🧖‍♀	gőzfürdő, nő a gőzfürdőben, szauna
🧖🏻‍♀	gőzfürdő, nő a gőzfürdőben, nő a gőzfürdőben: világos bőrtónus, szauna, világos bőrtónus
🧖🏼‍♀	gőzfürdő, közepesen világos bőrtónus, nő a gőzfürdőben, nő a gőzfürdőben: közepesen világos bőrtónus, szauna
🧖🏽‍♀	gőzfürdő, közepes bőrtónus, nő a gőzfürdőben, nő a gőzfürdőben: közepes bőrtónus, szauna
🧖🏾‍♀	gőzfürdő, közepesen sötét bőrtónus, nő a gőzfürdőben, nő a gőzfürdőben: közepesen sötét bőrtónus, szauna
🧖🏿‍♀	gőzfürdő, nő a gőzfürdőben, nő a gőzfürdőben: sötét bőrtónus, szauna, sötét bőrtónus
🧗	mászó, mászó ember
🧗🏻	mászó, mászó ember, mászó ember: világos bőrtónus, világos bőrtónus
🧗🏼	közepesen világos bőrtónus, mászó, mászó ember, mászó ember: közepesen világos bőrtónus
🧗🏽	közepes bőrtónus, mászó, mászó ember, mászó ember: közepes bőrtónus
🧗🏾	közepesen sötét bőrtónus, mászó, mászó ember, mászó ember: közepesen sötét bőrtónus
🧗🏿	mászó, mászó ember, mászó ember: sötét bőrtónus, sötét bőrtónus
🧗‍♂	mászó, mászó férfi
🧗🏻‍♂	mászó, mászó férfi, mászó férfi: világos bőrtónus, világos bőrtónus
🧗🏼‍♂	közepesen világos bőrtónus, mászó, mászó férfi, mászó férfi: közepesen világos bőrtónus
🧗🏽‍♂	közepes bőrtónus, mászó, mászó férfi, mászó férfi: közepes bőrtónus
🧗🏾‍♂	közepesen sötét bőrtónus, mászó, mászó férfi, mászó férfi: közepesen sötét bőrtónus
🧗🏿‍♂	mászó, mászó férfi, mászó férfi: sötét bőrtónus, sötét bőrtónus
🧗‍♀	mászó, mászó nő
🧗🏻‍♀	mászó, mászó nő, mászó nő: világos bőrtónus, világos bőrtónus
🧗🏼‍♀	közepesen világos bőrtónus, mászó, mászó nő, mászó nő: közepesen világos bőrtónus
🧗🏽‍♀	közepes bőrtónus, mászó, mászó nő, mászó nő: közepes bőrtónus
🧗🏾‍♀	közepesen sötét bőrtónus, mászó, mászó nő, mászó nő: közepesen sötét bőrtónus
🧗🏿‍♀	mászó, mászó nő, mászó nő: sötét bőrtónus, sötét bőrtónus
🤺	kard, sport, sportoló, vív, vívás, vívó
🏇	ló, lóverseny, versenyló, zsoké
🏇🏻	ló, lóverseny, lóverseny: világos bőrtónus, versenyló, világos bőrtónus, zsoké
🏇🏼	közepesen világos bőrtónus, ló, lóverseny, lóverseny: közepesen világos bőrtónus, versenyló, zsoké
🏇🏽	közepes bőrtónus, ló, lóverseny, lóverseny: közepes bőrtónus, versenyló, zsoké
🏇🏾	közepesen sötét bőrtónus, ló, lóverseny, lóverseny: közepesen sötét bőrtónus, versenyló, zsoké
🏇🏿	ló, lóverseny, lóverseny: sötét bőrtónus, sötét bőrtónus, versenyló, zsoké
⛷️	hó, síelés, síelő, téli sportok
🏂️	hó, hódeszka, snowboard, snowboardozó, téli sportok
🏂🏻	hó, hódeszka, snowboard, snowboardozó, snowboardozó: világos bőrtónus, téli sportok, világos bőrtónus
🏂🏼	hó, hódeszka, közepesen világos bőrtónus, snowboard, snowboardozó, snowboardozó: közepesen világos bőrtónus, téli sportok
🏂🏽	hó, hódeszka, közepes bőrtónus, snowboard, snowboardozó, snowboardozó: közepes bőrtónus, téli sportok
🏂🏾	hó, hódeszka, közepesen sötét bőrtónus, snowboard, snowboardozó, snowboardozó: közepesen sötét bőrtónus, téli sportok
🏂🏿	hó, hódeszka, snowboard, snowboardozó, snowboardozó: sötét bőrtónus, sötét bőrtónus, téli sportok
