😀	sourire, visage rieur
🧔🏾	barbe, homme barbu, homme barbu : peau mate, peau mate, personne barbue
🧔🏿	barbe, homme barbu, homme barbu : peau foncée, peau foncée, personne barbue
👱‍♂	blond, cheveux, homme blond
👱🏻‍♂	blond, cheveux, homme blond, homme blond : peau claire, peau claire
👱🏼‍♂	blond, cheveux, homme blond, homme blond : peau moyennement claire, peau moyennement claire
👱🏽‍♂	blond, cheveux, homme blond, homme blond : peau légèrement mate, peau légèrement mate
👱🏾‍♂	blond, cheveux, homme blond, homme blond : peau mate, peau mate
👱🏿‍♂	blond, cheveux, homme blond, homme blond : peau foncée, peau foncée
👨‍🦰	cheveux roux, homme, homme : cheveux roux
👨🏻‍🦰	cheveux roux, homme, homme : peau claire et cheveux roux, peau claire
👨🏼‍🦰	cheveux roux, homme, homme : peau moyennement claire et cheveux roux, peau moyennement claire
👨🏽‍🦰	cheveux roux, homme, homme : peau légèrement mate et cheveux roux, peau légèrement mate
👨🏾‍🦰	cheveux roux, homme, homme : peau mate et cheveux roux, peau mate
👨🏿‍🦰	cheveux roux, homme, homme : peau foncée et cheveux roux, peau foncée
👨‍🦱	cheveux bouclés, homme, homme : cheveux bouclés
👨🏻‍🦱	cheveux bouclés, homme, homme : peau claire et cheveux bouclés, peau claire
👨🏼‍🦱	cheveux bouclés, homme, homme : peau moyennement claire et cheveux bouclés, peau moyennement claire
👨🏽‍🦱	cheveux bouclés, homme, homme : peau légèrement mate et cheveux bouclés, peau légèrement mate
👨🏾‍🦱	cheveux bouclés, homme, homme : peau mate et cheveux bouclés, peau mate
👨🏿‍🦱	cheveux bouclés, homme, homme : peau foncée et cheveux bouclés, peau foncée
👨‍🦳	cheveux blancs, homme, homme : cheveux blancs
👨🏻‍🦳	cheveux blancs, homme, homme : peau claire et cheveux blancs, peau claire
👨🏼‍🦳	cheveux blancs, homme, homme : peau moyennement claire et cheveux blancs, peau moyennement claire
👨🏽‍🦳	cheveux blancs, homme, homme : peau légèrement mate et cheveux blancs, peau légèrement mate
👨🏾‍🦳	cheveux blancs, homme, homme : peau mate et cheveux blancs, peau mate
👨🏿‍🦳	cheveux blancs, homme, homme : peau foncée et cheveux blancs, peau foncée
👨‍🦲	chauve, homme, homme : chauve
👨🏻‍🦲	chauve, homme, homme : peau claire et chauve, peau claire
👨🏼‍🦲	chauve, homme, homme : peau moyennement claire et chauve, peau moyennement claire
👨🏽‍🦲	chauve, homme, homme : peau légèrement mate et chauve, peau légèrement mate
👨🏾‍🦲	chauve, homme, homme : peau mate et chauve, peau mate
👨🏿‍🦲	chauve, homme, homme : peau foncée et chauve, peau foncée
👩	femme
👩🏻	femme, femme : peau claire, peau claire
👩🏼	femme, femme : peau moyennement claire, peau moyennement claire
👩🏽	femme, femme : peau légèrement mate, peau légèrement mate
👩🏾	femme, femme : peau mate, peau mate
👩🏿	femme, femme : peau foncée, peau foncée
👱‍♀	blonde, cheveux, femme blonde
👱🏻‍♀	blonde, cheveux, femme blonde, femme blonde : peau claire, peau claire
👱🏼‍♀	blonde, cheveux, femme blonde, femme blonde : peau moyennement claire, peau moyennement claire
👱🏽‍♀	blonde, cheveux, femme blonde, femme blonde : peau légèrement mate, peau légèrement mate
👱🏾‍♀	blonde, cheveux, femme blonde, femme blonde : peau mate, peau mate
👱🏿‍♀	blonde, cheveux, femme blonde, femme blonde : peau foncée, peau foncée
👩‍🦰	cheveux roux, femme, femme : cheveux roux
👩🏻‍🦰	cheveux roux, femme, femme : peau claire et cheveux roux, peau claire
👩🏼‍🦰	cheveux roux, femme, femme : peau moyennement claire et cheveux roux, peau moyennement claire
👩🏽‍🦰	cheveux roux, femme, femme : peau légèrement mate et cheveux roux, peau légèrement mate
👩🏾‍🦰	cheveux roux, femme, femme : peau mate et cheveux roux, peau mate
👩🏿‍🦰	cheveux roux, femme, femme : peau foncée et cheveux roux, peau foncée
👩‍🦱	cheveux bouclés, femme, femme : cheveux bouclés
👩🏻‍🦱	cheveux bouclés, femme, femme : peau claire et cheveux bouclés, peau claire
👩🏼‍🦱	cheveux bouclés, femme, femme : peau moyennement claire et cheveux bouclés, peau moyennement claire
👩🏽‍🦱	cheveux bouclés, femme, femme : peau légèrement mate et cheveux bouclés, peau légèrement mate
👩🏾‍🦱	cheveux bouclés, femme, femme : peau mate et cheveux bouclés, peau mate
👩🏿‍🦱	cheveux bouclés, femme, femme : peau foncée et cheveux bouclés, peau foncée
👩‍🦳	cheveux blancs, femme, femme : cheveux blancs
👩🏻‍🦳	cheveux blancs, femme, femme : peau claire et cheveux blancs, peau claire
👩🏼‍🦳	cheveux blancs, femme, femme : peau moyennement claire et cheveux blancs, peau moyennement claire
👩🏽‍🦳	cheveux blancs, femme, femme : peau légèrement mate et cheveux blancs, peau légèrement mate
👩🏾‍🦳	cheveux blancs, femme, femme : peau mate et cheveux blancs, peau mate
👩🏿‍🦳	cheveux blancs, femme, femme : peau foncée et cheveux blancs, peau foncée
👩‍🦲	chauve, femme, femme : chauve
👩🏻‍🦲	chauve, femme, femme : peau claire et chauve, peau claire
👩🏼‍🦲	chauve, femme, femme : peau moyennement claire et chauve, peau moyennement claire
👩🏽‍🦲	chauve, femme, femme : peau légèrement mate et chauve, peau légèrement mate
👩🏾‍🦲	chauve, femme, femme : peau mate et chauve, peau mate
👩🏿‍🦲	chauve, femme, femme : peau foncée et chauve, peau foncée
🧓	adulte, genre neutre, personne âgée, âgé
🧓🏻	adulte, genre neutre, peau claire, personne âgée, personne âgée : peau claire, âgé
🧓🏼	adulte, genre neutre, peau moyennement claire, personne âgée, personne âgée : peau moyennement claire, âgé
🧓🏽	adulte, genre neutre, peau légèrement mate, personne âgée, personne âgée : peau légèrement mate, âgé
🧓🏾	adulte, genre neutre, peau mate, personne âgée, personne âgée : peau mate, âgé
🧓🏿	adulte, genre neutre, peau foncée, personne âgée, personne âgée : peau foncée, âgé
👴	homme, homme âgé, âgé
👴🏻	homme, homme âgé : peau claire, peau claire, âgé
👴🏼	homme, homme âgé : peau moyennement claire, peau moyennement claire, âgé
👴🏽	homme, homme âgé : peau légèrement mate, peau légèrement mate, âgé
👴🏾	homme, homme âgé : peau mate, peau mate, âgé
👴🏿	homme, homme âgé : peau foncée, peau foncée, âgé
👵	femme, femme âgée, âgée
👵🏻	femme, femme âgée : peau claire, peau claire, âgée
👵🏼	femme, femme âgée : peau moyennement claire, peau moyennement claire, âgée
👵🏽	femme, femme âgée : peau légèrement mate, peau légèrement mate, âgée
👵🏾	femme, femme âgée : peau mate, peau mate, âgée
👵🏿	femme, femme âgée : peau foncée, peau foncée, âgée
🙍	froncer, personne fronçant les sourcils, sourcils
🙍🏻	froncer, peau claire, personne fronçant les sourcils, personne fronçant les sourcils : peau claire, sourcils
🙍🏼	froncer, peau moyennement claire, personne fronçant les sourcils, personne fronçant les sourcils : peau moyennement claire, sourcils
🙍🏽	froncer, peau légèrement mate, personne fronçant les sourcils, personne fronçant les sourcils : peau légèrement mate, sourcils
🙍🏾	froncer, peau mate, personne fronçant les sourcils, personne fronçant les sourcils : peau mate, sourcils
🙍🏿	froncer, peau foncée, personne fronçant les sourcils, personne fronçant les sourcils : peau foncée, sourcils
🙍‍♂	froncement, geste, homme, homme fronçant les sourcils
🙍🏻‍♂	froncement, geste, homme, homme fronçant les sourcils, homme fronçant les sourcils : peau claire, peau claire
🙍🏼‍♂	froncement, geste, homme, homme fronçant les sourcils, homme fronçant les sourcils : peau moyennement claire, peau moyennement claire
🙍🏽‍♂	froncement, geste, homme, homme fronçant les sourcils, homme fronçant les sourcils : peau légèrement mate, peau légèrement mate
🙍🏾‍♂	froncement, geste, homme, homme fronçant les sourcils, homme fronçant les sourcils : peau mate, peau mate
🙍🏿‍♂	froncement, geste, homme, homme fronçant les sourcils, homme fronçant les sourcils : peau foncée, peau foncée
🙍‍♀	femme, femme fronçant les sourcils, froncement, geste
🙍🏻‍♀	femme, femme fronçant les sourcils, femme fronçant les sourcils : peau claire, froncement, geste, peau claire
🙍🏼‍♀	femme, femme fronçant les sourcils, femme fronçant les sourcils : peau moyennement claire, froncement, geste, peau moyennement claire
🙍🏽‍♀	femme, femme fronçant les sourcils, femme fronçant les sourcils : peau légèrement mate, froncement, geste, peau légèrement mate
🙍🏾‍♀	femme, femme fronçant les sourcils, femme fronçant les sourcils : peau mate, froncement, geste, peau mate
🙍🏿‍♀	femme, femme fronçant les sourcils, femme fronçant les sourcils : peau foncée, froncement, geste, peau foncée
🙎	bouder, geste, moue, personne qui boude
🙎🏻	bouder, geste, moue, peau claire, personne qui boude, personne qui boude : peau claire
🙎🏼	bouder, geste, moue, peau moyennement claire, personne qui boude, personne qui boude : peau moyennement claire
🙎🏽	bouder, geste, moue, peau légèrement mate, personne qui boude, personne qui boude : peau légèrement mate
🙎🏾	bouder, geste, moue, peau mate, personne qui boude, personne qui boude : peau mate
🙎🏿	bouder, geste, moue, peau foncée, personne qui boude, personne qui boude : peau foncée
🙎‍♂	boude, geste, homme, homme qui boude
🙎🏻‍♂	boude, geste, homme, homme qui boude, homme qui boude : peau claire, peau claire
🙎🏼‍♂	boude, geste, homme, homme qui boude, homme qui boude : peau moyennement claire, peau moyennement claire
🙎🏽‍♂	boude, geste, homme, homme qui boude, homme qui boude : peau légèrement mate, peau légèrement mate
🙎🏾‍♂	boude, geste, homme, homme qui boude, homme qui boude : peau mate, peau mate
🙎🏿‍♂	boude, geste, homme, homme qui boude, homme qui boude : peau foncée, peau foncée
🙎‍♀	boude, femme, femme qui boude, geste
🙎🏻‍♀	boude, femme, femme qui boude, femme qui boude : peau claire, geste, peau claire
🙎🏼‍♀	boude, femme, femme qui boude, femme qui boude : peau moyennement claire, geste, peau moyennement claire
🙎🏽‍♀	boude, femme, femme qui boude, femme qui boude : peau légèrement mate, geste, peau légèrement mate
🙎🏾‍♀	boude, femme, femme qui boude, femme qui boude : peau mate, geste, peau mate
🙎🏿‍♀	boude, femme, femme qui boude, femme qui boude : peau foncée, geste, peau foncée
🙅	geste, interdit, main, personne faisant un geste d’interdiction
🙅🏻	geste, interdit, main, peau claire, personne faisant un geste d’interdiction, personne faisant un geste d’interdiction : peau claire
🙅🏼	geste, interdit, main, peau moyennement claire, personne faisant un geste d’interdiction, personne faisant un geste d’interdiction : peau moyennement claire
🙅🏽	geste, interdit, main, peau légèrement mate, personne faisant un geste d’interdiction, personne faisant un geste d’interdiction : peau légèrement mate
🙅🏾	geste, interdit, main, peau mate, personne faisant un geste d’interdiction, personne faisant un geste d’interdiction : peau mate
🙅🏿	geste, interdit, main, peau foncée, personne faisant un geste d’interdiction, personne faisant un geste d’interdiction : peau foncée
🙅‍♂	geste, homme, homme faisant un geste d’interdiction, interdit, main
🙅🏻‍♂	geste, homme, homme faisant un geste d’interdiction, homme faisant un geste d’interdiction : peau claire, interdit, main, peau claire
🙅🏼‍♂	geste, homme, homme faisant un geste d’interdiction, homme faisant un geste d’interdiction : peau moyennement claire, interdit, main, peau moyennement claire
🙅🏽‍♂	geste, homme, homme faisant un geste d’interdiction, homme faisant un geste d’interdiction : peau légèrement mate, interdit, main, peau légèrement mate
