😀	face, grin, grinning face
👱🏾‍♂	blond, blond-haired man, hair, man, man: blond hair, man: medium-dark skin tone, blond hair, medium-dark skin tone
👱🏿‍♂	blond, blond-haired man, dark skin tone, hair, man, man: blond hair, man: dark skin tone, blond hair
👨‍🦰	adult, man, man: red hair, red hair
👨🏻‍🦰	adult, light skin tone, man, man: light skin tone, red hair, red hair
👨🏼‍🦰	adult, man, man: medium-light skin tone, red hair, medium-light skin tone, red hair
👨🏽‍🦰	adult, man, man: medium skin tone, red hair, medium skin tone, red hair
👨🏾‍🦰	adult, man, man: medium-dark skin tone, red hair, medium-dark skin tone, red hair
👨🏿‍🦰	adult, dark skin tone, man, man: dark skin tone, red hair, red hair
👨‍🦱	adult, curly hair, man, man: curly hair
👨🏻‍🦱	adult, curly hair, light skin tone, man, man: light skin tone, curly hair
👨🏼‍🦱	adult, curly hair, man, man: medium-light skin tone, curly hair, medium-light skin tone
👨🏽‍🦱	adult, curly hair, man, man: medium skin tone, curly hair, medium skin tone
👨🏾‍🦱	adult, curly hair, man, man: medium-dark skin tone, curly hair, medium-dark skin tone
👨🏿‍🦱	adult, curly hair, dark skin tone, man, man: dark skin tone, curly hair
👨‍🦳	adult, man, man: white hair, white hair
👨🏻‍🦳	adult, light skin tone, man, man: light skin tone, white hair, white hair
👨🏼‍🦳	adult, man, man: medium-light skin tone, white hair, medium-light skin tone, white hair
👨🏽‍🦳	adult, man, man: medium skin tone, white hair, medium skin tone, white hair
👨🏾‍🦳	adult, man, man: medium-dark skin tone, white hair, medium-dark skin tone, white hair
👨🏿‍🦳	adult, dark skin tone, man, man: dark skin tone, white hair, white hair
👨‍🦲	adult, bald, man, man: bald
👨🏻‍🦲	adult, bald, light skin tone, man, man: light skin tone, bald
👨🏼‍🦲	adult, bald, man, man: medium-light skin tone, bald, medium-light skin tone
👨🏽‍🦲	adult, bald, man, man: medium skin tone, bald, medium skin tone
👨🏾‍🦲	adult, bald, man, man: medium-dark skin tone, bald, medium-dark skin tone
👨🏿‍🦲	adult, bald, dark skin tone, man, man: dark skin tone, bald
👩	adult, woman
👩🏻	adult, light skin tone, woman, woman: light skin tone
👩🏼	adult, medium-light skin tone, woman, woman: medium-light skin tone
👩🏽	adult, medium skin tone, woman, woman: medium skin tone
👩🏾	adult, medium-dark skin tone, woman, woman: medium-dark skin tone
👩🏿	adult, dark skin tone, woman, woman: dark skin tone
👱‍♀	blond-haired woman, blonde, hair, woman, woman: blond hair
👱🏻‍♀	blond hair, blond-haired woman, blonde, hair, light skin tone, woman, woman: blond hair, woman: light skin tone, blond hair
👱🏼‍♀	blond hair, blond-haired woman, blonde, hair, medium-light skin tone, woman, woman: blond hair, woman: medium-light skin tone, blond hair
👱🏽‍♀	blond hair, blond-haired woman, blonde, hair, medium skin tone, woman, woman: blond hair, woman: medium skin tone, blond hair
👱🏾‍♀	blond hair, blond-haired woman, blonde, hair, medium-dark skin tone, woman, woman: blond hair, woman: medium-dark skin tone, blond hair
👱🏿‍♀	blond hair, blond-haired woman, blonde, dark skin tone, hair, woman, woman: blond hair, woman: dark skin tone, blond hair
👩‍🦰	adult, red hair, woman, woman: red hair
👩🏻‍🦰	adult, light skin tone, red hair, woman, woman: light skin tone, red hair
👩🏼‍🦰	adult, medium-light skin tone, red hair, woman, woman: medium-light skin tone, red hair
👩🏽‍🦰	adult, medium skin tone, red hair, woman, woman: medium skin tone, red hair
👩🏾‍🦰	adult, medium-dark skin tone, red hair, woman, woman: medium-dark skin tone, red hair
👩🏿‍🦰	adult, dark skin tone, red hair, woman, woman: dark skin tone, red hair
👩‍🦱	adult, curly hair, woman, woman: curly hair
👩🏻‍🦱	adult, curly hair, light skin tone, woman, woman: light skin tone, curly hair
👩🏼‍🦱	adult, curly hair, medium-light skin tone, woman, woman: medium-light skin tone, curly hair
👩🏽‍🦱	adult, curly hair, medium skin tone, woman, woman: medium skin tone, curly hair
👩🏾‍🦱	adult, curly hair, medium-dark skin tone, woman, woman: medium-dark skin tone, curly hair
👩🏿‍🦱	adult, curly hair, dark skin tone, woman, woman: dark skin tone, curly hair
👩‍🦳	adult, white hair, woman, woman: white hair
👩🏻‍🦳	adult, light skin tone, white hair, woman, woman: light skin tone, white hair
👩🏼‍🦳	adult, medium-light skin tone, white hair, woman, woman: medium-light skin tone, white hair
👩🏽‍🦳	adult, medium skin tone, white hair, woman, woman: medium skin tone, white hair
👩🏾‍🦳	adult, medium-dark skin tone, white hair, woman, woman: medium-dark skin tone, white hair
👩🏿‍🦳	adult, dark skin tone, white hair, woman, woman: dark skin tone, white hair
👩‍🦲	adult, bald, woman, woman: bald
👩🏻‍🦲	adult, bald, light skin tone, woman, woman: light skin tone, bald
👩🏼‍🦲	adult, bald, medium-light skin tone, woman, woman: medium-light skin tone, bald
👩🏽‍🦲	adult, bald, medium skin tone, woman, woman: medium skin tone, bald
👩🏾‍🦲	adult, bald, medium-dark skin tone, woman, woman: medium-dark skin tone, bald
👩🏿‍🦲	adult, bald, dark skin tone, woman, woman: dark skin tone, bald
🧓	adult, gender-neutral, old, older person, unspecified gender
🧓🏻	adult, gender-neutral, light skin tone, old, older person, older person: light skin tone, unspecified gender
🧓🏼	adult, gender-neutral, medium-light skin tone, old, older person, older person: medium-light skin tone, unspecified gender
🧓🏽	adult, gender-neutral, medium skin tone, old, older person, older person: medium skin tone, unspecified gender
🧓🏾	adult, gender-neutral, medium-dark skin tone, old, older person, older person: medium-dark skin tone, unspecified gender
🧓🏿	adult, dark skin tone, gender-neutral, old, older person, older person: dark skin tone, unspecified gender
👴	adult, man, old, old man
👴🏻	adult, light skin tone, man, old, old man: light skin tone
👴🏼	adult, man, medium-light skin tone, old, old man: medium-light skin tone
👴🏽	adult, man, medium skin tone, old, old man: medium skin tone
👴🏾	adult, man, medium-dark skin tone, old, old man: medium-dark skin tone
👴🏿	adult, dark skin tone, man, old, old man: dark skin tone
👵	adult, old, old woman, woman
👵🏻	adult, light skin tone, old, old woman: light skin tone, woman
👵🏼	adult, medium-light skin tone, old, old woman: medium-light skin tone, woman
👵🏽	adult, medium skin tone, old, old woman: medium skin tone, woman
👵🏾	adult, medium-dark skin tone, old, old woman: medium-dark skin tone, woman
👵🏿	adult, dark skin tone, old, old woman: dark skin tone, woman
🙍	frown, gesture, person frowning
🙍🏻	frown, gesture, light skin tone, person frowning, person frowning: light skin tone
🙍🏼	frown, gesture, medium-light skin tone, person frowning, person frowning: medium-light skin tone
🙍🏽	frown, gesture, medium skin tone, person frowning, person frowning: medium skin tone
🙍🏾	frown, gesture, medium-dark skin tone, person frowning, person frowning: medium-dark skin tone
🙍🏿	dark skin tone, frown, gesture, person frowning, person frowning: dark skin tone
🙍‍♂	frowning, gesture, man, man frowning
🙍🏻‍♂	frowning, gesture, light skin tone, man, man frowning: light skin tone
🙍🏼‍♂	frowning, gesture, man, man frowning: medium-light skin tone, medium-light skin tone
🙍🏽‍♂	frowning, gesture, man, man frowning: medium skin tone, medium skin tone
🙍🏾‍♂	frowning, gesture, man, man frowning: medium-dark skin tone, medium-dark skin tone
🙍🏿‍♂	dark skin tone, frowning, gesture, man, man frowning: dark skin tone
🙍‍♀	frowning, gesture, woman, woman frowning
🙍🏻‍♀	frowning, gesture, light skin tone, woman, woman frowning: light skin tone
🙍🏼‍♀	frowning, gesture, medium-light skin tone, woman, woman frowning: medium-light skin tone
🙍🏽‍♀	frowning, gesture, medium skin tone, woman, woman frowning: medium skin tone
🙍🏾‍♀	frowning, gesture, medium-dark skin tone, woman, woman frowning: medium-dark skin tone
🙍🏿‍♀	dark skin tone, frowning, gesture, woman, woman frowning: dark skin tone
🙎	gesture, person pouting, pouting
🙎🏻	gesture, light skin tone, person pouting, person pouting: light skin tone, pouting
🙎🏼	gesture, medium-light skin tone, person pouting, person pouting: medium-light skin tone, pouting
🙎🏽	gesture, medium skin tone, person pouting, person pouting: medium skin tone, pouting
🙎🏾	gesture, medium-dark skin tone, person pouting, person pouting: medium-dark skin tone, pouting
🙎🏿	dark skin tone, gesture, person pouting, person pouting: dark skin tone, pouting
🙎‍♂	gesture, man, man pouting, pouting
🙎🏻‍♂	gesture, light skin tone, man, man pouting: light skin tone, pouting
🙎🏼‍♂	gesture, man, man pouting: medium-light skin tone, medium-light skin tone, pouting
🙎🏽‍♂	gesture, man, man pouting: medium skin tone, medium skin tone, pouting
🙎🏾‍♂	gesture, man, man pouting: medium-dark skin tone, medium-dark skin tone, pouting
🙎🏿‍♂	dark skin tone, gesture, man, man pouting: dark skin tone, pouting
🙎‍♀	gesture, pouting, woman, woman pouting
🙎🏻‍♀	gesture, light skin tone, pouting, woman, woman pouting: light skin tone
🙎🏼‍♀	gesture, medium-light skin tone, pouting, woman, woman pouting: medium-light skin tone
🙎🏽‍♀	gesture, medium skin tone, pouting, woman, woman pouting: medium skin tone
🙎🏾‍♀	gesture, medium-dark skin tone, pouting, woman, woman pouting: medium-dark skin tone
🙎🏿‍♀	dark skin tone, gesture, pouting, woman, woman pouting: dark skin tone
🙅	forbidden, gesture, hand, person gesturing NO, prohibited
🙅🏻	forbidden, gesture, hand, light skin tone, person gesturing NO, person gesturing NO: light skin tone, prohibited
🙅🏼	forbidden, gesture, hand, medium-light skin tone, person gesturing NO, person gesturing NO: medium-light skin tone, prohibited
🙅🏽	forbidden, gesture, hand, medium skin tone, person gesturing NO, person gesturing NO: medium skin tone, prohibited
🙅🏾	forbidden, gesture, hand, medium-dark skin tone, person gesturing NO, person gesturing NO: medium-dark skin tone, prohibited
🙅🏿	dark skin tone, forbidden, gesture, hand, person gesturing NO, person gesturing NO: dark skin tone, prohibited
🙅‍♂	forbidden, gesture, hand, man, man gesturing NO, prohibited
🙅🏻‍♂	forbidden, gesture, hand, light skin tone, man, man gesturing NO, man gesturing NO: light skin tone, prohibited
🙅🏼‍♂	forbidden, gesture, hand, man, man gesturing NO, man gesturing NO: medium-light skin tone, medium-light skin tone, prohibited
🙅🏽‍♂	forbidden, gesture, hand, man, man gesturing NO, man gesturing NO: medium skin tone, medium skin tone, prohibited
🙅🏾‍♂	forbidden, gesture, hand, man, man gesturing NO, man gesturing NO: medium-dark skin tone, medium-dark skin tone, prohibited
🙅🏿‍♂	dark skin tone, forbidden, gesture, hand, man, man gesturing NO, man gesturing NO: dark skin tone, prohibited
🙅‍♀	forbidden, gesture, hand, prohibited, woman, woman gesturing NO
🙅🏻‍♀	forbidden, gesture, hand, light skin tone, prohibited, woman, woman gesturing NO, woman gesturing NO: light skin tone
🙅🏼‍♀	forbidden, gesture, hand, medium-light skin tone, prohibited, woman, woman gesturing NO, woman gesturing NO: medium-light skin tone
🙅🏽‍♀	forbidden, gesture, hand, medium skin tone, prohibited, woman, woman gesturing NO, woman gesturing NO: medium skin tone
🙅🏾‍♀	forbidden, gesture, hand, medium-dark skin tone, prohibited, woman, woman gesturing NO, woman gesturing NO: medium-dark skin tone
🙅🏿‍♀	dark skin tone, forbidden, gesture, hand, prohibited, woman, woman gesturing NO, woman gesturing NO: dark skin tone
🙆	OK, gesture, hand, person gesturing OK
🙆🏻	OK, gesture, hand, light skin tone, person gesturing OK, person gesturing OK: light skin tone
🙆🏼	OK, gesture, hand, medium-light skin tone, person gesturing OK, person gesturing OK: medium-light skin tone
🙆🏽	OK, gesture, hand, medium skin tone, person gesturing OK, person gesturing OK: medium skin tone
🙆🏾	OK, gesture, hand, medium-dark skin tone, person gesturing OK, person gesturing OK: medium-dark skin tone
🙆🏿	OK, dark skin tone, gesture, hand, person gesturing OK, person gesturing OK: dark skin tone
🙆‍♂	OK, gesture, hand, man, man gesturing OK
🙆🏻‍♂	OK, gesture, hand, light skin tone, man, man gesturing OK, man gesturing OK: light skin tone
🙆🏼‍♂	OK, gesture, hand, man, man gesturing OK, man gesturing OK: medium-light skin tone, medium-light skin tone
