😀	išsišiepti, išsišiepęs veidas, veidas
🧎🏼	klūpantis, klūpantis žmogus, klūpantis žmogus: vidutinio gymio, klūpėti, vidutinio gymio
🧎🏽	klūpantis, klūpantis žmogus, klūpantis žmogus: rusvos odos, klūpėti, rusvos odos
🧎🏾	klūpantis, klūpantis žmogus, klūpantis žmogus: tamsios odos, klūpėti, tamsios odos
🧎🏿	itin tamsios odos, klūpantis, klūpantis žmogus, klūpantis žmogus: itin tamsios odos, klūpėti
🧎‍♂	klūpantis, klūpantis vyras, vyras
🧎🏻‍♂	klūpantis, klūpantis vyras: šviesios odos, vyras, šviesios odos
🧎🏼‍♂	klūpantis, klūpantis vyras: vidutinio gymio, vidutinio gymio, vyras
🧎🏽‍♂	klūpantis, klūpantis vyras: rusvos odos, rusvos odos, vyras
🧎🏾‍♂	klūpantis, klūpantis vyras: tamsios odos, tamsios odos, vyras
🧎🏿‍♂	itin tamsios odos, klūpantis, klūpantis vyras: itin tamsios odos, vyras
🧎‍♀	klūpanti, klūpanti moteris, moteris
🧎🏻‍♀	klūpanti, klūpanti moteris: šviesios odos, moteris, šviesios odos
🧎🏼‍♀	klūpanti, klūpanti moteris: vidutinio gymio, moteris, vidutinio gymio
🧎🏽‍♀	klūpanti, klūpanti moteris: rusvos odos, moteris, rusvos odos
🧎🏾‍♀	klūpanti, klūpanti moteris: tamsios odos, moteris, tamsios odos
🧎🏿‍♀	itin tamsios odos, klūpanti, klūpanti moteris: itin tamsios odos, moteris
👨‍🦯	aklas, prieinamumas, vyras, vyras su neregio lazdele
👨🏻‍🦯	aklas, prieinamumas, vyras, vyras su neregio lazdele, vyras su neregio lazdele: šviesios odos, šviesios odos
👨🏼‍🦯	aklas, prieinamumas, vidutinio gymio, vyras, vyras su neregio lazdele, vyras su neregio lazdele: vidutinio gymio
👨🏽‍🦯	aklas, prieinamumas, rusvos odos, vyras, vyras su neregio lazdele, vyras su neregio lazdele: rusvos odos
👨🏾‍🦯	aklas, prieinamumas, tamsios odos, vyras, vyras su neregio lazdele, vyras su neregio lazdele: tamsios odos
👨🏿‍🦯	aklas, itin tamsios odos, prieinamumas, vyras, vyras su neregio lazdele, vyras su neregio lazdele: itin tamsios odos
👩‍🦯	akla, moteris, moteris su neregio lazdele, prieinamumas
👩🏻‍🦯	akla, moteris, moteris su neregio lazdele, moteris su neregio lazdele: šviesios odos, prieinamumas, šviesios odos
👩🏼‍🦯	akla, moteris, moteris su neregio lazdele, moteris su neregio lazdele: vidutinio gymio, prieinamumas, vidutinio gymio
👩🏽‍🦯	akla, moteris, moteris su neregio lazdele, moteris su neregio lazdele: rusvos odos, prieinamumas, rusvos odos
👩🏾‍🦯	akla, moteris, moteris su neregio lazdele, moteris su neregio lazdele: tamsios odos, prieinamumas, tamsios odos
👩🏿‍🦯	akla, itin tamsios odos, moteris, moteris su neregio lazdele, moteris su neregio lazdele: itin tamsios odos, prieinamumas
👨‍🦼	prieinamumas, vežimėlis, vyras, vyras motorizuotame vežimėlyje
👨🏻‍🦼	prieinamumas, vežimėlis, vyras, vyras motorizuotame vežimėlyje, vyras motorizuotame vežimėlyje: šviesios odos, šviesios odos
👨🏼‍🦼	prieinamumas, vežimėlis, vidutinio gymio, vyras, vyras motorizuotame vežimėlyje, vyras motorizuotame vežimėlyje: vidutinio gymio
👨🏽‍🦼	prieinamumas, rusvos odos, vežimėlis, vyras, vyras motorizuotame vežimėlyje, vyras motorizuotame vežimėlyje: rusvos odos
👨🏾‍🦼	prieinamumas, tamsios odos, vežimėlis, vyras, vyras motorizuotame vežimėlyje, vyras motorizuotame vežimėlyje: tamsios odos
👨🏿‍🦼	itin tamsios odos, prieinamumas, vežimėlis, vyras, vyras motorizuotame vežimėlyje, vyras motorizuotame vežimėlyje: itin tamsios odos
👩‍🦼	moteris, moteris motorizuotame vežimėlyje, prieinamumas, vežimėlis
👩🏻‍🦼	moteris, moteris motorizuotame vežimėlyje, moteris motorizuotame vežimėlyje: šviesios odos, prieinamumas, vežimėlis, šviesios odos
👩🏼‍🦼	moteris, moteris motorizuotame vežimėlyje, moteris motorizuotame vežimėlyje: vidutinio gymio, prieinamumas, vežimėlis, vidutinio gymio
👩🏽‍🦼	moteris, moteris motorizuotame vežimėlyje, moteris motorizuotame vežimėlyje: rusvos odos, prieinamumas, rusvos odos, vežimėlis
👩🏾‍🦼	moteris, moteris motorizuotame vežimėlyje, moteris motorizuotame vežimėlyje: tamsios odos, prieinamumas, tamsios odos, vežimėlis
👩🏿‍🦼	itin tamsios odos, moteris, moteris motorizuotame vežimėlyje, moteris motorizuotame vežimėlyje: itin tamsios odos, prieinamumas, vežimėlis
👨‍🦽	prieinamumas, vežimėlis, vyras, vyras rankomis valdomame vežimėlyje
👨🏻‍🦽	prieinamumas, vežimėlis, vyras, vyras rankomis valdomame vežimėlyje, vyras rankomis valdomame vežimėlyje: šviesios odos, šviesios odos
👨🏼‍🦽	prieinamumas, vežimėlis, vidutinio gymio, vyras, vyras rankomis valdomame vežimėlyje, vyras rankomis valdomame vežimėlyje: vidutinio gymio
👨🏽‍🦽	prieinamumas, rusvos odos, vežimėlis, vyras, vyras rankomis valdomame vežimėlyje, vyras rankomis valdomame vežimėlyje: rusvos odos
👨🏾‍🦽	prieinamumas, tamsios odos, vežimėlis, vyras, vyras rankomis valdomame vežimėlyje, vyras rankomis valdomame vežimėlyje: tamsios odos
👨🏿‍🦽	itin tamsios odos, prieinamumas, vežimėlis, vyras, vyras rankomis valdomame vežimėlyje, vyras rankomis valdomame vežimėlyje: itin tamsios odos
👩‍🦽	moteris, moteris rankomis valdomame vežimėlyje, prieinamumas, vežimėlis
👩🏻‍🦽	moteris, moteris rankomis valdomame vežimėlyje, moteris rankomis valdomame vežimėlyje: šviesios odos, prieinamumas, vežimėlis, šviesios odos
👩🏼‍🦽	moteris, moteris rankomis valdomame vežimėlyje, moteris rankomis valdomame vežimėlyje: vidutinio gymio, prieinamumas, vežimėlis, vidutinio gymio
👩🏽‍🦽	moteris, moteris rankomis valdomame vežimėlyje, moteris rankomis valdomame vežimėlyje: rusvos odos, prieinamumas, rusvos odos, vežimėlis
👩🏾‍🦽	moteris, moteris rankomis valdomame vežimėlyje, moteris rankomis valdomame vežimėlyje: tamsios odos, prieinamumas, tamsios odos, vežimėlis
👩🏿‍🦽	itin tamsios odos, moteris, moteris rankomis valdomame vežimėlyje, moteris rankomis valdomame vežimėlyje: itin tamsios odos, prieinamumas, vežimėlis
🏃	bėgikas, bėgiojimas, maratonas
🏃🏻	bėgikas, bėgikas: šviesios odos, bėgiojimas, maratonas, šviesios odos
🏃🏼	bėgikas, bėgikas: vidutinio gymio, bėgiojimas, maratonas, vidutinio gymio
🏃🏽	bėgikas, bėgikas: rusvos odos, bėgiojimas, maratonas, rusvos odos
🏃🏾	bėgikas, bėgikas: tamsios odos, bėgiojimas, maratonas, tamsios odos
🏃🏿	bėgikas, bėgikas: itin tamsios odos, bėgiojimas, itin tamsios odos, maratonas
🏃‍♂	bėgantis vyras, bėgimas, lenktynės, maratonas, vyras
🏃🏻‍♂	bėgantis vyras, bėgantis vyras: šviesios odos, bėgimas, lenktynės, maratonas, vyras, šviesios odos
🏃🏼‍♂	bėgantis vyras, bėgantis vyras: vidutinio gymio, bėgimas, lenktynės, maratonas, vidutinio gymio, vyras
🏃🏽‍♂	bėgantis vyras, bėgantis vyras: rusvos odos, bėgimas, lenktynės, maratonas, rusvos odos, vyras
🏃🏾‍♂	bėgantis vyras, bėgantis vyras: tamsios odos, bėgimas, lenktynės, maratonas, tamsios odos, vyras
🏃🏿‍♂	bėgantis vyras, bėgantis vyras: itin tamsios odos, bėgimas, itin tamsios odos, lenktynės, maratonas, vyras
🏃‍♀	bėganti moteris, bėgimas, lenktynės, maratonas, moteris
🏃🏻‍♀	bėganti moteris, bėganti moteris: šviesios odos, bėgimas, lenktynės, maratonas, moteris, šviesios odos
🏃🏼‍♀	bėganti moteris, bėganti moteris: vidutinio gymio, bėgimas, lenktynės, maratonas, moteris, vidutinio gymio
🏃🏽‍♀	bėganti moteris, bėganti moteris: rusvos odos, bėgimas, lenktynės, maratonas, moteris, rusvos odos
🏃🏾‍♀	bėganti moteris, bėganti moteris: tamsios odos, bėgimas, lenktynės, maratonas, moteris, tamsios odos
🏃🏿‍♀	bėganti moteris, bėganti moteris: itin tamsios odos, bėgimas, itin tamsios odos, lenktynės, maratonas, moteris
💃	moteris, šokanti moteris, šokis
💃🏻	moteris, šokanti moteris, šokanti moteris: šviesios odos, šokis, šviesios odos
💃🏼	moteris, vidutinio gymio, šokanti moteris, šokanti moteris: vidutinio gymio, šokis
💃🏽	moteris, rusvos odos, šokanti moteris, šokanti moteris: rusvos odos, šokis
💃🏾	moteris, tamsios odos, šokanti moteris, šokanti moteris: tamsios odos, šokis
💃🏿	itin tamsios odos, moteris, šokanti moteris, šokanti moteris: itin tamsios odos, šokis
🕺	vyras, šokantis vyras, šokis
🕺🏻	vyras, šokantis vyras, šokantis vyras: šviesios odos, šokis, šviesios odos
🕺🏼	vidutinio gymio, vyras, šokantis vyras, šokantis vyras: vidutinio gymio, šokis
🕺🏽	rusvos odos, vyras, šokantis vyras, šokantis vyras: rusvos odos, šokis
🕺🏾	tamsios odos, vyras, šokantis vyras, šokantis vyras: tamsios odos, šokis
🕺🏿	itin tamsios odos, vyras, šokantis vyras, šokantis vyras: itin tamsios odos, šokis
🕴️	kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu
🕴🏻	kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: šviesios odos, šviesios odos
🕴🏼	kostiumas, verslas, vidutinio gymio, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: vidutinio gymio
🕴🏽	kostiumas, rusvos odos, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: rusvos odos
🕴🏾	kostiumas, tamsios odos, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: tamsios odos
🕴🏿	itin tamsios odos, kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: itin tamsios odos
👯	ausys, besilinksminančios moterys, merginos, moterys, zuikutis, šokėjos
👯‍♂	iškio ausytės, vakarėlis, vakarėlyje dalyvaujantys vyrai, vyrai, šokėjas
👯‍♀	kiškio ausytės, moteris, moterys, vakarėlis, vakarėlyje dalyvaujančios moterys, šokėja
🧖	asmuo garų kambaryje, garų kambarys, sauna
🧖🏻	asmuo garų kambaryje, asmuo garų kambaryje: šviesios odos, garų kambarys, sauna, šviesios odos
🧖🏼	asmuo garų kambaryje, asmuo garų kambaryje: vidutinio gymio, garų kambarys, sauna, vidutinio gymio
🧖🏽	asmuo garų kambaryje, asmuo garų kambaryje: rusvos odos, garų kambarys, rusvos odos, sauna
🧖🏾	asmuo garų kambaryje, asmuo garų kambaryje: tamsios odos, garų kambarys, sauna, tamsios odos
🧖🏿	asmuo garų kambaryje, asmuo garų kambaryje: itin tamsios odos, garų kambarys, itin tamsios odos, sauna
🧖‍♂	garų kambarys, sauna, vyras garų kambaryje
🧖🏻‍♂	garų kambarys, sauna, vyras garų kambaryje, vyras garų kambaryje: šviesios odos, šviesios odos
🧖🏼‍♂	garų kambarys, sauna, vidutinio gymio, vyras garų kambaryje, vyras garų kambaryje: vidutinio gymio
🧖🏽‍♂	garų kambarys, rusvos odos, sauna, vyras garų kambaryje, vyras garų kambaryje: rusvos odos
🧖🏾‍♂	garų kambarys, sauna, tamsios odos, vyras garų kambaryje, vyras garų kambaryje: tamsios odos
🧖🏿‍♂	garų kambarys, itin tamsios odos, sauna, vyras garų kambaryje, vyras garų kambaryje: itin tamsios odos
🧖‍♀	garų kambarys, moteris garų kambaryje, sauna
🧖🏻‍♀	garų kambarys, moteris garų kambaryje, moteris garų kambaryje: šviesios odos, sauna, šviesios odos
🧖🏼‍♀	garų kambarys, moteris garų kambaryje, moteris garų kambaryje: vidutinio gymio, sauna, vidutinio gymio
🧖🏽‍♀	garų kambarys, moteris garų kambaryje, moteris garų kambaryje: rusvos odos, rusvos odos, sauna
🧖🏾‍♀	garų kambarys, moteris garų kambaryje, moteris garų kambaryje: tamsios odos, sauna, tamsios odos
🧖🏿‍♀	garų kambarys, itin tamsios odos, moteris garų kambaryje, moteris garų kambaryje: itin tamsios odos, sauna
🧗	alpinistas, kopiantis žmogus
🧗🏻	alpinistas, kopiantis žmogus, kopiantis žmogus: šviesios odos, šviesios odos
🧗🏼	alpinistas, kopiantis žmogus, kopiantis žmogus: vidutinio gymio, vidutinio gymio
🧗🏽	alpinistas, kopiantis žmogus, kopiantis žmogus: rusvos odos, rusvos odos
🧗🏾	alpinistas, kopiantis žmogus, kopiantis žmogus: tamsios odos, tamsios odos
🧗🏿	alpinistas, itin tamsios odos, kopiantis žmogus, kopiantis žmogus: itin tamsios odos
🧗‍♂	alpinistas, kopiantis vyras
🧗🏻‍♂	alpinistas, kopiantis vyras, kopiantis vyras: šviesios odos, šviesios odos
🧗🏼‍♂	alpinistas, kopiantis vyras, kopiantis vyras: vidutinio gymio, vidutinio gymio
🧗🏽‍♂	alpinistas, kopiantis vyras, kopiantis vyras: rusvos odos, rusvos odos
🧗🏾‍♂	alpinistas, kopiantis vyras, kopiantis vyras: tamsios odos, tamsios odos
🧗🏿‍♂	alpinistas, itin tamsios odos, kopiantis vyras, kopiantis vyras: itin tamsios odos
🧗‍♀	kopianti moteris
🧗🏻‍♀	kopianti moteris, kopianti moteris: šviesios odos, šviesios odos
🧗🏼‍♀	kopianti moteris, kopianti moteris: vidutinio gymio, vidutinio gymio
🧗🏽‍♀	kopianti moteris, kopianti moteris: rusvos odos, rusvos odos
🧗🏾‍♀	kopianti moteris, kopianti moteris: tamsios odos, tamsios odos
🧗🏿‍♀	itin tamsios odos, kopianti moteris, kopianti moteris: itin tamsios odos
🤺	fechtavimas, fechtuotojas, kardas
🏇	arklių lenktynės, arklys, jojikas, lenktynės
🏇🏻	arklių lenktynės, arklių lenktynės: šviesios odos, arklys, jojikas, lenktynės, šviesios odos
🏇🏼	arklių lenktynės, arklių lenktynės: vidutinio gymio, arklys, jojikas, lenktynės, vidutinio gymio
🏇🏽	arklių lenktynės, arklių lenktynės: rusvos odos, arklys, jojikas, lenktynės, rusvos odos
🏇🏾	arklių lenktynės, arklių lenktynės: tamsios odos, arklys, jojikas, lenktynės, tamsios odos
🏇🏿	arklių lenktynės, arklių lenktynės: itin tamsios odos, arklys, itin tamsios odos, jojikas, lenktynės
⛷️	slidininkas, slidinėti, sniegas
🏂️	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas
🏂🏻	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: šviesios odos, šviesios odos
🏂🏼	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: vidutinio gymio, vidutinio gymio
🏂🏽	rusvos odos, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: rusvos odos
🏂🏾	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: tamsios odos, tamsios odos
🏂🏿	itin tamsios odos, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: itin tamsios odos
🏌️	golfas, golfo žaidėjas, kamuoliukas
🏌🏻	golfas, golfo žaidėjas, golfo žaidėjas: šviesios odos, kamuoliukas, šviesios odos
🏌🏼	golfas, golfo žaidėjas, golfo žaidėjas: vidutinio gymio, kamuoliukas, vidutinio gymio
🏌🏽	golfas, golfo žaidėjas, golfo žaidėjas: rusvos odos, kamuoliukas, rusvos odos
🏌🏾	golfas, golfo žaidėjas, golfo žaidėjas: tamsios odos, kamuoliukas, tamsios odos
🏌🏿	golfas, golfo žaidėjas, golfo žaidėjas: itin tamsios odos, itin tamsios odos, kamuoliukas
🏌‍♂	golfas, golfo žaidėjas vyras, vyras
🏌🏻‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: šviesios odos, vyras, šviesios odos
🏌🏼‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: vidutinio gymio, vidutinio gymio, vyras
🏌🏽‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: rusvos odos, rusvos odos, vyras
🏌🏾‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: tamsios odos, tamsios odos, vyras
🏌🏿‍♂	golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: itin tamsios odos, itin tamsios odos, vyras
🏌‍♀	golfas, golfo žaidėja, moteris
🏌🏻‍♀	golfas, golfo žaidėja, golfo žaidėja: šviesios odos, moteris, šviesios odos
🏌🏼‍♀	golfas, golfo žaidėja, golfo žaidėja: vidutinio gymio, moteris, vidutinio gymio
🏌🏽‍♀	golfas, golfo žaidėja, golfo žaidėja: rusvos odos, moteris, rusvos odos
🏌🏾‍♀	golfas, golfo žaidėja, golfo žaidėja: tamsios odos, moteris, tamsios odos
🏌🏿‍♀	golfas, golfo žaidėja, golfo žaidėja: itin tamsios odos, itin tamsios odos, moteris
🏄️	banglentininkas, banglenčių sportas
🏄🏻	banglentininkas, banglentininkas: šviesios odos, banglenčių sportas, šviesios odos
🏄🏼	banglentininkas, banglentininkas: vidutinio gymio, banglenčių sportas, vidutinio gymio
🏄🏽	banglentininkas, banglentininkas: rusvos odos, banglenčių sportas, rusvos odos
🏄🏾	banglentininkas, banglentininkas: tamsios odos, banglenčių sportas, tamsios odos
🏄🏿	banglentininkas, banglentininkas: itin tamsios odos, banglenčių sportas, itin tamsios odos
🏄‍♂	banglenčių sportas, vyras, vyras banglentininkas
🏄🏻‍♂	banglenčių sportas, vyras, vyras banglentininkas, vyras banglentininkas: šviesios odos, šviesios odos
🏄🏼‍♂	banglenčių sportas, vidutinio gymio, vyras, vyras banglentininkas, vyras banglentininkas: vidutinio gymio
🏄🏽‍♂	banglenčių sportas, rusvos odos, vyras, vyras banglentininkas, vyras banglentininkas: rusvos odos
🏄🏾‍♂	banglenčių sportas, tamsios odos, vyras, vyras banglentininkas, vyras banglentininkas: tamsios odos
🏄🏿‍♂	banglenčių sportas, itin tamsios odos, vyras, vyras banglentininkas, vyras banglentininkas: itin tamsios odos
🏄‍♀	banglentininkė, banglenčių sportas, moteris
🏄🏻‍♀	banglentininkė, banglentininkė: šviesios odos, banglenčių sportas, moteris, šviesios odos
🏄🏼‍♀	banglentininkė, banglentininkė: vidutinio gymio, banglenčių sportas, moteris, vidutinio gymio
🏄🏽‍♀	banglentininkė, banglentininkė: rusvos odos, banglenčių sportas, moteris, rusvos odos
🏄🏾‍♀	banglentininkė, banglentininkė: tamsios odos, banglenčių sportas, moteris, tamsios odos
🏄🏿‍♀	banglentininkė, banglentininkė: itin tamsios odos, banglenčių sportas, itin tamsios odos, moteris
🚣	irkluojantis žmogus, transporto priemonė, valtis
🚣🏻	irkluojantis žmogus, irkluojantis žmogus: šviesios odos, transporto priemonė, valtis, šviesios odos
🚣🏼	irkluojantis žmogus, irkluojantis žmogus: vidutinio gymio, transporto priemonė, valtis, vidutinio gymio
🚣🏽	irkluojantis žmogus, irkluojantis žmogus: rusvos odos, rusvos odos, transporto priemonė, valtis
🚣🏾	irkluojantis žmogus, irkluojantis žmogus: tamsios odos, tamsios odos, transporto priemonė, valtis
🚣🏿	irkluojantis žmogus, irkluojantis žmogus: itin tamsios odos, itin tamsios odos, transporto priemonė, valtis
🚣‍♂	irkluotojas, valtis, vyras
🚣🏻‍♂	irkluotojas, irkluotojas: šviesios odos, valtis, vyras, šviesios odos
🚣🏼‍♂	irkluotojas, irkluotojas: vidutinio gymio, valtis, vidutinio gymio, vyras
🚣🏽‍♂	irkluotojas, irkluotojas: rusvos odos, rusvos odos, valtis, vyras
🚣🏾‍♂	irkluotojas, irkluotojas: tamsios odos, tamsios odos, valtis, vyras
🚣🏿‍♂	irkluotojas, irkluotojas: itin tamsios odos, itin tamsios odos, valtis, vyras
🚣‍♀	irkluotoja, moteris, valtis
🚣🏻‍♀	irkluotoja, irkluotoja: šviesios odos, moteris, valtis, šviesios odos
🚣🏼‍♀	irkluotoja, irkluotoja: vidutinio gymio, moteris, valtis, vidutinio gymio
🚣🏽‍♀	irkluotoja, irkluotoja: rusvos odos, moteris, rusvos odos, valtis
🚣🏾‍♀	irkluotoja, irkluotoja: tamsios odos, moteris, tamsios odos, valtis
🚣🏿‍♀	irkluotoja, irkluotoja: itin tamsios odos, itin tamsios odos, moteris, valtis
🏊️	plaukikas, plaukti
🏊🏻	plaukikas, plaukikas: šviesios odos, plaukti, šviesios odos
🏊🏼	plaukikas, plaukikas: vidutinio gymio, plaukti, vidutinio gymio
🏊🏽	plaukikas, plaukikas: rusvos odos, plaukti, rusvos odos
🏊🏾	plaukikas, plaukikas: tamsios odos, plaukti, tamsios odos
🏊🏿	itin tamsios odos, plaukikas, plaukikas: itin tamsios odos, plaukti
🏊‍♂	plaukimas, vyras, vyras plaukikas
🏊🏻‍♂	plaukimas, vyras, vyras plaukikas, vyras plaukikas: šviesios odos, šviesios odos
🏊🏼‍♂	plaukimas, vidutinio gymio, vyras, vyras plaukikas, vyras plaukikas: vidutinio gymio
🏊🏽‍♂	plaukimas, rusvos odos, vyras, vyras plaukikas, vyras plaukikas: rusvos odos
🏊🏾‍♂	plaukimas, tamsios odos, vyras, vyras plaukikas, vyras plaukikas: tamsios odos
🏊🏿‍♂	itin tamsios odos, plaukimas, vyras, vyras plaukikas, vyras plaukikas: itin tamsios odos
🏊‍♀	moteris, plaukikė, plaukimas
🏊🏻‍♀	moteris, plaukikė, plaukikė: šviesios odos, plaukimas, šviesios odos
🏊🏼‍♀	moteris, plaukikė, plaukikė: vidutinio gymio, plaukimas, vidutinio gymio
🏊🏽‍♀	moteris, plaukikė, plaukikė: rusvos odos, plaukimas, rusvos odos
🏊🏾‍♀	moteris, plaukikė, plaukikė: tamsios odos, plaukimas, tamsios odos
🏊🏿‍♀	itin tamsios odos, moteris, plaukikė, plaukikė: itin tamsios odos, plaukimas
⛹️	kamuolys, žmogus su kamuoliu
⛹🏻	kamuolys, šviesios odos, žmogus su kamuoliu, žmogus su kamuoliu: šviesios odos
⛹🏼	kamuolys, vidutinio gymio, žmogus su kamuoliu, žmogus su kamuoliu: vidutinio gymio
⛹🏽	kamuolys, rusvos odos, žmogus su kamuoliu, žmogus su kamuoliu: rusvos odos
⛹🏾	kamuolys, tamsios odos, žmogus su kamuoliu, žmogus su kamuoliu: tamsios odos
⛹🏿	itin tamsios odos, kamuolys, žmogus su kamuoliu, žmogus su kamuoliu: itin tamsios odos
⛹‍♂	kamuolys, vyras, vyras su kamuoliu
⛹🏻‍♂	kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: šviesios odos, šviesios odos
⛹🏼‍♂	kamuolys, vidutinio gymio, vyras, vyras su kamuoliu, vyras su kamuoliu: vidutinio gymio
⛹🏽‍♂	kamuolys, rusvos odos, vyras, vyras su kamuoliu, vyras su kamuoliu: rusvos odos
⛹🏾‍♂	kamuolys, tamsios odos, vyras, vyras su kamuoliu, vyras su kamuoliu: tamsios odos
⛹🏿‍♂	itin tamsios odos, kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: itin tamsios odos
⛹‍♀	kamuolys, moteris, moteris su kamuoliu
⛹🏻‍♀	kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: šviesios odos, šviesios odos
⛹🏼‍♀	kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: vidutinio gymio, vidutinio gymio
⛹🏽‍♀	kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: rusvos odos, rusvos odos
⛹🏾‍♀	kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: tamsios odos, tamsios odos
⛹🏿‍♀	itin tamsios odos, kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: itin tamsios odos
🏋️	kilnotojas, svoris, svorių kilnotojas
🏋🏻	kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: šviesios odos, šviesios odos
🏋🏼	kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: vidutinio gymio, vidutinio gymio
🏋🏽	kilnotojas, rusvos odos, svoris, svorių kilnotojas, svorių kilnotojas: rusvos odos
🏋🏾	kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: tamsios odos, tamsios odos
🏋🏿	itin tamsios odos, kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: itin tamsios odos
🏋‍♂	keliantis svorį, svorius keliantis vyras, vyras
🏋🏻‍♂	keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: šviesios odos, vyras, šviesios odos
🏋🏼‍♂	keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: vidutinio gymio, vidutinio gymio, vyras
🏋🏽‍♂	keliantis svorį, rusvos odos, svorius keliantis vyras, svorius keliantis vyras: rusvos odos, vyras
🏋🏾‍♂	keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: tamsios odos, tamsios odos, vyras
🏋🏿‍♂	itin tamsios odos, keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: itin tamsios odos, vyras
🏋‍♀	kelianti svorį, moteris, svorius kelianti moteris
🏋🏻‍♀	kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: šviesios odos, šviesios odos
🏋🏼‍♀	kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: vidutinio gymio, vidutinio gymio
🏋🏽‍♀	kelianti svorį, moteris, rusvos odos, svorius kelianti moteris, svorius kelianti moteris: rusvos odos
🏋🏾‍♀	kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: tamsios odos, tamsios odos
🏋🏿‍♀	itin tamsios odos, kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: itin tamsios odos
🚴	dviratininkas, dviratis
🚴🏻	dviratininkas, dviratininkas: šviesios odos, dviratis, šviesios odos
🚴🏼	dviratininkas, dviratininkas: vidutinio gymio, dviratis, vidutinio gymio
🚴🏽	dviratininkas, dviratininkas: rusvos odos, dviratis, rusvos odos
🚴🏾	dviratininkas, dviratininkas: tamsios odos, dviratis, tamsios odos
🚴🏿	dviratininkas, dviratininkas: itin tamsios odos, dviratis, itin tamsios odos
🚴‍♂	dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas
🚴🏻‍♂	dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas: šviesios odos, šviesios odos
🚴🏼‍♂	dviratininkas, dviratis, važinėjimas dviračiu, vidutinio gymio, vyras, vyras dviratininkas: vidutinio gymio
🚴🏽‍♂	dviratininkas, dviratis, rusvos odos, važinėjimas dviračiu, vyras, vyras dviratininkas: rusvos odos
🚴🏾‍♂	dviratininkas, dviratis, tamsios odos, važinėjimas dviračiu, vyras, vyras dviratininkas: tamsios odos
🚴🏿‍♂	dviratininkas, dviratis, itin tamsios odos, važinėjimas dviračiu, vyras, vyras dviratininkas: itin tamsios odos
🚴‍♀	dviratininkė, dviratis, moteris, važinėjimas dviračiu
🚴🏻‍♀	dviratininkė, dviratininkė: šviesios odos, dviratis, moteris, važinėjimas dviračiu, šviesios odos
🚴🏼‍♀	dviratininkė, dviratininkė: vidutinio gymio, dviratis, moteris, važinėjimas dviračiu, vidutinio gymio
🚴🏽‍♀	dviratininkė, dviratininkė: rusvos odos, dviratis, moteris, rusvos odos, važinėjimas dviračiu
🚴🏾‍♀	dviratininkė, dviratininkė: tamsios odos, dviratis, moteris, tamsios odos, važinėjimas dviračiu
