😀	මුහුණ, සිනහ මුහුණ, සිනහව
👉️	අත, ඇඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල, පිටි අත් පහර, ලක්ෂ්‍ය
👉🏻	අත, ඇඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-1-2, පිටි අත් පහර, ලක්ෂ්‍ය, සමෙහි වර්ගය-1-2
👉🏼	අත, ඇඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-3, පිටි අත් පහර, ලක්ෂ්‍ය, සමෙහි වර්ගය-3
👉🏽	අත, ඇඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-4, පිටි අත් පහර, ලක්ෂ්‍ය, සමෙහි වර්ගය-4
👉🏾	අත, ඇඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-5, පිටි අත් පහර, ලක්ෂ්‍ය, සමෙහි වර්ගය-5
👉🏿	අත, ඇඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල, දකුණට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-6, පිටි අත් පහර, ලක්ෂ්‍ය, සමෙහි වර්ගය-6
👆️	අත, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල, ඇඟිල්ල, ඉහළට එල්ල කර, දබර
👆🏻	අත, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-1-2, ඇඟිල්ල, ඉහළට එල්ල කර, දබර, සමෙහි වර්ගය-1-2
👆🏼	අත, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-3, ඇඟිල්ල, ඉහළට එල්ල කර, දබර, සමෙහි වර්ගය-3
👆🏽	අත, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-4, ඇඟිල්ල, ඉහළට එල්ල කර, දබර, සමෙහි වර්ගය-4
👆🏾	අත, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-5, ඇඟිල්ල, ඉහළට එල්ල කර, දබර, සමෙහි වර්ගය-5
👆🏿	අත, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල, අත පිටුපස ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-6, ඇඟිල්ල, ඉහළට එල්ල කර, දබර, සමෙහි වර්ගය-6
🖕	අත, ඇඟිල්ල, මැදඟිල්ල, ශරීරය
🖕🏻	අත, ඇඟිල්ල, මැදඟිල්ල, මැදඟිල්ල: සමෙහි වර්ගය-1-2, ශරීරය, සමෙහි වර්ගය-1-2
🖕🏼	අත, ඇඟිල්ල, මැදඟිල්ල, මැදඟිල්ල: සමෙහි වර්ගය-3, ශරීරය, සමෙහි වර්ගය-3
🖕🏽	අත, ඇඟිල්ල, මැදඟිල්ල, මැදඟිල්ල: සමෙහි වර්ගය-4, ශරීරය, සමෙහි වර්ගය-4
🖕🏾	අත, ඇඟිල්ල, මැදඟිල්ල, මැදඟිල්ල: සමෙහි වර්ගය-5, ශරීරය, සමෙහි වර්ගය-5
🖕🏿	අත, ඇඟිල්ල, මැදඟිල්ල, මැදඟිල්ල: සමෙහි වර්ගය-6, ශරීරය, සමෙහි වර්ගය-6
👇️	අත, ඇඟිල්ල, දබර, පහළට එල්ල කර, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල
👇🏻	අත, ඇඟිල්ල, දබර, පහළට එල්ල කර, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
👇🏼	අත, ඇඟිල්ල, දබර, පහළට එල්ල කර, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
👇🏽	අත, ඇඟිල්ල, දබර, පහළට එල්ල කර, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
👇🏾	අත, ඇඟිල්ල, දබර, පහළට එල්ල කර, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
👇🏿	අත, ඇඟිල්ල, දබර, පහළට එල්ල කර, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල, පහළට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
☝️	අත, ඇඟිල්ල, ඉහළට, ඉහළට යොමු වූ දබරැඟිල්ල, ලක්ෂ්‍ය
☝🏻	අත, ඇඟිල්ල, ඉහළට, ඉහළට යොමු වූ දබරැඟිල්ල, ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-1-2, ලක්ෂ්‍ය, සමෙහි වර්ගය-1-2
☝🏼	අත, ඇඟිල්ල, ඉහළට, ඉහළට යොමු වූ දබරැඟිල්ල, ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-3, ලක්ෂ්‍ය, සමෙහි වර්ගය-3
☝🏽	අත, ඇඟිල්ල, ඉහළට, ඉහළට යොමු වූ දබරැඟිල්ල, ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-4, ලක්ෂ්‍ය, සමෙහි වර්ගය-4
☝🏾	අත, ඇඟිල්ල, ඉහළට, ඉහළට යොමු වූ දබරැඟිල්ල, ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-5, ලක්ෂ්‍ය, සමෙහි වර්ගය-5
☝🏿	අත, ඇඟිල්ල, ඉහළට, ඉහළට යොමු වූ දබරැඟිල්ල, ඉහළට යොමු වූ දබරැඟිල්ල: සමෙහි වර්ගය-6, ලක්ෂ්‍ය, සමෙහි වර්ගය-6
👍️	1, අත, ඉහළට., මහපටැඟිල්ල, මහපටැඟිල්ල ඉහළට
👍🏻	1, අත, ඉහළට., මහපටැඟිල්ල, මහපටැඟිල්ල ඉහළට, මහපටැඟිල්ල ඉහළට: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
👍🏼	1, අත, ඉහළට., මහපටැඟිල්ල, මහපටැඟිල්ල ඉහළට, මහපටැඟිල්ල ඉහළට: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
👍🏽	1, අත, ඉහළට., මහපටැඟිල්ල, මහපටැඟිල්ල ඉහළට, මහපටැඟිල්ල ඉහළට: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
👍🏾	1, අත, ඉහළට., මහපටැඟිල්ල, මහපටැඟිල්ල ඉහළට, මහපටැඟිල්ල ඉහළට: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
👍🏿	1, අත, ඉහළට., මහපටැඟිල්ල, මහපටැඟිල්ල ඉහළට, මහපටැඟිල්ල ඉහළට: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
👎️	1, අත, පහළට, මහපටැඟිල්ල, මහපටැඟිිල්ල පහළට
👎🏻	1, අත, පහළට, මහපටැඟිල්ල, මහපටැඟිිල්ල පහළට, මහපටැඟිිල්ල පහළට: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
👎🏼	1, අත, පහළට, මහපටැඟිල්ල, මහපටැඟිිල්ල පහළට, මහපටැඟිිල්ල පහළට: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
👎🏽	1, අත, පහළට, මහපටැඟිල්ල, මහපටැඟිිල්ල පහළට, මහපටැඟිිල්ල පහළට: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
👎🏾	1, අත, පහළට, මහපටැඟිල්ල, මහපටැඟිිල්ල පහළට, මහපටැඟිිල්ල පහළට: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
👎🏿	1, අත, පහළට, මහපටැඟිල්ල, මහපටැඟිිල්ල පහළට, මහපටැඟිිල්ල පහළට: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
✊	අත, එසවූ මිට මෙළවීම, මිට මෙළවීම, මිට මෙළවූ, මිටින් පහර දීම
✊🏻	අත, එසවූ මිට මෙළවීම, එසවූ මිට මෙළවීම: සමෙහි වර්ගය-1-2, මිට මෙළවීම, මිට මෙළවූ, මිටින් පහර දීම, සමෙහි වර්ගය-1-2
✊🏼	අත, එසවූ මිට මෙළවීම, එසවූ මිට මෙළවීම: සමෙහි වර්ගය-3, මිට මෙළවීම, මිට මෙළවූ, මිටින් පහර දීම, සමෙහි වර්ගය-3
