😀	cara, cara sorridente, sorriso
👬🏼	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 3, mãos dadas, signo, tipo de pele 3
👨🏽‍🤝‍👨🏻	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 4 e tipo de pele 1–2, mãos dadas, signo, tipo de pele 1–2, tipo de pele 4
👨🏽‍🤝‍👨🏼	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 4 e tipo de pele 3, mãos dadas, signo, tipo de pele 3, tipo de pele 4
👬🏽	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 4, mãos dadas, signo, tipo de pele 4
👨🏾‍🤝‍👨🏻	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 5 e tipo de pele 1–2, mãos dadas, signo, tipo de pele 1–2, tipo de pele 5
👨🏾‍🤝‍👨🏼	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 5 e tipo de pele 3, mãos dadas, signo, tipo de pele 3, tipo de pele 5
👨🏾‍🤝‍👨🏽	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 5 e tipo de pele 4, mãos dadas, signo, tipo de pele 4, tipo de pele 5
👬🏾	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 5, mãos dadas, signo, tipo de pele 5
👨🏿‍🤝‍👨🏻	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 6 e tipo de pele 1–2, mãos dadas, signo, tipo de pele 1–2, tipo de pele 6
👨🏿‍🤝‍👨🏼	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 6 e tipo de pele 3, mãos dadas, signo, tipo de pele 3, tipo de pele 6
👨🏿‍🤝‍👨🏽	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 6 e tipo de pele 4, mãos dadas, signo, tipo de pele 4, tipo de pele 6
👨🏿‍🤝‍👨🏾	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 6 e tipo de pele 5, mãos dadas, signo, tipo de pele 5, tipo de pele 6
👬🏿	Gémeos, casal, gémeos, homem, homens, homens de mãos dadas, homens de mãos dadas: tipo de pele 6, mãos dadas, signo, tipo de pele 6
💏	casal, romance
👩‍❤‍💋‍👨	casal, homem, mulher, romance
👨‍❤‍💋‍👨	casal, homem, romance
👩‍❤‍💋‍👩	casal, mulher, romance
💑	amor, casal, casal com coração, coração, romance
👩‍❤‍👨	amor, casal, casal com coração, casal com coração: mulher e homem, coração, homem, mulher, romance
👨‍❤‍👨	amor, casal, casal com coração, casal com coração: homem e homem, coração, homem, romance
👩‍❤‍👩	amor, casal, casal com coração, casal com coração: mulher e mulher, coração, mulher, romance
👪️	criança, mãe, pai
👨‍👩‍👦	criança, família: homem, mulher e rapaz, homem, mulher, mãe, pai, rapaz
👨‍👩‍👧	criança, família: homem, mulher e rapariga, homem, mulher, mãe, pai, rapariga
👨‍👩‍👧‍👦	criança, família: homem, mulher, rapariga e rapaz, homem, mulher, mãe, pai, rapariga, rapaz
👨‍👩‍👦‍👦	criança, família: homem, mulher, rapaz e rapaz, homem, mulher, mãe, pai, rapaz
👨‍👩‍👧‍👧	criança, família: homem, mulher, rapariga e rapariga, homem, mulher, mãe, pai, rapariga
👨‍👨‍👦	criança, família: homem, homem e rapaz, homem, mãe, pai, rapaz
👨‍👨‍👧	criança, família: homem, homem e rapariga, homem, mãe, pai, rapariga
👨‍👨‍👧‍👦	criança, família: homem, homem, rapariga e rapaz, homem, mãe, pai, rapariga, rapaz
👨‍👨‍👦‍👦	criança, família: homem, homem, rapaz e rapaz, homem, mãe, pai, rapaz
👨‍👨‍👧‍👧	criança, família: homem, homem, rapariga e rapariga, homem, mãe, pai, rapariga
👩‍👩‍👦	criança, família: mulher, mulher e rapaz, mulher, mãe, pai, rapaz
👩‍👩‍👧	criança, família: mulher, mulher e rapariga, mulher, mãe, pai, rapariga
👩‍👩‍👧‍👦	criança, família: mulher, mulher, rapariga e rapaz, mulher, mãe, pai, rapariga, rapaz
👩‍👩‍👦‍👦	criança, família: mulher, mulher, rapaz e rapaz, mulher, mãe, pai, rapaz
👩‍👩‍👧‍👧	criança, família: mulher, mulher, rapariga e rapariga, mulher, mãe, pai, rapariga
👨‍👦	criança, família: homem e rapaz, homem, mãe, pai, rapaz
👨‍👦‍👦	criança, família: homem, rapaz e rapaz, homem, mãe, pai, rapaz
👨‍👧	criança, família: homem e rapariga, homem, mãe, pai, rapariga
👨‍👧‍👦	criança, família: homem, rapariga e rapaz, homem, mãe, pai, rapariga, rapaz
👨‍👧‍👧	criança, família: homem, rapariga e rapariga, homem, mãe, pai, rapariga
👩‍👦	criança, família: mulher e rapaz, mulher, mãe, pai, rapaz
👩‍👦‍👦	criança, família: mulher, rapaz e rapaz, mulher, mãe, pai, rapaz
👩‍👧	criança, família: mulher e rapariga, mulher, mãe, pai, rapariga
👩‍👧‍👦	criança, família: mulher, rapariga e rapaz, mulher, mãe, pai, rapariga, rapaz
👩‍👧‍👧	criança, família: mulher, rapariga e rapariga, mulher, mãe, pai, rapariga
🗣️	cabeça, cabeça a falar, cara, falar, silhueta
👤	busto, silhueta
👥	busto, silhueta
👣	corpo, pegada, pé
🦰	cabelo ruivo, ruiva, ruivo
🦱	afro, cabelo encaracolado, caracóis, encaracolado
🦳	brancas, branco, cabelho grisalho, cabelo, velho
🦲	careca, nenhum cabelo, quimioterapia, rapado, raspado
🐵	cara, cara de macaco, macaco
🐒	macaco
🦍	gorila
🦧	orangotango
🐶	animal de estimação, cara, cara de cão, cão
🐕️	animal de estimação, cão
🦮	cão-guia
🐕‍🦺	cão de assistência
🐩	caniche, cão
🐺	cara, lobo
🦊	cara, raposa
🐱	animal de estimação, cara, cara de gato, gato
🐈️	animal de estimação, gato
🦁	Leão, cara, cara de leão, leão, signo
🐯	cara, cara de tigre, tigre
🐅	tigre
🐆	leopardo
🐴	cara, cara de cavalo, cavalo
🐎	cavalo de corrida, corrida, equestre, equitação
🦄	cara, unicórnio
🦓	risca, zebra
🦌	veado
🐮	cara, cara de vaca, vaca
🐂	boi, signo, touro
🐃	búfalo
🐄	vaca
🐷	cara, cara de porco, porco
🐖	porco
🐗	javali, porco
🐽	cara, focinho, porco
🐏	carneiro, carneiro (animal), ovelha, signo
🐑	ovelha
🐐	cabra, capricórnio, signo
🐪	bossa, dromedário
🐫	bossa, camelo
🦙	alpaca, animal, guanaco, lama, lhama, lã, vicunha
🐘	elefante
🦏	rinoceronte
🐭	cara, cara de rato, rato
🐁	rato
🐀	ratazana
🐹	animal de estimação, cara, hamster
🐰	animal de estimação, cara, cara de coelho, coelhinho, coelho
🐇	animal de estimação, coelhinho
🐿️	esquilo
🦔	animal, espinhoso, ouriço, ouriço-caixeiro
🦇	morcego, vampiro
🐻	cara, urso
🐨	coala, urso
🐼	cara, panda
🦥	preguiça
🦦	lontra
🦨	doninha fedorenta
🦘	Austrália, joey, marsupial, saltar
🦡	chatear, ratel, texugo-do-mel
🐾	patas, pegada, pegadas de patas
🐣	bebé, ovo, pintainho, pintainho a sair do ovo
🐤	bebé, pintainho
🐥	bebé, pintainho, pintainho a olhar para a frente
🐦️	ave, pássaro
🐧	pinguim
🕊️	paz, pomba, pássaro, voar
🦅	ave, pássaro, águia
🦆	ave, pato
🦢	cisne, patinho feio, pinto de cisne
🦉	coruja, mocho, pássaro, sensato
🦩	flamingo
🦜	falar, pirata, pássaro
🐸	cara, sapo
🐊	crocodilo, jacaré
🐢	cágado, tartaruga
🦎	lagarto, réptil
🐍	ofiúco, serpente, serpentário, signo
🐲	cara, cara de dragão, conto de fadas, dragão
🐉	conto de fadas, dragão
🐳	baleia, baleia com esguicho de água, cara, esguichar
🐋	baleia
🐬	golfinho
🐟️	peixe, peixes, signo
🐠	peixe, tropical
🐡	peixe, peixe-balão
🐙	polvo
🐚	búzio, concha, espiral
🐌	caracol, caracoleta
🦋	bonita, borboleta, insecto, inseto
🐛	bicho, insecto, inseto, lagarta
🐜	formiga, insecto, inseto
🐝	abelha, insecto, inseto, mel
🐞	bicho, inseto, voa voa
🦗	gafanhoto, grilo
🕷️	aranha, insecto, inseto
🕸️	aranha, teia
🦂	escorpião, escorpião (animal), signo
🦟	doença, febre, insecto, inseto, malária, melga, vírus
💐	flor, planta, ramo de flores, romance
🌸	cerejeira, cerejeira em flor, em flor, flor, planta
🏵️	planta, rosácea
🌹	flor, rosa, vermelha
🥀	flor, murcha
🌻	flor, girassol, sol
🌼	flor, malmequer
🌷	flor, túlipa
🌱	nova, planta, rebento
🌲	planta, árvore, árvore de folha perene
🌳	caduca, árvore, árvore de folha caduca
🌴	palma, palmeira, planta, árvore
🌵	cato, planta
🌾	arroz, espiga, feixe de arroz, planta
🌿	erva aromática, folha, planta
☘️	planta, trevo
🍀	4, folha, planta, quatro, trevo
🍁	folha, folha de ácer, planta, queda, ácer
🍂	folha, folha caída, planta, queda
🍃	esvoaçar, folha, folha a esvoaçar ao vento, planta, soprar, vento
🍇	fruta, uva, uvas
🍈	fruta, meloa, melão
🍉	fatia, fruta, melancia
🍊	clementina, fruta, laranja, tangerina
🍋	citrino, fruta, limão
🍍	abacaxi, ananás, fruta
🍎	fruta, maçã, pêro, vermelha
🍒	cereja, cerejas, fruta, ginja
🍓	fruta, morango
🥝	fruta, kiwi, quivi
🍅	fruta, legume, tomate
🥥	coco, fruta, palmeira
🥑	abacate, fruta
🍆	beringela, legume
🥔	batata, legume
🥕	cenoura, legume
🌽	cereal, espiga, espiga de milho, milho
🌶️	legume, malagueta, picante
🥒	legume, pepino, pickle, picles
🥦	brócolos, legume
🧄	alho
🧅	cebola
🍄	cogumelo, fungo
🥜	amendoim, amendoins, leguminosa
🍞	pão de forma
🥐	croissant, folhado, francês
🥖	baguete, cacete, francês, pão
🥯	argola, bagel, pão
🥞	comida, crepe, doce, panqueca
🧇	waffle
🧀	fatia de queijo, queijo
🍖	carne, osso, osso com carne
🍗	coxa, coxa de ave, frango, galinha, osso
🥩	bife, costeleta, costeleta de cordeiro, costeleta de porco, naco de carne
🥓	bacon, carne, comida, toucinho
🍔	cheeseburger, hambúrger
🍟	batatas, batatas fritas, fritas
🍕	fatia, piza, queijo
🌭	cachorro, cachorro quente, salsicha
🥪	pão, sande, sandes, sanduíche
🌮	comida, mexicana, taco
🌯	comida, mexicana
🥙	falafel, kebab, pita, recheado
🧆	falafel
🍳	cozinhar, frigideira, ovo
🥘	caçarola, caçarola de comida, comida, paelha, panela, rasa
🍲	guisado, tacho, tacho com comida
🥣	cereais, pequeno-almoço, tigela com colher
🥗	alface, comida, salada, verdura
🍿	balde de pipoca, pipoca de cinema, pipocas
🧈	manteiga
🥫	comida de lata, lata
🍱	caixa, caixa de refeições, refeições
🍘	arroz, bolacha, bolacha de arroz
🍙	arroz, bola de arroz, bolinho, japonês
🍚	arroz, cozido, tigela de arroz
🍛	arroz, arroz com caril, caril
🍜	japonês, massa, quente, ramen, tigela, tigela com comida quente
🍝	esparguete, massa
🍠	assada, batata, batata-doce assada, doce
🍢	espetada, marisco, oden
🍣	sushi
🍤	camarão, frito, gamba, tempura
🍥	espiral, pastel, pastel de peixe com espiral, peixe
🥮	bolo da lua, festival, outono, yuèbǐng
🍡	dango, doce, espetada, espeto, japonesa, sobremesa
🥟	empanada, guioza, pierogi, ravioli
🥠	bolinho, sorte
🥡	caixa, caixa de takeaway, comida pronta, takeaway
🦀	caranguejo, caranguejo (animal), signo
🦞	mariscada, marisco, pinças
🦐	camarão, comida, gamba, marisco
🦪	ostra
🍦	cone de gelado, creme, cremoso, doce, gelado, gelo, sobremesa
🍧	doce, gelo, granizado, sobremesa
🍨	creme, doce, gelado, gelo, sobremesa
🍩	doce, dónute, sobremesa
🍪	biscoito, bolacha, doce
🎂	aniversário, bolo, bolo de anos, celebração, doce, pastelaria, sobremesa
🍰	bolo, doce, fatia, fatia de bolo, pastelaria, sobremesa
🧁	bolo, doce, pastelaria, queque
🥧	recheio, tarte
🍫	chocolate, doce, sobremesa, tablete, tablete de chocolate
🍬	doce, rebuçado, sobremesa
🍭	chupa-chupa, doce, guloseima, sobremesa
🍮	doce, pudim, sobremesa
🍯	doce, mel, pote
🍼	beber, bebé, biberão, leite
🥛	bebida, copo, leite
☕️	beber, bebida, bebida quente, café, chá, quente, vapor
🍵	beber, bebida, chá, chávena, chávena de chá, chávena de chá sem asa
🍶	bar, bebida, garrafa, saqué, saquê, taça
🍾	bar, beber, garrafa, garrafa com rolha a saltar, rolha, saltar
🍷	bar, beber, bebida, copo, copo de vinho, vinho
🍸️	bar, beber, cocktail, copo, copo de cocktail
🍹	bar, bebida, tropical
🍺	bar, beber, caneca, caneca de cerveja, cerveja
🍻	bar, beber, brindar, brinde com canecas de cerveja, caneca, cerveja
🥂	bebida, brinde, celebrar, copo
🥃	baixo, bebida, copo, copo de whisky, shot, whisky
🥤	copo com palhinha, refrigerante, sumo
🧃	pacote de sumo
🧉	mate
🧊	cubo de gelo
🥢	pauzinhos
🍽️	cozinhar, faca, faca e garfo com prato, garfo, prato, talheres
🍴	cozinhar, faca, faca e garfo, garfo, talheres
🥄	colher, talheres
🔪	arma, cortar, cozinhar, faca, utensílio
🏺	beber, jarro, líquidos, utensílio, ânfora
🌍	Europa, Terra, globo, globo com a Europa e a África visíveis, mundo, África
🌎️	Américas, Terra, globo, globo com as Américas visíveis, mundo
🌏	Austrália, Terra, globo, globo a mostrar Ásia e Austrália, globo com a Ásia e a Austrália visíveis, mundo, Ásia
🌐	Terra, globo, meridianos, mundo
🗺️	mapa, mapa do mundo, mundo
🏔️	frio, montanha, montanha coberta de neve, neve
⛰️	montanha, monte
🌋	erupção, montanha, vulcão
🗻	fuji, montanha, monte Fuji
🏕️	acampar, campismo
🏖️	guarda-sol, praia, praia com guarda-sol
🏜️	areia, cato, deserto
🏝️	deserta, ilha
🏞️	parque, parque nacional
🏛️	clássico, edifício clássico, edifício da antiguidade
🏗️	construção, construção civil, edifício, obras
🏘️	casas, edifícios, edifícios de habitação, habitação
🏚️	abandonado, casa, casa abandonada, casa em ruínas
🏠️	casa, edifício, habitação
🏡	casa, casa com jardim, habitação, jardim, vivenda
🏢	edifício, edifício de escritórios, escritórios
🏣	correios, edifício, estação de correios japonesa, japonês
🏤	correios, edifício, estação de correios, europeu
🏥	edifício, medicina, médico
🏦	banca, edifício
🏨	edifício
🏩	amor, edifício, hotel, hotel com coração, motel
🏪	conveniência, edifício, loja
🏫	edifício, escola
🏬	comércio, edifício, grande armazém, lojas
🏭️	edifício, fábrica
🏯	castelo, edifício, japonês
🏰	castelo, edifício, europeu
💒	capela, casamento, romance
🗼	Tóquio, torre, torre de Tóquio
⛪️	cristão, cruz, igreja, religião
🕌	islão, muçulmano, religião
🛕	templo hindu
⛩️	religião, templo, templo xintoísta, xintoísmo
🕋	caaba, islamismo, muçulmano, religião
⛺️	campismo, tenda
🌁	nevoeiro, nublado
🌃	estrelas, noite, noite com estrelas
🏙️	cidade, edifícios, paisagem urbana
🌄	manhã, montanha, nascer do sol, nascer do sol nas montanhas, sol
🌅	manhã, nascer do sol, sol
🌆	anoitecer, cidade, crepúsculo, paisagem, paisagem urbana ao anoitecer, pôr do sol, sol
🌇	crepúsculo, edifícios, pôr-do-sol, sol
🌉	noite, ponte, ponte à noite
♨️	nascentes, quente, termas, vapor, águas termais
🎠	carrossel, cavalo, cavalo de carrossel
🎡	gigante, parque de diversões, roda
🎢	montanha-russa, parque de diversões
💈	barbearia, barbeiro, corte de cabelo, símbolo de barbearia
🎪	circo, tenda, tenda de circo
🚂	comboio, linha ferroviária, locomotiva, máquina, vapor, veículo
🚃	carro, carruagem, comboio, eléctrico, elétrico, linha ferroviária, troleicarro
🚄	comboio, comboio de alta velocidade, linha ferroviária, shinkansen, velocidade, veículo
🚅	bala, comboio, comboio bala, comboio-bala, linha ferroviária, shinkansen, velocidade
🚆	comboio, linha ferroviária, linha férrea
🚇️	metro, metropolitano
🚈	linha ferroviária, metro de superfície
🚉	comboio, estação, linha ferroviária
🚊	eléctrico, elétrico
🚝	monocarril, veículo
🚞	comboio de montanha, linha ferroviária, montanha, transporte
🚋	carro, carro elétrico, elétrico
🚌	autocarro, veículo
🚍️	aproximação, autocarro, autocarro a aproximar-se, autocarro a chegar
🚎	autocarro, troleicarro, trólei
🚐	autocarro, miniautocarro
🚒	bombeiros, camião, carro, carro de bombeiros
🚓	carro, carro da polícia, patrulha, polícia
🚔️	aproximação, carro, carro da polícia a aproximar-se, polícia, veículo
🚖	aproximação, táxi, táxi a aproximar-se, veículo
🚗	automóvel
🚘️	aproximação, automóvel, automóvel a aproximar-se, carro, veículo
🚙	SUV, recreio, veículo
🚚	camião, camião de entregas, entregas, veículo
🚛	camião, camião articulado, semirreboque, veículo
🚜	trator
🏍️	corrida, mota, moto, motociclismo, motociclo
🛵	lambreta, motorizada, scooter
🦽	cadeira de rodas manual
🦼	cadeira de rodas elétrica
🛺	riquexó motorizado
🚲️	bicicleta, bicla
🛴	pontapé, trotineta, trotinete
🚏	autocarro, paragem, paragem de autocarro
🛣️	autoestrada, estrada, via rápida
🛤️	comboio, linha ferroviária
🛢️	barril, barril de petróleo, petróleo
⛽️	abastecimento, bomba, bomba de gasolina, gasolina
🚨	carro, luz, luz de carro da polícia, polícia, sirene
🚥	semáforo, sinal, trânsito
🚦	semáforo, sinal, trânsito
🛑	octagonal, sinal, sinal de stop, stop
🚧	barreira, obras
⚓️	instrumento, navio
⛵️	barco, estância, iate, mar, veleiro, veículo
🛳️	navio, navio de passageiros, passageiros, veículo
⛴️	barco, ferry
🛥️	barco, barco a motor, motor, veículo
🚢	veículo
✈️	veículo
🛩️	avioneta, avião, veículo
🛫	avião, avião a levantar, check-in, levantar, partida, veículo
🛬	aterragem, avião, avião a aterrar, chegadas, veículo
🪂	paraquedas
💺	banco
🚟	monocarril suspenso, veículo
🚠	cabo, montanha, teleférico de montanha, veículo
🚡	aéreo, cabo, funicular, gôndola, teleférico, veículo
🛰️	espaço, veículo
🚀	espaço, foguetão, veículo
🛸	OVNI, disco voador
🛎️	campainha, campainha de receção, hotel, rececionista
🧳	bagagem
⌛️	ampulheta terminada, areia, temporizador
⏳️	ampulheta, ampulheta com areia a cair, areia, temporizador
⏱️	cronómetro, relógio
⏲️	relógio, temporizador
🕰️	mesa, relógio, relógio de lareira
🕛️	00, 12, 12:00, doze, doze horas, horas, relógio, vinte e quatro
🕧	12, 12:30, 30, doze, meia-noite e meia, meio-dia e meia, relógio, trinta
🕐️	00, 1, 1:00, horas, relógio, treze, uma, uma hora
🕜	1, 1:30, 30, meia, relógio, trinta, uma
🕑️	00, 2, 2:00, catorze, duas, duas horas, horas, relógio
🕝	2, 2:30, 30, duas, meia, relógio, trinta
🕒️	00, 3, 3:00, horas, quinze, relógio, três, três horas
🕞	3, 30, 3:30, meia, relógio, trinta, três
🕓️	00, 4, 4:00, dezasseis, horas, quatro, quatro horas, relógio
🕟	30, 4, 4:30, meia, quatro, relógio, trinta
🕔️	00, 5, 5:00, cinco, cinco horas, dezassete, horas, relógio
🕠	30, 5, 5:30, cinco, meia, relógio, trinta
🕕️	00, 6, 6:00, dezoito, horas, relógio, seis, seis horas
🕡	30, 6, 6:30, meia, relógio, seis, trinta
🕖️	00, 7, 7:00, dezanove, horas, relógio, sete, sete horas
🕢	30, 7, 7:30, meia, relógio, sete, trinta
🕗️	00, 8, 8:00, horas, oito, oito horas, relógio, vinte
🕣	30, 8, 8:30, meia, oito, relógio, trinta
🕘️	00, 9, 9:00, horas, nove, nove horas, relógio, vinte e uma
🕤	30, 9, 9:30, meia, nove, relógio, trinta
🕙️	00, 10, 10:00, dez, dez horas, horas, relógio, vinte e duas
🕥	10, 10:30, 30, dez, meia, relógio, trinta
🕚️	00, 11, 11:00, horas, onze, onze horas, relógio, vinte e três
🕦	11, 11:30, 30, meia, onze, relógio, trinta
🌑	escuro, espaço, lua, meteorologia
🌒	crescente, espaço, lua, lua na primeira falcada, meteorologia
🌓	crescente, espaço, lua, lua em quarto crescente, meteorologia, quatro
🌔	convexa, crescente, espaço, lua, lua na primeira giba, meteorologia
🌕️	cheia, espaço, lua, meteorologia
🌖	convexa, espaço, lua, meteorologia, minguante
🌗	espaço, lua, lua em quarto minguante, meteorologia, minguante, quatro
🌘	crescente, espaço, lua, meteorologia, minguante
🌙	crescente, espaço, lua, lua crescente sem sombra, meteorologia
🌚	cara, cara de lua nova, espaço, lua, meteorologia
🌛	cara, espaço, lua, lua em quarto crescente com cara, meteorologia, quarto
🌜️	cara, espaço, lua, lua em quarto minguante com cara, meteorologia, quarto
🌡️	meteorologia, temperatura, termómetro
☀️	brilhante, espaço, meteorologia, raios, soalheiro
🌝	brilhante, cara, cheia, espaço, lua, lua cheia com cara, meteorologia
🌞	brilhante, cara, espaço, meteorologia, sol, sol com cara
🪐	planeta anelado
🌟	brilhante, brilho, cintilante, estrela
🌠	cadente, espaço, estrela
🌌	espaço, via láctea
☁️	meteorologia, tempo
⛅️	meteorologia, nuvem, sol, sol atrás de nuvem
⛈️	chuva, meteorologia, nuvem, nuvem com relâmpago e chuva, trovoada
🌤️	meteorologia, nuvem, sol, sol atrás de nuvem pequena
🌥️	meteorologia, nuvem, sol, sol atrás de nuvem grande
🌦️	chuva, meteorologia, nuvem, sol, sol atrás de nuvem com chuva
🌧️	chuva, meteorologia, nuvem
🌨️	frio, meteorologia, neve, nuvem
🌩️	meteorologia, nuvem, nuvem com relâmpago, relâmpago
🌪️	furacão, meteorologia, nuvem
🌫️	meteorologia, nevoeiro, nuvem, névoa
🌬️	cara, cara de vento, meteorologia, nuvem, soprar, vento
🌀	meteorologia, tufão
🌈	chuva, cores, meteorologia
🌂	acessório, chuva, guarda-chuva, guarda-chuva fechado, meteorologia
☂️	acessório, chuva, guarda-chuva, meteorologia
☔️	acessório, chuva, gotas, guarda-chuva, guarda-chuva com gotas de chuva, meteorologia
⛱️	chuva, guarda-sol, guarda-sol na areia, meteorologia, sol
⚡️	choque elétrico, eletricidade, perigo, tensão, voltagem
❄️	frio, meteorologia, neve
☃️	boneco de neve, frio, meteorologia, neve
⛄️	boneco de neve, boneco de neve sem neve, frio, meteorologia, neve
☄️	astro, espaço
💧	desenho, frio, gota, meteorologia, suor
🌊	meteorologia, oceano, água
🎃	abóbora, celebração, dia das bruxas, halloween
🎄	celebração, natal, árvore
🎆	celebração, fogo de artifício
🎇	celebração, faísca, vela, vela com faísca
🧨	petardo
✨	*, centelha, cintilação, estrelas, faíscas
🎈	celebração, festa
🎉	celebração, confetti, lança-confetes, surpresa
🎊	bola, bola de confete, celebração, confetti
🎋	celebração, faixa, japonês, árvore, árvore do Tanabata
🎍	bambu, celebração, decoração com bambu, japonês, planta
🎎	bonecas, bonecas japonesas, celebração, festival, japonês
🎏	bandeirola, bandeirola de carpas, carpas, celebração
🎐	celebração, espanta-espíritos, sino, vento
🎑	celebração, cerimónia, cerimónia da lua, lua
🎀	celebração, festa
🎁	caixa, celebração, embrulhado, presente, presente embrulhado
🎗️	celebração, laço, laço de solidariedade, solidariedade
🎟️	bilhete, bilhetes, entrada
🎫	bilhete, entrada
🎖️	celebração, medalha, militar
🏆️	prémio
🏅	medalha, medalha desportiva
🥇	medalha, medalha de 1.º lugar, ouro, primeiro
🥈	medalha, medalha de 2.º lugar, prata, segundo
🥉	bronze, medalha, medalha de 3.º lugar, terceiro
⚾️	beisebol, bola
🥎	bola, luva
🏀	basquetebol, bola, cesto
🏐	bola, jogo, voleibol
🏈	americano, bola, futebol
🏉	bola, râguebi
🎾	bola, raquete, ténis, ténis (bola)
🎳	bola, bowling, jogo
🏑	bola, campo, hóquei, hóquei em campo, jogo, stick
🏒	disco, gelo, hóquei, jogo, stick, stick e disco de hóquei no gelo
🥍	baliza, bastão, bola
🏓	bola, jogo, raquete, ténis de mesa
🏸	badmínton, jogo, pena, raquete, volante
🥊	boxe, desporto, luva
🥋	artes marciais, desporto, judo, karaté, kimono de artes marciais, taekwondo, uniforme
🥅	baliza, desporto, objetivo, rede
⛳️	buraco, golfe
⛸️	gelo, patim, patim de gelo
🎣	cana, cana de pesca, peixe
🤿	máscara de mergulho
🎽	camisola, camisola de corrida, corrida, faixa
🎿	esqui, esquis, neve
🎯	alvo, centro, dardo, em cheio no alvo, jogo
🪀	ioió
🪁	papagaio de papel
🎱	bola, bola 8, jogo, oito, snooker
🔮	bola, conto de fadas, cristal, fantasia, instrumento, sorte
🧿	amuleto, mau-olhado, missanga, nazar, olho turco, talismã
🎮️	comando, comando de consola, jogo
🕹️	joystick
🎰	jogo, slot, slot machine
🎲	dado, jogo, valor
🧩	dica, encaixe, peça, peça de puzzle, quebra-cabeça
🧸	ursinho de peluche
♠️	carta, espadas, jogo, naipe
♥️	carta, copas, jogo, naipe
♦️	carta, jogo, naipe, ouros
♣️	carta, jogo, naipe, paus
♟️	engano, peão, xadrez
🃏	carta, jogar, jogo, jóquer
🀄️	dragão vermelho de mahjong, jogo, mahjong, vermelho
🎴	baralho de cartas com flores, carta, flor, japonês, jogar, jogo
🎭️	artes, artes performativas, máscaras, performativas, teatro
🖼️	arte, imagem, moldura, moldura com imagem, museu, pintura, quadro com moldura
🎨	arte, museu, paleta, paleta de artista, pintura
🧵	fio
👓️	acessório, olhos
🕶️	acessório, escuro, olhos, óculos, óculos de sol, óculos escuros
🥼	bata de laboratório, cientista, experiência, médico
🦺	colete, colete de segurança, emergência, segurança
👔	acessório, vestuário
👕	camisola, manga curta, t-shirt, vestuário
👖	calças, calças de ganga, jeans, vestuário
🧣	cachecol, lenço, pescoço, écharpe
🧤	luva, luvas, mão
🧥	casaco, jaqueta
🧦	meia, meias, peúgas
👗	vestuário
👘	vestuário
🥻	sari, vestido, vestuário
🩱	fato de banho
🩲	fato de banho, roupa interior, slip de banho
🩳	calções de banho, fato de banho, roupa interior, slip
👙	praia, vestuário
👚	roupa de senhora, roupas de senhora, senhora, vestuário
👛	acessório, carteira, dinheiro, porta-moedas
👜	acessório, carteira, mala, saco
👝	acessório, bolsa, pochete, saco
🛍️	compras, hotel, saco, sacos de compras
🎒	escola, mochila, mochila da escola, pasta, saco
👞	calçado, calçado masculino, homem, sapato de homem
👟	calçado, desporto, sapatilha, ténis, vestuário
🥾	acampamento, bota, bota de caminhada, caminhada, mochila
🥿	chinelo, sabrina, slip-on
👠	calçado, salto, saltos altos, senhora
👡	calçado, sandália, sandália de senhora, senhora, vestuário
🩰	ballet, dança, sapatos de ballet
👢	bota, bota de senhora, calçado, senhora, vestuário
👑	acessório, rainha, rei, vestuário
👒	acessório, chapéu, chapéu de senhora, senhora, vestuário
🎩	acessório, chapéu, chapéu alto, vestuário
🎓️	acessório, celebração, chapéu, chapéu de finalista, chapéu de graduação, formatura, licenciatura
🧢	boné, chapéu, chapéu de baseball
⛑️	capacete, cara, chapéu, cruz, socorro
📿	acessório, colar, contas, oração, religião, rosário
💄	cosméticos, maquilhagem
💍	diamante, noivado
💎	diamante, joia, jóia, pedra preciosa, preciosa
🔇	altifalante, altifalante desligado, sem som, silencioso, silêncio, volume
🔈️	altifalante baixo, volume
🔉	altifalante, altifalante médio, baixo, onda sonora, volume
🔊	3, altifalante, altifalante alto, alto, elevado, três, volume
📢	altifalante, altifalante público, alto, público
📣	apoiar, torcer
📯	correios, trompa, trompa dos correios
🔕	não, proibido, silêncio, sino, sino com barra, sino riscado
🎼	música, partitura, pauta
🎶	música, notas
