😀	kenua, sura inayokenua, uso
🧍🏼‍♀	kusimama, mwanamke, mwanamke aliyesimama, mwanamke aliyesimama: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧍🏽‍♀	kusimama, mwanamke, mwanamke aliyesimama, mwanamke aliyesimama: ngozi ya kahawia, ngozi ya kahawia
🧍🏾‍♀	kusimama, mwanamke, mwanamke aliyesimama, mwanamke aliyesimama: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧍🏿‍♀	kusimama, mwanamke, mwanamke aliyesimama, mwanamke aliyesimama: ngozi nyeusi, ngozi nyeusi
🧎	kupiga magoti, mtu aliyepiga magoti, piga magoti
🧎🏻	kupiga magoti, mtu aliyepiga magoti, mtu aliyepiga magoti: ngozi nyeupe, ngozi nyeupe, piga magoti
🧎🏼	kupiga magoti, mtu aliyepiga magoti, mtu aliyepiga magoti: ngozi nyeupe kiasi, ngozi nyeupe kiasi, piga magoti
🧎🏽	kupiga magoti, mtu aliyepiga magoti, mtu aliyepiga magoti: ngozi ya kahawia, ngozi ya kahawia, piga magoti
🧎🏾	kupiga magoti, mtu aliyepiga magoti, mtu aliyepiga magoti: ngozi nyeusi kiasi, ngozi nyeusi kiasi, piga magoti
🧎🏿	kupiga magoti, mtu aliyepiga magoti, mtu aliyepiga magoti: ngozi nyeusi, ngozi nyeusi, piga magoti
🧎‍♂	kupiga magoti, mwanamume, mwanamume aliyepiga magoti
🧎🏻‍♂	kupiga magoti, mwanamume, mwanamume aliyepiga magoti, mwanamume aliyepiga magoti: ngozi nyeupe, ngozi nyeupe
🧎🏼‍♂	kupiga magoti, mwanamume, mwanamume aliyepiga magoti, mwanamume aliyepiga magoti: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧎🏽‍♂	kupiga magoti, mwanamume, mwanamume aliyepiga magoti, mwanamume aliyepiga magoti: ngozi ya kahawia, ngozi ya kahawia
🧎🏾‍♂	kupiga magoti, mwanamume, mwanamume aliyepiga magoti, mwanamume aliyepiga magoti: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧎🏿‍♂	kupiga magoti, mwanamume, mwanamume aliyepiga magoti, mwanamume aliyepiga magoti: ngozi nyeusi, ngozi nyeusi
🧎‍♀	kupiga magoti, mwanamke, mwanamke aliyepiga magoti
🧎🏻‍♀	kupiga magoti, mwanamke, mwanamke aliyepiga magoti, mwanamke aliyepiga magoti: ngozi nyeupe, ngozi nyeupe
🧎🏼‍♀	kupiga magoti, mwanamke, mwanamke aliyepiga magoti, mwanamke aliyepiga magoti: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧎🏽‍♀	kupiga magoti, mwanamke, mwanamke aliyepiga magoti, mwanamke aliyepiga magoti: ngozi ya kahawia, ngozi ya kahawia
🧎🏾‍♀	kupiga magoti, mwanamke, mwanamke aliyepiga magoti, mwanamke aliyepiga magoti: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧎🏿‍♀	kupiga magoti, mwanamke, mwanamke aliyepiga magoti, mwanamke aliyepiga magoti: ngozi nyeusi, ngozi nyeusi
👨‍🦯	kipofu, mwanamume, mwanamume anayetembea kwa mkongojo, ufikivu
👨🏻‍🦯	kipofu, mwanamume, mwanamume anayetembea kwa mkongojo, mwanamume anayetembea kwa mkongojo: ngozi nyeupe, ngozi nyeupe, ufikivu
👨🏼‍🦯	kipofu, mwanamume, mwanamume anayetembea kwa mkongojo, mwanamume anayetembea kwa mkongojo: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ufikivu
👨🏽‍🦯	kipofu, mwanamume, mwanamume anayetembea kwa mkongojo, mwanamume anayetembea kwa mkongojo: ngozi ya kahawia, ngozi ya kahawia, ufikivu
👨🏾‍🦯	kipofu, mwanamume, mwanamume anayetembea kwa mkongojo, mwanamume anayetembea kwa mkongojo: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ufikivu
👨🏿‍🦯	kipofu, mwanamume, mwanamume anayetembea kwa mkongojo, mwanamume anayetembea kwa mkongojo: ngozi nyeusi, ngozi nyeusi, ufikivu
👩‍🦯	kipofu, mwanamke, mwanamke anayetembea kwa mkongojo, ufikivu
👩🏻‍🦯	kipofu, mwanamke, mwanamke anayetembea kwa mkongojo, mwanamke anayetembea kwa mkongojo: ngozi nyeupe, ngozi nyeupe, ufikivu
👩🏼‍🦯	kipofu, mwanamke, mwanamke anayetembea kwa mkongojo, mwanamke anayetembea kwa mkongojo: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ufikivu
👩🏽‍🦯	kipofu, mwanamke, mwanamke anayetembea kwa mkongojo, mwanamke anayetembea kwa mkongojo: ngozi ya kahawia, ngozi ya kahawia, ufikivu
👩🏾‍🦯	kipofu, mwanamke, mwanamke anayetembea kwa mkongojo, mwanamke anayetembea kwa mkongojo: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ufikivu
👩🏿‍🦯	kipofu, mwanamke, mwanamke anayetembea kwa mkongojo, mwanamke anayetembea kwa mkongojo: ngozi nyeusi, ngozi nyeusi, ufikivu
👨‍🦼	kiti cha magurudumu, mwanamume, mwanamume aliyeketia kiti cha magurudumu, ufikivu
👨🏻‍🦼	kiti cha magurudumu, mwanamume, mwanamume aliyeketia kiti cha magurudumu, mwanamume aliyeketia kiti cha magurudumu: ngozi nyeupe, ngozi nyeupe, ufikivu
👨🏼‍🦼	kiti cha magurudumu, mwanamume, mwanamume aliyeketia kiti cha magurudumu, mwanamume aliyeketia kiti cha magurudumu: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ufikivu
👨🏽‍🦼	kiti cha magurudumu, mwanamume, mwanamume aliyeketia kiti cha magurudumu, mwanamume aliyeketia kiti cha magurudumu: ngozi ya kahawia, ngozi ya kahawia, ufikivu
👨🏾‍🦼	kiti cha magurudumu, mwanamume, mwanamume aliyeketia kiti cha magurudumu, mwanamume aliyeketia kiti cha magurudumu: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ufikivu
👨🏿‍🦼	kiti cha magurudumu, mwanamume, mwanamume aliyeketia kiti cha magurudumu, mwanamume aliyeketia kiti cha magurudumu: ngozi nyeusi, ngozi nyeusi, ufikivu
👩‍🦼	kiti cha magurudumu, mwanamke, mwanamke aliyeketia kiti cha magurudumu, ufikivu
👩🏻‍🦼	kiti cha magurudumu, mwanamke, mwanamke aliyeketia kiti cha magurudumu, mwanamke aliyeketia kiti cha magurudumu: ngozi nyeupe, ngozi nyeupe, ufikivu
👩🏼‍🦼	kiti cha magurudumu, mwanamke, mwanamke aliyeketia kiti cha magurudumu, mwanamke aliyeketia kiti cha magurudumu: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ufikivu
👩🏽‍🦼	kiti cha magurudumu, mwanamke, mwanamke aliyeketia kiti cha magurudumu, mwanamke aliyeketia kiti cha magurudumu: ngozi ya kahawia, ngozi ya kahawia, ufikivu
👩🏾‍🦼	kiti cha magurudumu, mwanamke, mwanamke aliyeketia kiti cha magurudumu, mwanamke aliyeketia kiti cha magurudumu: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ufikivu
👩🏿‍🦼	kiti cha magurudumu, mwanamke, mwanamke aliyeketia kiti cha magurudumu, mwanamke aliyeketia kiti cha magurudumu: ngozi nyeusi, ngozi nyeusi, ufikivu
👨‍🦽	kiti cha magurudumu, mwanamume, mwanamume anayejiendesha kwa kiti cha magurudumu, ufikivu
👨🏻‍🦽	kiti cha magurudumu, mwanamume, mwanamume anayejiendesha kwa kiti cha magurudumu, mwanamume anayejiendesha kwa kiti cha magurudumu: ngozi nyeupe, ngozi nyeupe, ufikivu
👨🏼‍🦽	kiti cha magurudumu, mwanamume, mwanamume anayejiendesha kwa kiti cha magurudumu, mwanamume anayejiendesha kwa kiti cha magurudumu: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ufikivu
👨🏽‍🦽	kiti cha magurudumu, mwanamume, mwanamume anayejiendesha kwa kiti cha magurudumu, mwanamume anayejiendesha kwa kiti cha magurudumu: ngozi ya kahawia, ngozi ya kahawia, ufikivu
👨🏾‍🦽	kiti cha magurudumu, mwanamume, mwanamume anayejiendesha kwa kiti cha magurudumu, mwanamume anayejiendesha kwa kiti cha magurudumu: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ufikivu
👨🏿‍🦽	kiti cha magurudumu, mwanamume, mwanamume anayejiendesha kwa kiti cha magurudumu, mwanamume anayejiendesha kwa kiti cha magurudumu: ngozi nyeusi, ngozi nyeusi, ufikivu
👩‍🦽	kiti cha magurudumu, mwanamke, mwanamke anayejiendesha kwa kiti cha magurudumu, ufikivu
👩🏻‍🦽	kiti cha magurudumu, mwanamke, mwanamke anayejiendesha kwa kiti cha magurudumu, mwanamke anayejiendesha kwa kiti cha magurudumu: ngozi nyeupe, ngozi nyeupe, ufikivu
👩🏼‍🦽	kiti cha magurudumu, mwanamke, mwanamke anayejiendesha kwa kiti cha magurudumu, mwanamke anayejiendesha kwa kiti cha magurudumu: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ufikivu
👩🏽‍🦽	kiti cha magurudumu, mwanamke, mwanamke anayejiendesha kwa kiti cha magurudumu, mwanamke anayejiendesha kwa kiti cha magurudumu: ngozi ya kahawia, ngozi ya kahawia, ufikivu
👩🏾‍🦽	kiti cha magurudumu, mwanamke, mwanamke anayejiendesha kwa kiti cha magurudumu, mwanamke anayejiendesha kwa kiti cha magurudumu: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ufikivu
👩🏿‍🦽	kiti cha magurudumu, mwanamke, mwanamke anayejiendesha kwa kiti cha magurudumu, mwanamke anayejiendesha kwa kiti cha magurudumu: ngozi nyeusi, ngozi nyeusi, ufikivu
🏃	kukimbia, mbio za masafa marefu, mkimbiaji
🏃🏻	kukimbia, mbio za masafa marefu, mkimbiaji, mkimbiaji: ngozi nyeupe, ngozi nyeupe
🏃🏼	kukimbia, mbio za masafa marefu, mkimbiaji, mkimbiaji: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🏃🏽	kukimbia, mbio za masafa marefu, mkimbiaji, mkimbiaji: ngozi ya kahawia, ngozi ya kahawia
🏃🏾	kukimbia, mbio za masafa marefu, mkimbiaji, mkimbiaji: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🏃🏿	kukimbia, mbio za masafa marefu, mkimbiaji, mkimbiaji: ngozi nyeusi, ngozi nyeusi
🏃‍♂	kukimbia, mbio za masafa marefu, mwanamume, mwanamume anayekimbia
🏃🏻‍♂	kukimbia, mbio za masafa marefu, mwanamume, mwanamume anayekimbia, mwanamume anayekimbia: ngozi nyeupe, ngozi nyeupe
🏃🏼‍♂	kukimbia, mbio za masafa marefu, mwanamume, mwanamume anayekimbia, mwanamume anayekimbia: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🏃🏽‍♂	kukimbia, mbio za masafa marefu, mwanamume, mwanamume anayekimbia, mwanamume anayekimbia: ngozi ya kahawia, ngozi ya kahawia
🏃🏾‍♂	kukimbia, mbio za masafa marefu, mwanamume, mwanamume anayekimbia, mwanamume anayekimbia: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🏃🏿‍♂	kukimbia, mbio za masafa marefu, mwanamume, mwanamume anayekimbia, mwanamume anayekimbia: ngozi nyeusi, ngozi nyeusi
🏃‍♀	kukimbia, mbio za masafa marefu, mwanamke anayekimbia, mwanamume
🏃🏻‍♀	kukimbia, mbio za masafa marefu, mwanamke anayekimbia, mwanamke anayekimbia: ngozi nyeupe, mwanamume, ngozi nyeupe
🏃🏼‍♀	kukimbia, mbio za masafa marefu, mwanamke anayekimbia, mwanamke anayekimbia: ngozi nyeupe kiasi, mwanamume, ngozi nyeupe kiasi
🏃🏽‍♀	kukimbia, mbio za masafa marefu, mwanamke anayekimbia, mwanamke anayekimbia: ngozi ya kahawia, mwanamume, ngozi ya kahawia
🏃🏾‍♀	kukimbia, mbio za masafa marefu, mwanamke anayekimbia, mwanamke anayekimbia: ngozi nyeusi kiasi, mwanamume, ngozi nyeusi kiasi
🏃🏿‍♀	kukimbia, mbio za masafa marefu, mwanamke anayekimbia, mwanamke anayekimbia: ngozi nyeusi, mwanamume, ngozi nyeusi
💃	cheza, densi, mwanamke anayecheza, ngoma
💃🏻	cheza, densi, mwanamke anayecheza, mwanamke anayecheza: ngozi nyeupe, ngoma, ngozi nyeupe
💃🏼	cheza, densi, mwanamke anayecheza, mwanamke anayecheza: ngozi nyeupe kiasi, ngoma, ngozi nyeupe kiasi
💃🏽	cheza, densi, mwanamke anayecheza, mwanamke anayecheza: ngozi ya kahawia, ngoma, ngozi ya kahawia
💃🏾	cheza, densi, mwanamke anayecheza, mwanamke anayecheza: ngozi nyeusi kiasi, ngoma, ngozi nyeusi kiasi
💃🏿	cheza, densi, mwanamke anayecheza, mwanamke anayecheza: ngozi nyeusi, ngoma, ngozi nyeusi
🕺	kusakata rumba
🕺🏻	kusakata rumba, kusakata rumba: ngozi nyeupe, ngozi nyeupe
🕺🏼	kusakata rumba, kusakata rumba: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🕺🏽	kusakata rumba, kusakata rumba: ngozi ya kahawia, ngozi ya kahawia
🕺🏾	kusakata rumba, kusakata rumba: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🕺🏿	kusakata rumba, kusakata rumba: ngozi nyeusi, ngozi nyeusi
🕴️	biashara, mwanamume, mwanaume aliyevaa suti anayeelea hewani, suti
🕴🏻	biashara, mwanamume, mwanaume aliyevaa suti anayeelea hewani, mwanaume aliyevaa suti anayeelea hewani: ngozi nyeupe, ngozi nyeupe, suti
🕴🏼	biashara, mwanamume, mwanaume aliyevaa suti anayeelea hewani, mwanaume aliyevaa suti anayeelea hewani: ngozi nyeupe kiasi, ngozi nyeupe kiasi, suti
🕴🏽	biashara, mwanamume, mwanaume aliyevaa suti anayeelea hewani, mwanaume aliyevaa suti anayeelea hewani: ngozi ya kahawia, ngozi ya kahawia, suti
🕴🏾	biashara, mwanamume, mwanaume aliyevaa suti anayeelea hewani, mwanaume aliyevaa suti anayeelea hewani: ngozi nyeusi kiasi, ngozi nyeusi kiasi, suti
🕴🏿	biashara, mwanamume, mwanaume aliyevaa suti anayeelea hewani, mwanaume aliyevaa suti anayeelea hewani: ngozi nyeusi, ngozi nyeusi, suti
👯	mcheza dansi, msichana, mwanamke, sikio, sungura, watu wanaosherehekea
👯‍♂	mcheza densi, sherehe, sungura, wanaume, wanaume wanaosherehekea
👯‍♀	mcheza densi, sherehe, sungura, wanawake, wanawake wanaosherehekea
🧖	chumba cha mvuke, mtu katika bafu la mvuke, sauna
🧖🏻	chumba cha mvuke, mtu katika bafu la mvuke, mtu katika bafu la mvuke: ngozi nyeupe, ngozi nyeupe, sauna
🧖🏼	chumba cha mvuke, mtu katika bafu la mvuke, mtu katika bafu la mvuke: ngozi nyeupe kiasi, ngozi nyeupe kiasi, sauna
🧖🏽	chumba cha mvuke, mtu katika bafu la mvuke, mtu katika bafu la mvuke: ngozi ya kahawia, ngozi ya kahawia, sauna
🧖🏾	chumba cha mvuke, mtu katika bafu la mvuke, mtu katika bafu la mvuke: ngozi nyeusi kiasi, ngozi nyeusi kiasi, sauna
🧖🏿	chumba cha mvuke, mtu katika bafu la mvuke, mtu katika bafu la mvuke: ngozi nyeusi, ngozi nyeusi, sauna
🧖‍♂	bafu la mvuke, mwanamume katika bafu la mvuke, sauna
🧖🏻‍♂	bafu la mvuke, mwanamume katika bafu la mvuke, mwanamume katika bafu la mvuke: ngozi nyeupe, ngozi nyeupe, sauna
🧖🏼‍♂	bafu la mvuke, mwanamume katika bafu la mvuke, mwanamume katika bafu la mvuke: ngozi nyeupe kiasi, ngozi nyeupe kiasi, sauna
🧖🏽‍♂	bafu la mvuke, mwanamume katika bafu la mvuke, mwanamume katika bafu la mvuke: ngozi ya kahawia, ngozi ya kahawia, sauna
🧖🏾‍♂	bafu la mvuke, mwanamume katika bafu la mvuke, mwanamume katika bafu la mvuke: ngozi nyeusi kiasi, ngozi nyeusi kiasi, sauna
🧖🏿‍♂	bafu la mvuke, mwanamume katika bafu la mvuke, mwanamume katika bafu la mvuke: ngozi nyeusi, ngozi nyeusi, sauna
🧖‍♀	bafu la mvuke, mwanamke katika bafu la mvuke, sauna
🧖🏻‍♀	bafu la mvuke, mwanamke katika bafu la mvuke, mwanamke katika bafu la mvuke: ngozi nyeupe, ngozi nyeupe, sauna
🧖🏼‍♀	bafu la mvuke, mwanamke katika bafu la mvuke, mwanamke katika bafu la mvuke: ngozi nyeupe kiasi, ngozi nyeupe kiasi, sauna
🧖🏽‍♀	bafu la mvuke, mwanamke katika bafu la mvuke, mwanamke katika bafu la mvuke: ngozi ya kahawia, ngozi ya kahawia, sauna
🧖🏾‍♀	bafu la mvuke, mwanamke katika bafu la mvuke, mwanamke katika bafu la mvuke: ngozi nyeusi kiasi, ngozi nyeusi kiasi, sauna
🧖🏿‍♀	bafu la mvuke, mwanamke katika bafu la mvuke, mwanamke katika bafu la mvuke: ngozi nyeusi, ngozi nyeusi, sauna
🧗	mkwezi, mtu anayekwea
🧗🏻	mkwezi, mtu anayekwea, mtu anayekwea: ngozi nyeupe, ngozi nyeupe
🧗🏼	mkwezi, mtu anayekwea, mtu anayekwea: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧗🏽	mkwezi, mtu anayekwea, mtu anayekwea: ngozi ya kahawia, ngozi ya kahawia
🧗🏾	mkwezi, mtu anayekwea, mtu anayekwea: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧗🏿	mkwezi, mtu anayekwea, mtu anayekwea: ngozi nyeusi, ngozi nyeusi
🧗‍♂	mkwezi wa kiume, mwanamume anayekwea
🧗🏻‍♂	mkwezi wa kiume, mwanamume anayekwea, mwanamume anayekwea: ngozi nyeupe, ngozi nyeupe
🧗🏼‍♂	mkwezi wa kiume, mwanamume anayekwea, mwanamume anayekwea: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧗🏽‍♂	mkwezi wa kiume, mwanamume anayekwea, mwanamume anayekwea: ngozi ya kahawia, ngozi ya kahawia
🧗🏾‍♂	mkwezi wa kiume, mwanamume anayekwea, mwanamume anayekwea: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧗🏿‍♂	mkwezi wa kiume, mwanamume anayekwea, mwanamume anayekwea: ngozi nyeusi, ngozi nyeusi
🧗‍♀	mkwezi wa kike, mwanamke anayekwea
🧗🏻‍♀	mkwezi wa kike, mwanamke anayekwea, mwanamke anayekwea: ngozi nyeupe, ngozi nyeupe
🧗🏼‍♀	mkwezi wa kike, mwanamke anayekwea, mwanamke anayekwea: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧗🏽‍♀	mkwezi wa kike, mwanamke anayekwea, mwanamke anayekwea: ngozi ya kahawia, ngozi ya kahawia
🧗🏾‍♀	mkwezi wa kike, mwanamke anayekwea, mwanamke anayekwea: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧗🏿‍♀	mkwezi wa kike, mwanamke anayekwea, mwanamke anayekwea: ngozi nyeusi, ngozi nyeusi
🤺	mtu aliyeshika upanga, spoti, upanga
🏇	farasi, farasi ya mashindano, mashindano, mbio za farasi, mwendesha farasi
🏇🏻	farasi, farasi ya mashindano, mashindano, mbio za farasi, mbio za farasi: ngozi nyeupe, mwendesha farasi, ngozi nyeupe
🏇🏼	farasi, farasi ya mashindano, mashindano, mbio za farasi, mbio za farasi: ngozi nyeupe kiasi, mwendesha farasi, ngozi nyeupe kiasi
🏇🏽	farasi, farasi ya mashindano, mashindano, mbio za farasi, mbio za farasi: ngozi ya kahawia, mwendesha farasi, ngozi ya kahawia
🏇🏾	farasi, farasi ya mashindano, mashindano, mbio za farasi, mbio za farasi: ngozi nyeusi kiasi, mwendesha farasi, ngozi nyeusi kiasi
🏇🏿	farasi, farasi ya mashindano, mashindano, mbio za farasi, mbio za farasi: ngozi nyeusi, mwendesha farasi, ngozi nyeusi
⛷️	mtu anayecheza mchezo wa kuskii, ski, theluji
🏂️	mtu anayeteleza kwenye theluji, ski, theluji, ubao wa kuteleza kwenye theluji
🏂🏻	mtu anayeteleza kwenye theluji, mtu anayeteleza kwenye theluji: ngozi nyeupe, ngozi nyeupe, ski, theluji, ubao wa kuteleza kwenye theluji
🏂🏼	mtu anayeteleza kwenye theluji, mtu anayeteleza kwenye theluji: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ski, theluji, ubao wa kuteleza kwenye theluji
🏂🏽	mtu anayeteleza kwenye theluji, mtu anayeteleza kwenye theluji: ngozi ya kahawia, ngozi ya kahawia, ski, theluji, ubao wa kuteleza kwenye theluji
🏂🏾	mtu anayeteleza kwenye theluji, mtu anayeteleza kwenye theluji: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ski, theluji, ubao wa kuteleza kwenye theluji
🏂🏿	mtu anayeteleza kwenye theluji, mtu anayeteleza kwenye theluji: ngozi nyeusi, ngozi nyeusi, ski, theluji, ubao wa kuteleza kwenye theluji
🏌️	gofu, mcheza gofu, mpira
🏌🏻	gofu, mcheza gofu, mcheza gofu: ngozi nyeupe, mpira, ngozi nyeupe
🏌🏼	gofu, mcheza gofu, mcheza gofu: ngozi nyeupe kiasi, mpira, ngozi nyeupe kiasi
🏌🏽	gofu, mcheza gofu, mcheza gofu: ngozi ya kahawia, mpira, ngozi ya kahawia
🏌🏾	gofu, mcheza gofu, mcheza gofu: ngozi nyeusi kiasi, mpira, ngozi nyeusi kiasi
🏌🏿	gofu, mcheza gofu, mcheza gofu: ngozi nyeusi, mpira, ngozi nyeusi
🏌‍♂	gofu, mpira, mwanamume anayecheza gofu
🏌🏻‍♂	gofu, mpira, mwanamume anayecheza gofu, mwanamume anayecheza gofu: ngozi nyeupe, ngozi nyeupe
🏌🏼‍♂	gofu, mpira, mwanamume anayecheza gofu, mwanamume anayecheza gofu: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🏌🏽‍♂	gofu, mpira, mwanamume anayecheza gofu, mwanamume anayecheza gofu: ngozi ya kahawia, ngozi ya kahawia
🏌🏾‍♂	gofu, mpira, mwanamume anayecheza gofu, mwanamume anayecheza gofu: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🏌🏿‍♂	gofu, mpira, mwanamume anayecheza gofu, mwanamume anayecheza gofu: ngozi nyeusi, ngozi nyeusi
🏌‍♀	gofu, mpira, mwanamke anayecheza gofu
🏌🏻‍♀	gofu, mpira, mwanamke anayecheza gofu, mwanamke anayecheza gofu: ngozi nyeupe, ngozi nyeupe
🏌🏼‍♀	gofu, mpira, mwanamke anayecheza gofu, mwanamke anayecheza gofu: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🏌🏽‍♀	gofu, mpira, mwanamke anayecheza gofu, mwanamke anayecheza gofu: ngozi ya kahawia, ngozi ya kahawia
🏌🏾‍♀	gofu, mpira, mwanamke anayecheza gofu, mwanamke anayecheza gofu: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🏌🏿‍♀	gofu, mpira, mwanamke anayecheza gofu, mwanamke anayecheza gofu: ngozi nyeusi, ngozi nyeusi
🏄️	kuteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi
🏄🏻	kuteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi: ngozi nyeupe, ngozi nyeupe
🏄🏼	kuteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🏄🏽	kuteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi: ngozi ya kahawia, ngozi ya kahawia
🏄🏾	kuteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🏄🏿	kuteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi, mtu anayeteleza kwenye mawimbi: ngozi nyeusi, ngozi nyeusi
🏄‍♂	kuteleza kwenye mawimbi, mchezo, mwanamume anayeteleza kwenye mawimbi
🏄🏻‍♂	kuteleza kwenye mawimbi, mchezo, mwanamume anayeteleza kwenye mawimbi, mwanamume anayeteleza kwenye mawimbi: ngozi nyeupe, ngozi nyeupe
🏄🏼‍♂	kuteleza kwenye mawimbi, mchezo, mwanamume anayeteleza kwenye mawimbi, mwanamume anayeteleza kwenye mawimbi: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🏄🏽‍♂	kuteleza kwenye mawimbi, mchezo, mwanamume anayeteleza kwenye mawimbi, mwanamume anayeteleza kwenye mawimbi: ngozi ya kahawia, ngozi ya kahawia
🏄🏾‍♂	kuteleza kwenye mawimbi, mchezo, mwanamume anayeteleza kwenye mawimbi, mwanamume anayeteleza kwenye mawimbi: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🏄🏿‍♂	kuteleza kwenye mawimbi, mchezo, mwanamume anayeteleza kwenye mawimbi, mwanamume anayeteleza kwenye mawimbi: ngozi nyeusi, ngozi nyeusi
🏄‍♀	kuteleza kwenye mawimbi, mchezo, mwanamke anayeteleza kwenye mawimbi
🏄🏻‍♀	kuteleza kwenye mawimbi, mchezo, mwanamke anayeteleza kwenye mawimbi, mwanamke anayeteleza kwenye mawimbi: ngozi nyeupe, ngozi nyeupe
🏄🏼‍♀	kuteleza kwenye mawimbi, mchezo, mwanamke anayeteleza kwenye mawimbi, mwanamke anayeteleza kwenye mawimbi: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🏄🏽‍♀	kuteleza kwenye mawimbi, mchezo, mwanamke anayeteleza kwenye mawimbi, mwanamke anayeteleza kwenye mawimbi: ngozi ya kahawia, ngozi ya kahawia
🏄🏾‍♀	kuteleza kwenye mawimbi, mchezo, mwanamke anayeteleza kwenye mawimbi, mwanamke anayeteleza kwenye mawimbi: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🏄🏿‍♀	kuteleza kwenye mawimbi, mchezo, mwanamke anayeteleza kwenye mawimbi, mwanamke anayeteleza kwenye mawimbi: ngozi nyeusi, ngozi nyeusi
🚣	boti, gari, ngalawa
🚣🏻	boti, gari, ngalawa, ngalawa: ngozi nyeupe, ngozi nyeupe
🚣🏼	boti, gari, ngalawa, ngalawa: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🚣🏽	boti, gari, ngalawa, ngalawa: ngozi ya kahawia, ngozi ya kahawia
🚣🏾	boti, gari, ngalawa, ngalawa: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🚣🏿	boti, gari, ngalawa, ngalawa: ngozi nyeusi, ngozi nyeusi
🚣‍♂	boti, mtumbwi, mwanamume anayeendesha ngalawa, ngalawa
🚣🏻‍♂	boti, mtumbwi, mwanamume anayeendesha ngalawa, mwanamume anayeendesha ngalawa: ngozi nyeupe, ngalawa, ngozi nyeupe
🚣🏼‍♂	boti, mtumbwi, mwanamume anayeendesha ngalawa, mwanamume anayeendesha ngalawa: ngozi nyeupe kiasi, ngalawa, ngozi nyeupe kiasi
🚣🏽‍♂	boti, mtumbwi, mwanamume anayeendesha ngalawa, mwanamume anayeendesha ngalawa: ngozi ya kahawia, ngalawa, ngozi ya kahawia
🚣🏾‍♂	boti, mtumbwi, mwanamume anayeendesha ngalawa, mwanamume anayeendesha ngalawa: ngozi nyeusi kiasi, ngalawa, ngozi nyeusi kiasi
🚣🏿‍♂	boti, mtumbwi, mwanamume anayeendesha ngalawa, mwanamume anayeendesha ngalawa: ngozi nyeusi, ngalawa, ngozi nyeusi
🚣‍♀	boti, mtumbwi, mwanamke anayeendesha ngalawa, ngalawa
🚣🏻‍♀	boti, mtumbwi, mwanamke anayeendesha ngalawa, mwanamke anayeendesha ngalawa: ngozi nyeupe, ngalawa, ngozi nyeupe
